PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
 Cafe de Paris  Home Stay  Resto Seafood,,,,,,,
,https://www.google.com/maps/search/ Cafe de Paris  Home Stay  Resto Seafood jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,Barep Pratama,Local Guide,16 ulasan,"Akhirnyaaaa bisa nulis review yang memuaskannn lagi...

Enakkk banget ikan bakarnyaa. Makanan semua oke. Sentuhan bumbunya lain dari pada yang lain.

Ibu Bapak lupa belum kenalan. Super ramah couple goals bisa haha hihi sampai menua bersama. Sehat selalu Bapak Ibu..

Janji dehhh bakalan balik lagi.

Sukaaa banget sama tempat dan masakan Ibunya.

Bule aja makan disini. Wisatawan lokal jangan mau kalah donggg...jelajahi terus wisata Indonesia.

Terima kasih bonus Tunanya Bu...sempat galau antara Kakap atau Tuna. Ahirnya malah bisa merasakan keduanyaa.",5
,,3 minggu lalu,Luqman Heryana,-,2 ulasan,"Cafe de paris
Terletak di timur pantai parangtritis dan akses dg jalan kaki dr parkiran terakhir.
Makanannya cukup banyak pilihan mulai dr seafood, sayur dan minuman.
Suasannya nyaman dan santai dengan banyak pilihan tempat duduk, ayunan, tempat tidur gantung serta gazebo. Konsep nya cafe pantai yg asik.
Harga nya murah untuk di tempat wisata

Worth it",5
,,5 bulan lalu,Catharine Winata,Local Guide,479 ulasan,"masakannya enak tp kecil2 sesuai dg harganya😊, pisang gorengnya mantap,  sambelnya mantap",4
,,sebulan lalu,Dewi Pustaka,Local Guide,13 ulasan,"Ownernya baik banget, nginep disini pas Ramadhan, pesan makanan untuk berbuka dan sahur.

Tempatnya dibibir pantai, tidur dengan deru ombak laut..

Anak2 senang, puas main pasir dan ada ayunannya.

MasyaAllah tempat nyaman harga aman di kantong.

Cuma rutenya agak susah, nek motor melewati sawah, tapi seruuu 😄",5
,,sebulan lalu,Kiki Melaendo,Local Guide,177 ulasan,"Tempatnya bagus bgt, makanan enak dan cocok buat istirahat",5
,,seminggu lalu,Ibrohim Hanafi,Local Guide,258 ulasan,"Makananan seafoodnya enak banget.
Sangat rekomendasi bila cari makanan khas pantai, bukan malah cari mie instan atau makanan biasa.
Suasana pantainya indah sekali, betah banget bila makan disini.

Memang perlu effort jalan kaki ke tempat ini (-+ 500 meter dari parkiran), effort itu terbayarkan dg suasana pantai yg asri jauh dari kebisingan polusi suara manusia dan mobil jeep serta makanan yg enak.",5
,,setahun lalu,Siska Mirawati,Local Guide,122 ulasan,Pinggir pantai murah meriah.. Enak.. Ada homestay nya juga dengan harga terjangkau juga.. Ibunya jg ramah banget 😍😍.. Kapan2 mau nginep sini ahh.. …,5
,,2 bulan lalu,Erlina Wahyuni,-,3 ulasan,Melukiskan suasana hati yang sulit dijelaskan,5
,,setahun lalu,rofiq r,-,5 ulasan,"ini tempat langganan paling de best, tempatnya nyaman, makanan enak murah, pemiliknya ramah",5
,,seminggu lalu,Mugiyanto Alexsandi,-,1 ulasan,"Kakapnya beda,,bawalnya beda,,dan,,recomendt bangeettss,,ca kangkungnya menarik",5
,,2 tahun lalu,Ambar Kurnia,-,1 ulasan,"Tempatnya asyik, syahdu cocok banget buat santai langsung menghadap pantai 🌊☀☺
Makanannya juga enak mantap pokoknya..wajib banget cobain 👍👍😍 …",5
,,setahun lalu,Wahyu Wulandari,Local Guide,28 ulasan,Makanannya Enak..harga relatif murah.. ibu dan bapaknya ramah.. bakalan mampir kesinj lagi kalo ke Parangtritis..,5
,,5 tahun lalu,Riza Pahlevi,Local Guide,79 ulasan,"Tempatnya cukup asyik buat duduk2 santai menikmati Pantai Parangtritis, sayang harganya cukup mahal, ya walaupun harga disini emang rata2 segitu. Dan ini foto diambil di jembatan depan cafe ini.",3
,,2 tahun lalu,Gabriel Sheila,Local Guide,158 ulasan,"Maemannya enak enakk, suasananya pantai bangetttt hehe, bisa nginep juga. Cocok banget kalo buat acara keluarga. Engga terlalu ramai. Ayo ramaikan hehe❤️",5
,,5 bulan lalu,Sri Sarmilo,-,1 ulasan,"Dari parkiran ke sini panas,,tapi setelah di sini terbayar sudah dengan kondisi masakan yg serba panas,dan keramahan pelayanan,",5
,,10 bulan lalu,kusmi yati,Local Guide,14 ulasan,"Tempatnya cozy dengan furniture ala ala pantai , ada homestay bagi yang ingin merasakan pengalaman menginap diiringi suara deburan ombak dan hembusan angin parang tritis di malam hari",5
,,11 bulan lalu,Zakia Rizki,Local Guide,65 ulasan,"Murah meriah dan enak.
Jgn ngikutin jalan yg paling timur ya. Aksesnya terlalu susah. Pake jalan masuk yg lewat tengah aja.
Ikan bakarnya mantulll abisss ❤️❤️",5
,,2 tahun lalu,Galang Adi Sanjaya,-,27 ulasan,"makanan super enak , tempat VIP untuk menikmati pantai parangtritis",5
,,2 tahun lalu,Wawa,Local Guide,32 ulasan,"Recomended Cafe 💯 👍

Disini sedia berbagai olehan seafood, dgn Best Quality 👍 ikan nya fresh. Service 💯 Super. Taste 💯 super mantep 👍 Beda dgn warung seafood lainya. Ownernya superr ramahh, humble bgt, termasuk anak2nya 👍 price? Standar. Termasuk murah, dgn kualitas ikan & rasa masakan yg bintang 5 💯👍

WAJIB pilih makan di cafe ini 💯👍

Kalau mau mampir, coba hubungi owner lewat IG: @parangtritiscafe biar gak nyasar oleh Gmaps 😆",5
,,6 bulan lalu,cah cilacap ngapak GAMING,Local Guide,16 ulasan,Tempat yang nyaman sekali..,5
,,4 tahun lalu,steve kanisius,Local Guide,312 ulasan,"Pemiliknya adalah pasangan anggota Credit Union Cindelaras Tumangkar (CUCT). Berlokasi persis di pantai Parangtritis sebelah timur.
6 Juli 2018 seluruh aktivis CUCT datang ke tempat ini untuk syawalan bersama. Dengan suguhan degan (kelapa muda), nasi, sayur asem, oseng tahu tempe, ikan laut, udang, dan cumi, bakwan, pisang goreng, kacang panggang/bakar.
Di tempat ini ada ruang pertemuan semi terbuka, dapat memuat lima puluhan orang. Di kanan kiri ruang ini terdapat berjejer-jejer kamar mandi.
Di depan terdapat tempat nongkrong, gasebo, yang nyaman untuk duduk-duduk bertiga atau berempat, sambil menikmati menu dan melihat bebas ke arah laut Indonesia.

Ikan bakar bumbu manisnya enak tenan.",5
,,2 tahun lalu,Mizz Bahudin,Local Guide,25 ulasan,"Suasana cafe yang tenang dengan menu bervariasi tidak melulu seafood ... cocok untuk berkumpul keluarga besar, organisasi,dan dinas ... di ujung pantai parangtritis",5
,,2 tahun lalu,Nichan,-,35 ulasan,"Penjualnya ramah bngt. Harganya jujur sesuai menu. Cuma aksesnya itu, waduh bngtlah. Kl rasa mgkn selera tp sesuai harga saja.",3
,,setahun lalu,Galuh Sekar,Local Guide,6 ulasan,"Ibu Nya Ramah, Masakan Enak, Harga Sangat Terjangkau",5
,,4 bulan lalu,Janisda Vria Sandi (Janice),-,3 ulasan,"Good good good,, jalan kaki dari parkiran menikmati indahnya pantai, sampai sana laparnya gak ketulungan,pesen makan kondisi anget semua.agk lama sih,tapi sensasinya",5
