PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
thaitea prambanan,,,,,,,
,https://www.google.com/maps/place/teje+thai+tea+prambanan/data=!4m7!3m6!1s0x2e7a5b18dba54233:0xa42ee5bcec813fc8!8m2!3d-7.758772!4d110.488284!16s%2Fg%2F11fn7j_pgr!19sChIJM0Kl2xhbei4RyD-B7LzlLqQ?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,Mahfirin Silfianti,-,4 ulasan,"Thai tea sama yg coffe rasanya aneh bgt
Beda sama teje yg lain
Rasanya lebih ke asem , apalagi yg kopi ..
Kaya kopi basi
Nggak manis juga 🥹
Semoga kedepannya lebih enak lagi bikinnya🙏",4
,,3 bulan lalu,Febriana F,-,1 ulasan,Yang rasa green tea favorit ku🤤🍵 …,5
,,setahun lalu,The Provocator,,,,3
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
,,3 tahun lalu,Mr. Wey,,,,5
