PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
warung makan bu in,,,,,,,
,https://www.google.com/maps/place/Warung+makan+bu+win/data=!4m7!3m6!1s0x2e7a5953978f991b:0xd4c0c530c14a85f2!8m2!3d-7.7855865!4d110.3787733!16s%2Fg%2F11lkps886k!19sChIJG5mPl1NZei4R8oVKwTDFwNQ?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
,,setahun lalu,pandu triyoko,-,3 ulasan,"Harga Ekonomis, Rasa sesuai selera",4
