PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Tugu Malioboro YIArt,,,,,,,
,https://www.google.com/maps/search/Angkringan Tugu Malioboro YIArt jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Salfa Day,Local Guide,26 ulasan,"Angkringannya the Next Level, harganya ya harga bandara, rasa makanannya Lumayan, tempatnya nyaman banget",5
,,2 tahun lalu,Bramanditya issudibya,Local Guide,466 ulasan,Berada digedung penghubung antara terminal keberangkatan dan gedung parkir. Jangan lupa jaga kebersihannya diarea tersebut,5
,,sebulan lalu,ukik agus,Local Guide,23 ulasan,Cuman ngopi 😊 …,5
,,setahun lalu,Prina,Local Guide,59 ulasan,"Nyobain nasi berkat, nasinya gurih . Lauknya macam macam, ada suwir ayam, telur, tahu, gudeg, oseng , peyek kacang. Hrg 20k, tambah tahu isi telur 8k",5
,,2 tahun lalu,Jasmine Vimalasari,-,5 ulasan,Kerennn tempatnyaaa.... Makanannya enakk👍👍 …,5
,,2 tahun lalu,GANDHI YUDHI,-,2 ulasan,Suasana santai dan kuliner nikmat,5
,,2 tahun lalu,Shinta Prastika,-,392 ulasan,Angkringan tugu ..,5
,,11 bulan lalu,H.ibrahimbnsiara roa,,,,5
,,2 tahun lalu,Steveyogy,,,,5
,,11 bulan lalu,Sarah Wulandari,,,,5
,,8 bulan lalu,herry_ herry90,,,,4
,,2 tahun lalu,Handoyo Taher,,,,5
,,4 minggu lalu,Yunita Putri,,,,5
,,2 tahun lalu,rindra,,,,5
,,10 bulan lalu,Suparmi AmKeb,,,,5
,,10 bulan lalu,Ardan,,,,5
,,10 bulan lalu,Chairunnisa,,,,5
,,11 bulan lalu,yusman asbad,,,,5
,,2 tahun lalu,Ayu Sylvana,,,,5
,,2 tahun lalu,Jawapilar Dunia,,,,5
,,10 bulan lalu,Muhammad Fauzi,,,,4
,,10 bulan lalu,KopidanMakan Wahyu,,,,5
,,10 bulan lalu,KopidanMakan Wahyu,,,,5
,,10 bulan lalu,KopidanMakan Wahyu,,,,5
,,10 bulan lalu,KopidanMakan Wahyu,,,,5
