PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan wulan ndari stasiun tugu,,,,,,,
,https://www.google.com/maps/search/Angkringan wulan ndari stasiun tugu jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Toto S,Local Guide,216 ulasan,Salah satu hal yang terkenal di Yogyakarta adalah penjual angkringannya. Angkringan sering disebut dengan nasi kucing. Disebut nasi kucing bukan karena makanan kucing tetapi karena porsi nasi angkringan yang sedikit. Porsi nasi angkringan sedikit tersebut justru menjadi ciri khas dari nasi kucing itu sendiri.,5
,,10 bulan lalu,Sudarwanto,Local Guide,455 ulasan,"Cozy, aman dan nyaman. Tempat strategis, menu sesuai, harga standar,.",4
,,6 bulan lalu,Hirlan TUSEP P,Local Guide,435 ulasan,Opsi menunya lengkap,4
,,setahun lalu,Roni comcom Refleksi keluarga,,,,5
,,setahun lalu,Mitra Mandiri,,,,5
,,8 bulan lalu,Putut Subiantoro,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
,,setahun lalu,Christoper Alyadi,,,,5
