PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Capcuzz Condongcatur,,,,,,,
,https://www.google.com/maps/search/Capcuzz Condongcatur jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,red burgundys,-,6 ulasan,"Ga niat jualan kah?? Udah dipanggil"" ditunggu lama bgt gaada yg ngelayanin, pdhl jelas"" tokonya buka",1
,,2 minggu lalu,Bernadheta Tyas,Local Guide,130 ulasan,"Esnya seger, paling suka tambah cincaunya",5
,,setahun lalu,mas danar,-,21 ulasan,"Seblak paling parah yg pernah tak makan. Telornya kyk cuma separo hancur, kurang berasa kencurnya, isinya cuma krupuk saja , krupuknya bau apek. Gimana ya. Dah expektasi tinggi. Saran. Survey dl seblak itu seperti apa.",1
,,5 hari lalu,Ms. RA,Local Guide,26 ulasan,Seblaknya enak,5
,,5 tahun lalu,Jenny Wahyuni,Local Guide,303 ulasan,"Seblak nya lumayan, Capcuzz nya juga tapi agak disayangkan kualitas packagingnya, kurang nempel jadi bocor di jalan 😂😂 oh ya menurutku, tanpa pake gula pun capcuzz nya udah manis ngets 😂 😂😂 …",2
,,3 tahun lalu,Felicia Arum,Local Guide,501 ulasan,"Baru pertama kali nyoba Seblak nya, enak dan rasanya pas tp kuah dan sayurnya kurang banyak 😊 …",4
,,5 tahun lalu,Rizki Raharjo,Local Guide,203 ulasan,"Pelayanan kurang memikat buat balik lagi kesana, akhir akhir ini juga banyak stok yg kosong jadi pilihan di menu makin dikit, dapur juga kurang dijaga kebersihannya, masalahnya pas pengunjung pesen ngeliat keadaan dapur. alangkah baik kalo senyum dulu lebih ramah dan apabila stok kosong ngasih solusi rasa yg hampir sama biar gak bikin bingung. Urusan rasa udah bintang lima nih",3
,,5 tahun lalu,toby continue,Local Guide,121 ulasan,"Capcuz dan seblaknya enak!! Minusnya parkir aja kecil dan suka macet jalan depannya. Area ramai kendaraan. Overall, tempat jajan enak deh!",4
,,setahun lalu,N.K. Dewi,Local Guide,409 ulasan,"(Diedit: Februari 2022)
The best capcin & seblak ever.
Saya salut karena sejak 2016 saya jajan capcuzz & di tengah gempuran tren minuman kekinian yang selalu berubah, Capcuzz tetap bertahan dengan ciri khasnya & melakukan improvisasi yang baik, mulai dari pilihan kemasan medium & large, gambar plastic seal yang sudah ada logo. Dan beli di cabang manapun, rasa minumannya hampir selalu konsisten.
Lokasi: Ini cabang sebelumnya di dekat Pamella 6, sekarang pindah ke Jalan Ringin Raya di jejeran lapak kuliner.
Tempat: hanya bisa take away. Disediakan beberapa kursi plastik untuk menunggu.
Menu: Favorit saya tetap Capcuzz basic & Coklat legend. Sekarang ada pilihan topping boba juga. Tapi saya selalu #timcincau. Seblaknya enak, bisa ekstra sayur, untuk harga 9000 1 porsi itu banyak.
Harga: really worth the price dengan metode pembayaran beragam (cash, QRIS, atau e-wallet)
Pelayanan: cepat & ramah.",5
,,4 tahun lalu,Diah Saraswati,-,2 ulasan,"Rasanya ga ada yg ngalahin kalau menurut saya.. Pas semuanya dr minumnya smp seblaknya.. Hanyaa, plis dapurnya dibersih in lg, atw kalau perlu ditutupin biar ga keliatan cust daannn plis senyum dong yg jualan biar + laris",4
,,5 tahun lalu,Citra Nurwinda,Local Guide,170 ulasan,"Minuman terbaik, belum tergantikan.",5
,,8 bulan lalu,Okvania Sella,Local Guide,107 ulasan,Langganan capcus sejak masih di deket znet1 jualan nya. Pas udah pindah pun masih langganan juga.,5
,,6 tahun lalu,Leonardus Adianto Suryo Putra,Local Guide,97 ulasan,Seblaknya mantap enak dari pada yang laen. Cappucino cincaunya bikin ketagihan. Cuma tempatnya kurang rapi. 5 star kalo suasananya nyaman,4
,,setahun lalu,Bella Dwi setiawati Setiawati,-,2 ulasan,Mahal.Tidak recommended,1
,,4 tahun lalu,Dzaky Fauzan,-,10 ulasan,"Punya cirkhas tersendiri tentang rasa, kalo makan ditempat kurang pas interiornya agak panas juga, pelayanan ok :)",4
,,5 tahun lalu,Fitri Aminatul Azizah,Local Guide,171 ulasan,"Seblaknya enak sih, tapi kuahnya kurang, trus warnanya juga terlalu pucat qq 😂 …",4
,,8 bulan lalu,Nia Agustina,Local Guide,91 ulasan,Menunya banyak dan harga terjangkau,5
,,3 tahun lalu,Sony Adam Saputra,Local Guide,1.152 ulasan,Enak tapi agak lama aja pembuatannya.. murah juga dibandingin sama minuman lain yang lagi ngetren..,4
,,7 bulan lalu,Kafri Dinata,-,6 ulasan,Harganya murmer banget porsi jumbo,5
,,4 tahun lalu,Kelvin Wahyu Wibisono,Local Guide,63 ulasan,"Nongkrong disini ngga bikin bosan kok, harga murmer pas dikantong 😜 …",5
,,5 tahun lalu,Hanif Budiarti,Local Guide,76 ulasan,Lava green ! Enak banget buat yg suka green tea,5
,,4 tahun lalu,Arif Fridasari,Local Guide,85 ulasan,Mantap joss rasanya.,4
,,5 tahun lalu,Yogi Abdul Aziz,Local Guide,5 ulasan,Capcuzz dan seblakcuzznya mantapp diluar ekspetasi saya bikin nagih pokoe.,5
,,4 tahun lalu,Afif Ramadhan,Local Guide,71 ulasan,"Untuk kebersihan lumayan, tetapi masalah parkir belum tercukupi",5
,,setahun lalu,Yusril Project,-,3 ulasan,Minumannya enak dan segar,5
