PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Dani Snack (Mbak Dani),,,,,,,
,https://www.google.com/maps/search/Dani Snack (Mbak Dani) jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Febrilia Puspitasari,Local Guide,233 ulasan,Beneran enak enak makanannya. Snack n nasi box nya mantaap...harga terjangkau bgt👍👍👍 …,5
,,setahun lalu,Mella Miandi,Local Guide,58 ulasan,"makanan enak, harga bersahabat, bisa request mau snack / nasi box apa",5
,,setahun lalu,Dani Snack,-,1 ulasan,"Snacknya enak2 harga terjangkau
Rapat kantor atau arisan siiiipppp",5
,,setahun lalu,Hani Pramesti,-,1 ulasan,Tempat yg Recomended banget buat pesen snack/nasi box arisan/rapat,5
,,2 tahun lalu,Hermawan,Local Guide,2 ulasan,Tempat Snack dan nasi box paling enak,5
,,2 tahun lalu,Agus Subagyo,-,19 ulasan,Mantab mbak sneknya,4
,,setahun lalu,Sulistyani,-,3 ulasan,Snack enak..👌 …,5
,,11 bulan lalu,rahmad Lewi,-,1 ulasan,Mantap nih,5
,,5 bulan lalu,Ambarini Setyasih,,,,5
,,8 bulan lalu,Ramadhan Rais,,,,5
,,2 tahun lalu,septia yudha Rennaningtyas,,,,5
,,3 tahun lalu,Gita Ayu,,,,5
,,2 tahun lalu,Naldy Alfi,,,,3
,,setahun lalu,Putra Wibowo,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
,,2 tahun lalu,Riske Dayu,,,,5
