PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Ekologi Coffee,,,,,,,
,https://www.google.com/maps/place/Ekologi/data=!4m7!3m6!1s0x2e7a59d3ee60222d:0x50fecb7e5f14b80b!8m2!3d-7.7832892!4d110.3906648!16s%2Fg%2F11kxj3t6s5!19sChIJLSJg7tNZei4RC7gUX37L_lA?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,Sigid Nugroho,Local Guide,89 ulasan,"Ok banget nih buat ngopi-ngopi, buat sekadar nyantai bareng temen, suasananya nyaman dan tidak terlalu ramai jadi kalau buat ngobrol atau diskusi sangat pas banget. Menu pilihannya juga banyak variannya, pelayanan sangat ramah dan terbilang relatif cepat.",4
,,setahun lalu,Lutfia Prihanani,Local Guide,682 ulasan,"Baru tau ada ekologi ada di lippo plaza, letaknya ada di sebelah kiri pintu masuk utama, lokasi luas, dan harga standard cafe, untuk tastenya lumayan enak, chamomile tea nya juga enak, bisa request yang ice juga, untuk camilan kmaren cuma ada croissant, ada ruangan tertutup juga engah khusus buat meeting atau ac, mushola, toilet ada karena di dalam mall, dan pasti aman buat pengguna wheelchair",4
,,2 tahun lalu,Ratna Yuwono,Local Guide,771 ulasan,"Tempat ngupi2 di Lippo Plaza...cheese croisant, nutella shake, kopi susu signature ekologi 😋👍 …",5
,,2 bulan lalu,Buahonlinekita,,,,5
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
,,setahun lalu,Andika Setyawan,,,,4
