PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Gudeg Bu Slamet ꧋ꦒꦸꦝꦼꦒ꧀ꦧꦸꦱ꧀ꦭꦩꦼꦠ꧀꧈,,,,,,,
,https://www.google.com/maps/search/Gudeg Bu Slamet ꧋ꦒꦸꦝꦼꦒ꧀ꦧꦸꦱ꧀ꦭꦩꦼꦠ꧀꧈ jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,sukron aja,Local Guide,199 ulasan,"Lokasinya mudah di jangkau, di area kuliner gudeg jogja. Tempatnya kecil namun bersih dan nyaman.

Ini kita sudah 2 kali ke gudeg blu slamet Dan rasa nya masih sama enak...

Gudegnya cenderung gurih dan nggak terlalu manis, buat yang kurang suka gudeg manis bisa coba beli disini.

Teh hangatnya juga seger banget. Nikmat diminum pagi hari, kl semisal mw coba, coba makan gudeg plus minumnya saparella wiih jozz...👍
Cocok banget buat teman makan gudegnya.

Disini memang nggak tercantum daftar menu dan daftar harganya, karena keterangan dari ibu penjualnya harga menyesuaikan harga ayam di pasaran, tp kalau ada yang mau pesan pasti dikasih taukan semisal harganya berubah dari biasanya.

Dan Ini harga ketika kami beli gudeg besek an: ada yg 85rb, 100rb, 130rb lebih murah namun tetep rasa enak

""Nah paket besek yg kami beli yang 85rb sebanyak 3 paket sebagai oleh oleh keluarga saya dan 1 besek bisa dimakan sampai 3-5 kali makan untuk 3 orang dewasa dan ini bisa berbeda2 dari tiap orang""

Saparella (minum di tempat) 18k
Saparella (bawa pulang + botol) 20k
"" Untuk saparella jujurly aku suka, (karena dari kecil dah biasa minum jamu) jadinya ya tetep enak itu minuman

Ada juga pilihan gudeg kendil (lupa harganya)

Bahkan bisa juga kita cuma mau beli telurnya aja untuk oleh"". Suka suka lah mau pesan apa.

Next time ke jogja pengen mampir kesini lagi. Semoga Gudeg Bu Slamet semakin laris dan berkah. Aamiiin.",5
,,3 bulan lalu,YN Alvana,Local Guide,142 ulasan,"Gudeg Bu Slamet merupakan salah satu pelopor gudeg kering yang ada di sentra gudeg Wijilan. Cita rasa manis legit dan ""nglendhi"" dari areh dan gudegnya menjadikan Gudeg Bu Slamet memiliki ciri khas. Teknik masak masih mempertahankan cara tradisional dengan kayu bakar sehingga rasa tetap orisinil. Lauk berupa ayam kampung dimasak lama di panci besar yang penataannya sesuai dengan bagian ayam, yaitu dada di bagian bawah, kemudian menthok, paha, dan bagian lain. Sementara itu, bagian paling atas diletakkan telur bebek yang sebelumnya sudah dimasak memakai bumbu rempah dan areh sampai gempi. Lokasi nyaman untuk makan di tampat dan penjual ramah. Tersedia pula oleh oleh khas Jogja yang termasuk di dalamnya ada gudeg kaleng.",5
,,seminggu lalu,Yusuf Kurniawan,Local Guide,121 ulasan,Enak.. jam 6 pagi saya beli sudah buka. Jadi bisa dibawa untk oleh²,5
,,2 bulan lalu,mas prayit,Local Guide,127 ulasan,Ini baru gudeg... mantab.. tdk terlalu manis.. ssh langganan 10 thn lbh saya. Stiap ke jogja pulkam pasti mampir,5
,,9 bulan lalu,agas spt,Local Guide,47 ulasan,"Nikmat dan lezat, kalo gudeg yogya kebanyakan kering tanpa adanya kuah opor atau krecek",5
,,6 bulan lalu,Andri Irawan,-,24 ulasan,"Kalau bisa harga ditekan turun, insha Allah kedepannya lebih ramai pengunjung, membludak (kecuali kalau sudah ada kesepakatan harga dengan semua pedagang yang sejenis. Bisa ditambah dengan bonus2/ tambahan sesuatu pada hidangan). Mohon maaf, dan terima kasih.",4
