PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Gudeg Kulon Tugu,,,,,,,
,https://www.google.com/maps/search/Gudeg Kulon Tugu jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,Himma wanty,Local Guide,735 ulasan,Gudeg khas jogja..minusnya nasinya ambyar dn keras..lauk ayam opor mantul empuk dan pas gurihnya..lokasi emperan jalan dekat perempatan Tugu.,4
,,2 bulan lalu,Puteri S P,Local Guide,130 ulasan,"Salah satu gudeg emperan yang enak dan rekomen, makan sambil menikmati atmosfer Tugu di malam hari. Cuma kalau rame ya mesti sabar, ibunya ramah kok.",5
,,4 bulan lalu,Aries Danni Susilo,Local Guide,53 ulasan,Salah satu gudeg emperan yang enak di Jogja. Harganya pun sangat affordable. Makan gudeg sambil ditemani pemandangan tugu Jogja. Wajib coba kalau pas mampir Jogja.,5
,,setahun lalu,Agus pipo,Local Guide,64 ulasan,"Gudeg kulon tugu merupakan salah satu tempat makan gudeg yang enak dan ramai di kota yogyakarta. Ditambah dengan tempatnya yang strategis dekat dengan tugu jogja membuat tempat ini ramai dikunjungi warga ataupun wisatawan luar kota. Cita rasa yang khas dari gudeg ini buat pengen makan lagi dan kembali ke jogja lagi. Dengan harga yang gak terlalu mahal juga pas untuk kantong backpaker habis itu bisa jalan ke tugu jogja untuk hunting foto.
Cobain !",5
,,4 tahun lalu,Sito Hapsari,Local Guide,83 ulasan,"Gudeg yang berada di Kulon (Barat) Tugu Pal Putih Jogja ini memang legendaris. Sebelumnya berada di depan toko Gunung Agung (skrg sudah tidak ada tokonya), persis di perempatan Tugu.
Sekarang berada di depan Studio Foto Sinten, buka mulai jam 18.00. Gudegnya termasuk jenis gudeg basah, bisa pakai nasi atau bubur. Pilihannya lauknya macam2, selain gudeg, tersedia juga baceman tempe, tahu, ayam dan sate2an seperti sate telur, sate usus, dll. Oiya, buburnya rekomended 👍 bubur diberi areh dan sambel gorengnya, mantaapp!

Kalau main ke Jogja dan belum berkunjung ke sini, rasanya belum sah, hehe..
Kalau berkunjung saat jam makan malam, bisa dipastikan akan sedikit antri 😃

Untuk minuman tersedia teh, jeruk dan wedhang tape ketan hijau juga ada..

Monggo pinarak👍",5
,,4 tahun lalu,Busan Passer,Local Guide,183 ulasan,"Gudeg wuenak yang berada di sebelah barat Tugu Yogyakarta. Disini khasnya yang membedakan dengan gudeg ditempat lain adalah ada daun  singkong rebus , selain gori, krecek , telor dan ayam suir. Gudegnya lembut karena dimasak sempurna berjam jam. Bacem tempe dan tahunya besar dan gurih karena direbus dengan air kelapa dan bawang yang pas racikannya. Tersedia pilihan untuk lauk gudeg yaitu ayam goreng (paha, dada, kepala, ceker, ati ampela dan telur puyuh). Krupuk genar dan krupuk bulat putih pun rersedia disini.Minumnya ada teh manis dan jeruk panas. Tempat makan bisa lesehan atau duduk di kursi panjang / kursi plastik perorangan. Hanya menerima pembayaran tunai.tempat parkir dibahu jalan depan warung gudeg. Buka setiap hari dari jam 19 WIB sampai  dengan jam 03 WIB.",4
,,3 tahun lalu,yurista sulis,Local Guide,241 ulasan,"Gudeg versi basah,sambel goreng tdk trlalu pedas.Bisa jd pilihan untuk yg kurang suka pedas.Pilihan lauk lengkap (telur,ayam,tahu,aneka sate).Bisa pilih dengan nasi ato bubur.",4
,,10 bulan lalu,Iam Iam,-,33 ulasan,"Ini adalah Gudeg langganan keluarga saya ketika di Yogya selain Yuk Jum dll, rasanya lebih cocok untuk kami orang Jawa Timuran yang cenderung suka gurih, asin dan Pedes.

Sayangnya khusus malam ini rasanya agak beda dengan yang biasanya, penyebabnya kenapa saya gak tahu.

Sayang tempat parkirnya yang kurang memadai karena dekat perempatan Tugu sehingga harus mutar berkali kali untuk mencari slot parkir yang kosong.",4
,,8 bulan lalu,Dicky One,Local Guide,127 ulasan,"nasi gudek nya enak , porsi juga lumayan , lokasinya dibarat tugu jogja , kalau pas rame susah nemu area parkir, wkwkwk",5
,,3 tahun lalu,Hendro Sukoco,Local Guide,348 ulasan,"Nasi gudeg ini ada di emperan toko barat tugu jogja, di timur pasar kranggan.. Rasanya enak, hampir tiap ke Jogja menyempatkan diri kesini utk ngisi perut malam yg keroncongan.. Tadi menikmati nasi gudeg telor+kerupuk+teh 18rb..bisa mampir stlh puas foto2 di tugu 🙂🙂 …",4
,,3 tahun lalu,Alvin Lie,Local Guide,68 ulasan,"Nasi Gudeg super lezat, gurih, nikmat.
Sudah puluhan tahun jadi agenda makan malam wajib setiap kali saya ke Yogyakarta.

Terik Uritan & Sate Brutu menu favorit untuk melengkapi gudeg",5
,,2 tahun lalu,Kelik Ayah Razan - Zhafran,Local Guide,288 ulasan,"Tiap Mudik seringnya mampir dulu kesini
Gudegnya cenderung gurih cocok untuk yg tdk terlalu suka manis
Potongan ayamnya jg besar dan banyak pilihan lauk",5
,,4 bulan lalu,utami subowo dapurAmy,Local Guide,300 ulasan,"Enakk.... Ibunya baik dan ramah...
Menunya juga lumayan banyak,  ada ayam bakar dan sate satean.
Makan sambil merasakan suasana tugu jogja.",5
,,3 tahun lalu,Ratna Yuwono,Local Guide,771 ulasan,Gudeg malam...bisa nasi bisa juga bubur...digudegnya ada daun singkong dan daun pepaya...gak pake ngantri dan harga standart...rasa boleh juga lah 👍 …,4
,,5 bulan lalu,Vera Novita,-,2 ulasan,"gudegnya enak cuma kang parkirnya gak sabaran! hentak kaki juga , dah kapok! padahal uangnya baru di ambilin dari dompet tapi nungguin sambil hentak2 kaki gitu. KURANG NYAMANNNNNN & YANG NGELIATIN GAK BIASA KAYAK NGINCAR SESUATU!",2
,,10 bulan lalu,R-ween,Local Guide,35 ulasan,"Kalo disini, ga terlalu manis. Tapi justru itu yg disuka. Selalu rame sih. Sederhana, belum terlalu terkenal, tapi enaak. Plus nostalgia 😁",4
,,3 tahun lalu,Sunarto Sunarto,-,3 ulasan,Rasanya enak Harganya juga  terjangkau ..legend lah pokoke Gudeg Kulon Tugu,5
,,4 tahun lalu,PITU PITU,Local Guide,6 ulasan,"Gudeg lumayan enak posisi di tengah kota jogja 50meter dr tugu jogja,  buka sepanjang malam sampai pagi menjelang subuh.",5
,,3 tahun lalu,Rr. Niken Dian Anggraini,Local Guide,92 ulasan,"Bismillah. Alhamdulillah. Kuliner malam dekat Tugu Jogya. Nasi ayam suwir plus jeruk hangat 18k. Rame, bisa duduk kursi atau lesehan. Antrinya sebentar doank.",4
,,setahun lalu,Muhammad Afif S,-,2 ulasan,"Jalan2 ke tugu mampir kuliner kesini.. Alhamdulillah puas, rasanya tidak usah ditanya.. juara pokoknya.. lokasi deket banget sama tugu, sebelah kulonnya (barat).",5
,,6 bulan lalu,Syatya Family,-,1 ulasan,"Kalau gak bisa bahasa Jawa, sebaiknya tanya dulu harganya baru makan, jangan makan seblum tau harga nanti kaget.",3
,,3 bulan lalu,Tyas Kristanti,-,3 ulasan,Gudegnya enak dan harganya terjangkau suiiiip,4
,,4 bulan lalu,Emanuel Anggono,Local Guide,135 ulasan,"Gudeg underated di Jogja.
Enak puoll.. bubur gudegnya apalagi",5
,,setahun lalu,Bodhaswara Setiawan,Local Guide,256 ulasan,"Gudeg Kulon Tugu ini adalah gudeg kaki lima yang jualannya hanya pada malam hari.
Meski kaki lima namun rasanya gudeg, opor, krecek dan bacemnya enak.
Untuk soal harga lumayan murah, dan lokasinya meski diemperan lumayan bersih dan Ibu  penjualnya ramah.",4
,,setahun lalu,Joharsono Machfoedh,Local Guide,127 ulasan,"Rasa tidak pernah bohong, sejak 30thn yll",5
