PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Hen's Coffee,,,,,,,
,https://www.google.com/maps/search/Hen's Coffee jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Abirafdi Darutama,-,200 ulasan,"Tempat nya nyaman, tidak terlalu berisik karena pengunjung maupun lalulintas, tempat cocok buat santai buat belajar maupun buat meeting kecil, parkiran lumayan luas bisa untuk mobil, sayang tidak terlalu keliatan kalau tidak teliti...... tapi akses tetap mudah... untuk makanan dan minuman nya harganya wajar dan lumayan enak affordable lah yg perlu dibawahi makanannya unik unik.... pelayanannya juga memuaskan ramah dan komunikatif... mantaplah... enggak rugi buat dicoba, worth to try 😃😃😃",5
,,4 tahun lalu,Ikhsan Muas,Local Guide,21 ulasan,"Mungkin pernah lewat, dan semoga enak",4
,,4 tahun lalu,wildan rifai,Local Guide,95 ulasan,Kopinya enak!,4
,,4 tahun lalu,ayu larasati,Local Guide,257 ulasan,Kopinya mantap,5
,,4 tahun lalu,Achmad Aflatun Ersyad,Local Guide,45 ulasan,Tempat coffe nyantai dan nyaman,5
,,5 tahun lalu,Bakhus,Local Guide,161 ulasan,Lumayan buat nobar bola,4
,,4 tahun lalu,Martha Yousephine,Local Guide,239 ulasan,Revisi,5
,,4 tahun lalu,Gizka's,Local Guide,121 ulasan,Minim tapi asik,4
,,4 tahun lalu,Febrian Ramadhan,Local Guide,105 ulasan,Tempatnya bagus,5
,,4 tahun lalu,Novie Ananda,Local Guide,33 ulasan,"Tempat nongkrong asik,",5
,,4 tahun lalu,Trytrytry 21,Local Guide,198 ulasan,Mantul,5
,,4 tahun lalu,iqbal m,Local Guide,18 ulasan,Lumayan,5
,,4 tahun lalu,junita tya,Local Guide,123 ulasan,Lumayaanlah,3
,,6 tahun lalu,adityo nugroho,-,4 ulasan,Great coffee shop and still developing the taste for guest's satisfaction,4
,,4 tahun lalu,Dimas Sandiaka (Dim's),Local Guide,65 ulasan,Coffee time,5
,,4 tahun lalu,Steven Dicky Putra Perdana,,,,3
,,4 tahun lalu,Mahendra Wahyu,,,,4
,,4 tahun lalu,Fajar Apriyanto,,,,5
,,2 tahun lalu,Faizatun Nisa Luthfia,,,,4
,,4 tahun lalu,Nugitama,,,,1
,,6 tahun lalu,vhaa Loved,,,,5
,,4 tahun lalu,Suleman Dotutinggi,,,,5
,,4 tahun lalu,Rita Hidayanti,,,,5
,,4 tahun lalu,Bella Syaifillah,,,,5
,,4 tahun lalu,HELLO MASDED,,,,4
