PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
"Kata Kopi, Jogja",,,,,,,
,"https://www.google.com/maps/search/Kata Kopi, Jogja jogja",,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Nurhana Tri Utami,Local Guide,920 ulasan,"Nemu satu lagi perkopisusuan yang cocok di lidah.
Tau ada ini udah agak lama sih. Tapi baru kesampean mampir.
Kalau dilihat sih tempatnya kecil. Tapi disetting indoor dan outdoor. Kalau di dalem paling muat 6 orang doang.
Kemarin mesen kopi kokoh. Rasanya enak. Nggak terlalu manis. Pas.
Temen mesen rum regal yang tanpa kopi juga katanya seger.
Barista ramah.
Harga standar.
Menerima pembayaran via ovo, gopay dan shopeepay juga.
Balik ke sini lagi? Ya!",5
,,2 tahun lalu,Fathoni Ridlo,Local Guide,163 ulasan,"Minimalis, enak kopinya start 15k - 25k

Gak ada WC, tapi masjid deket2 sini ada kok

WiFi mantep

Pandemi buka jam 11 siang sampai jam 7 malem doang",5
,,3 tahun lalu,Tritho Santo,Local Guide,426 ulasan,"Tempatnya kecil, tapi di set untuk indoor dan outdoor. Rum regalnya seger tapi emang terlalu manis.",5
,,2 tahun lalu,Bangun Setiawan,Local Guide,105 ulasan,"Tempatnya cozy, bartendernya ramah, speed internetnya luar biasa, bagus buat kebutuhan download... Kopinya tasty bgt, baru pertama kesini yg jelas bakalan kesini lagi...",5
,,3 tahun lalu,Bagus Ario,Local Guide,417 ulasan,"Tempat nya kecil tapi cukup nyaman, pilihan menu bervariasi, pelayanan ramah dan memuaskan, harga standar, mbaknya cantik...",4
,,2 tahun lalu,silvia lestari,Local Guide,12 ulasan,Kopinya enak tp agak cepet dikit boleh lo mas melayaninya hehehe,5
,,2 tahun lalu,Shyntia Tan,Local Guide,252 ulasan,"langganan doi ngopi, beli selalu di sini setiap minggu dan selalu kalau belinya lebih dari satu, satunya pecah, tumpah. diperhatikan seal tutup gelasnya ya kak, sudah dua/tiga kali kopinya tumpah di plastik sebelum diminum gara-gara sealnya ga rapet, bocor gede.

plus plastik kreseknya jangan yang lebar kak, yang panjang, yang lebar itu selalu tumpah. PLUS menu ramadhan itu sedotannya salah kak, masa sedotannya kecil padahal isinya cincau gede-gede banget enggak kesedot sama sekali. mubazir ketinggalan terus di gelas.",3
,,2 tahun lalu,Hananta Arigio,Local Guide,121 ulasan,"Nyaman bersih, agak panas, mungkin acnya bisa dibuat lebih dingin",5
,,3 tahun lalu,Midnight Brewer,Local Guide,75 ulasan,"KaLo kopi sih menurutku standard.. rata2 Lah sama Kedai kopi sejenis...
Cuma pas saya coba yang kopi kokoh.., enaak.. manis.. Lumayan.. .
Staff Ramah Banget.
Tempat keciL. Cocoknya take away aja..",3
,,2 tahun lalu,Him W,Local Guide,64 ulasan,"kata kopi menyajikan minuman kopi spesial,kopi klasik dan minuman. Tempat minimalis, nyaman dan free WiFi. Harga cukup terjangkau & bisa di pesan lewat aplikasi go food.",5
,,3 tahun lalu,Joshua Dwi,-,2 ulasan,"Akhirnya salah satu es kopi susu terbaik hadir di kota Jogja., tempatnya juga keren banget., cocok buat nongkrong.

Harganya juga AMAN banget buat kantong.

Sukses selalu Kata Kopi, Jogja.",5
,,setahun lalu,Agit Amrullah,Local Guide,68 ulasan,"Kopinya mantep, pilihannya cukup banyak.. rasa 11-12 dengan yg di deket terminal concat*",5
,,3 tahun lalu,AYAM GORENG LESEHAN PAK DIN,-,139 ulasan,"Mantul
Bagi anda pecinta sambel di lesehan pak din boleh di coba maaf kak numpang lewat iklan ya kak
Mudah mudahan kita jualan tambah laris & berkah.",5
,,setahun lalu,Steven Pandu,Local Guide,28 ulasan,"Kopi Kokoh is my Fave 👍👍👍
Sering banget beli di sini, mgkn seminggu min 2x ya... hahaha …",5
,,3 tahun lalu,Rico Pratama Putra,-,8 ulasan,"Tempatnya nyaman, rapi, bersih, dan elegan. Menunya juga enak-enak. Wajib mampir kesini pokoknya",5
,,3 tahun lalu,Vibi Primantono,Local Guide,37 ulasan,"Ada wifi, colokan, kopi nya enak
Minusnya tempat parkiran kurang bersahabat",5
,,9 bulan lalu,Pak Eko,Local Guide,151 ulasan,Ngopi aja,5
,,3 tahun lalu,Mr. Tato tato,Local Guide,65 ulasan,"harga kopi ramah di kantong, baristanya ramah juga, rasa kopi sudah pasti mantab",5
,,3 tahun lalu,Graceilla Angelica,Local Guide,18 ulasan,"Petugasnya ramah banget, tempatnya bagus, kopinya juga enak. Pas",5
,,3 tahun lalu,RA Atika Diah S,Local Guide,88 ulasan,"perpaduan rasa kopi yang pas, tempatnya kecil tapi nyaman",5
,,setahun lalu,Antonio Davespa,-,1 ulasan,"Mantap kopinya,, ramah pelayanananya  !!",5
,,3 tahun lalu,Ibnu Abdee,Local Guide,114 ulasan,Lokasi kopi deket dengan per4 UPN. sambil nunggu gojek.,5
,,2 tahun lalu,YOSE KORNELIUS,Local Guide,19 ulasan,"Kopinya cukup enak, wifinya kenceng",4
,,2 tahun lalu,Rahma Desyani,Local Guide,18 ulasan,Tmptnya kecil tp kopinya enak,4
,,3 tahun lalu,Donnelly Don,Local Guide,614 ulasan,Buat yang suka es kopi layak untuk di coba 😁 …,3
