PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kopi Koji,,,,,,,
,https://www.google.com/maps/search/Kopi Koji jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,rendy aditya,Local Guide,64 ulasan,Kopi nya enak sih. Harga jg terjangkau bgt sih. Mantepp,5
,,4 tahun lalu,ayu dwi wijayanti,Local Guide,151 ulasan,Tempatnya masuk ke dalam gang jadi agak susah dicari. Menunya masih basic kopi snack dan makanan belum banyak pilihannya,3
,,3 tahun lalu,Nur Laela,-,1 ulasan,"Bagus,nyaman,baristanya ramah ramah..",5
,,3 tahun lalu,Zetsu Putih,Local Guide,139 ulasan,kopi terbaik,5
,,setahun lalu,AGUNG PUTRA,Local Guide,34 ulasan,Bersih,5
,,3 tahun lalu,Zaki Hasan Nur Rohman,Local Guide,110 ulasan,Mantap buat ngospayy,5
,,4 tahun lalu,Wahyu Dewa,Local Guide,126 ulasan,Mantab,5
,,4 tahun lalu,Johandukandiwarung,-,1 ulasan,Mantul,5
,,2 tahun lalu,Muhammad Rahmana,-,37 ulasan,cappucino rasa enak yang terjangkau,5
,,4 tahun lalu,gregorius andy,Local Guide,96 ulasan,Kopi enak ... pelayanan bagus 😎,5
,,3 tahun lalu,M.R Muzakki,Local Guide,83 ulasan,Kopi susunya mantap,5
,,3 tahun lalu,Nabil Ulum A.R,Local Guide,32 ulasan,Ntaps,5
,,3 tahun lalu,Zunif Vitra F Syawestu,Local Guide,55 ulasan,Rainbow effectsyk di instagram,5
,,3 tahun lalu,Adityo van dhimaz,Local Guide,309 ulasan,Kopi enak,5
,,setahun lalu,antyra,,,,4
,,3 tahun lalu,Gugi Gustama,,,,5
,,3 tahun lalu,alona elvia novita,,,,5
,,4 tahun lalu,LuNuNaKi,,,,5
,,3 tahun lalu,Aan Kertabumi (Aan),,,,2
,,4 tahun lalu,Muhammad Abdillah,,,,4
,,4 tahun lalu,Adetya Johan,,,,5
,,3 tahun lalu,fajar eggy,,,,5
,,4 tahun lalu,Diana Novita Koentoro,,,,5
,,sebulan lalu,Victory Cell,,,,5
,,sebulan lalu,Victory Cell,,,,5
