PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kopi Kudos,,,,,,,
,https://www.google.com/maps/search/Kopi Kudos jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Wildan Z,Local Guide,25 ulasan,"Tidak kalah dengan kopi susu lainnya, harga mulai 10k udah bisa ngopi ❤️❤️❤️",5
,,2 tahun lalu,Irfan Muhammad,Local Guide,224 ulasan,"Saya kasih bintang 5 karena yg jual kakak saya.
Monggo mampir, insyaAllah dpt pahala.
.
.
Rate keseluruhan 1/10 = 8.
Thank you !",5
,,2 tahun lalu,Endra Kusuma,-,3 ulasan,Mantapp slurr kopinya recomend banget harga mahasiswa rasa kelas atas,5
,,setahun lalu,An E,-,1 ulasan,"Penjualnya ramah, kalo bingung mesen apa rekomendasi nya ga perna salah 😃 …",5
,,2 tahun lalu,Riki setiawan,-,3 ulasan,"WOW
Rasanya mantap tap tap tap
Penjual ramah, ga pelit susu UHT joss",5
,,8 bulan lalu,Baihaki Ainurafik Kurniawan,-,1 ulasan,Harga murah poll rasa enak poll,5
,,10 bulan lalu,Rustam Right,Local Guide,17 ulasan,"Tempat yang strategis, mudah dijangkau dan ditemukan. Menu varian yang banyak dan sajian nya enak. Rekomendasi",5
,,setahun lalu,Yusuf Dagri,-,1 ulasan,Harganya murah meriah cuma Rp. 10.000 an. Baristanya ramah. Cocok untuk ngopi sambil isap rokok dan baca buku.,5
,,setahun lalu,Anugrah Tri Saputra,-,2 ulasan,"Fav gw kopi susunya sih, rasanya pas dan bikin mata Makjrengggg",5
,,setahun lalu,yulian ananto rachman,-,1 ulasan,"Harga ramah dikantong, rasa mantap , lokasi strategis , ajib lah",5
,,setahun lalu,Imam Anas,Local Guide,21 ulasan,kopi susu spesial tanpa gula 💯,5
,,setahun lalu,Yosepan Sinaga,-,1 ulasan,Kopi nikmat nyaman di lambung dan di kantong 🥰 …,5
,,4 bulan lalu,Januarizal Abdullah Fauzi,Local Guide,24 ulasan,Tempatnya cozy dan pelayannya ramah.. Enak kopinya,5
,,11 bulan lalu,oreo milky,-,1 ulasan,"harga murmer,rasanya mantul 👍👍 …",5
,,2 tahun lalu,Nova Ghaisani Nasution,-,3 ulasan,suka matcha nya :)),5
,,2 tahun lalu,Papa JalanJalan,Local Guide,241 ulasan,"even though they sell in a container , the coffee taste is a delicious.
You could order many variants of coffee milk such as banana, palm sugar, caramel, etc.
The prices range are 10k - 16k.
Ask barista for special request. I advice u going by a motorbike",5
,,setahun lalu,alaik ababila,-,5 ulasan,Good mood with good coffee milk,5
,,2 tahun lalu,Aloysius Gonzaga Pradnya Sidhawara,Local Guide,31 ulasan,"Nice place, cozy, good taste",5
,,9 bulan lalu,M. Bastian,-,2 ulasan,Wishlist,5
,,setahun lalu,rifqi kumara jaya,,,,5
,,11 bulan lalu,Muammar Andrean,,,,5
,,setahun lalu,Fauzan Yoga Pratama,,,,5
,,seminggu lalu,teguh permana rahayu,,,,5
,,setahun lalu,Retno Diyah,,,,5
,,setahun lalu,Bravo Anoa,,,,3
