PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kopi PM ꧋ꦏꦺꦴꦥꦶ꧇ꦥ꧈ꦩ꧈꧇꧉,,,,,,,
,https://www.google.com/maps/search/Kopi PM ꧋ꦏꦺꦴꦥꦶ꧇ꦥ꧈ꦩ꧈꧇꧉ jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,zie suharmanto,Local Guide,79 ulasan,"menyenangkan,, suasana enak,, ownernya baik sekali,, pelayanan ramah,, ada yg baca tarot juga... asik pokoknya...buat reunian pun oke...",5
,,2 tahun lalu,Ryan Fernanda Putra,-,5 ulasan,Nicee menu barunya 👌🏾👌🏾. Harga Mahasiswa hehe.. …,5
,,setahun lalu,Zaenury Arivaldi,-,3 ulasan,Tempat ngopi asyik dengan harga kaki lima rasa bintang 5 👍 sukses terus KOPI.PM …,5
,,setahun lalu,Hendrianto Primarendra,-,12 ulasan,kopinya enak dan penjual ramah...sekali datang akhirnya datang dan datang lagi,5
,,2 tahun lalu,S B,-,12 ulasan,Mantab kopinya.... murah.... enak....,5
,,setahun lalu,septianingrum sunaryo,-,5 ulasan,Kopinya mantap,5
,,2 tahun lalu,Samuel Indratma,Local Guide,17 ulasan,Sangat sedaaaap,5
,,2 tahun lalu,Agung Saputro,-,3 ulasan,Nice place for drinking coffee & hangout with friends & families..,5
,,6 bulan lalu,agung nugroho,Local Guide,20 ulasan,Okidoki.,5
,,setahun lalu,muhammad adhi,,,,5
,,2 tahun lalu,Zabid Fairuszy,,,,5
,,setahun lalu,Fabri Yanto,,,,5
,,setahun lalu,Astri Estu,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
,,2 tahun lalu,agung budi,,,,5
