PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kopine Eyang,,,,,,,
,https://www.google.com/maps/search/Kopine Eyang jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,8 bulan lalu,Bernadeta Heksa,Local Guide,20 ulasan,"coffee shop daerah sekitar kraton yg masih bisa di bilang “murah” karena harga nya bener bener terjangkau di kantong pelajar dan anak kos. disini juga ada menu kopi pagi dan menyediakan wifi buat nugas atau work from cafe. pelayananya juga oke banget sih. tempatnya bersih, tapi sepertinya tempat sampah yg ada di deket meja di luar bisa di pindah saja, soalnya agak ga enak nongkrong. tapi overall oke banget sih",5
,,setahun lalu,Awang Bagas,Local Guide,126 ulasan,"Cafe di nJeron Beteng orang jogja nyebutnyaa. Mayan lah cocok buat nugas. Mejanya panjang-panjang bisa buat ber 3-4. Ada colokan didekatnya jadi ngerjain pake laptop ga khawatir baterai abis. Buka sampai jam 11/12 jadi ada mayan banyak waktu.
Indoor dan outdoor, walau outdoor tapi ga banyak nyamuk. Untuk minuman si beli signature non coffeenya rasa standar.

French friesnya enak, potongan kecil-kecil. Digoreng garing jadi beneran crunchy dan berasa sampe kedalem. Sungguh nikmat.
Sayangnya toiket cuma 1 huhu, dipojok jauuh lagi. Dan toiletnyaa bagusan toilet di SPBU 🥺",4
,,5 bulan lalu,Utama Dima,Local Guide,245 ulasan,"Kopinya tetep enak, walaupun untuk ukuran saya kopi susu gula arennya terlalu manis. Selain kopinya yg enak juga cafe ini punya tempat outdoor yg nyaman juga di bawah pohon. Untuk harga juga cukup murah, dengan adanya jam kopi pagi.",5
,,3 bulan lalu,Arifah Septiawati,Local Guide,57 ulasan,"Vibes coffeshopnya sangat sejuk dan nyaman. Ada ruangan outdoor dan indoor. Baristanya ramah sekali dan cekatan. Saya datang kesini pukul 12 ada promo ngopi pagi hanya 15k saja. Rasa kopi susune eyang enak dan ringan. Salahsatu kafe yang saya rekomendasikan didaerah njeron beteng. Rasanya klo nongkrong disini ingin ngobrol lama”, ada wifi kenceng jg🥰",5
,,6 bulan lalu,Kneaaa,Local Guide,186 ulasan,"kopinya enakk, kopi cucunya 8/10.v60 nya 8/10 juga. kakak baristanya jg ramaahh yg cewe lucuu bgt mbaknya hehehe. tmpanya di tengah kota tp harga ttp standar ga yg mahal mahal gituuu",3
,,4 bulan lalu,Windy Ika Setyaningrum,Local Guide,43 ulasan,"Tempatnya cukup luas, tapi kalau malem rame banget. Cukup affordable untuk kantong mahasiswa dan kopi arennya enak, kalau nugas enak di dalem tapi kalau nongkrong bareng temen enak di bagian luarnya. Tempat sekeliling bernuansa jadul ala ala gitu bagus buat foto",5
,,setahun lalu,Eko Anug,Local Guide,71 ulasan,"Bangunan lawas, banyak pohon, dan playlist yang asik bikin nyaman kerja di rumah eyang @kopine.eyang

Seneng banget dapet coffee shop dengan suasana yang nyaman gini di tengah kota. Tiap meja sudah disediain kabel rol jadi ga bingung buat laptoan sambil ngecas gadget.",4
,,3 bulan lalu,Anggi Liliani,Local Guide,13 ulasan,"Enak asli kopsusnya, tempatnya juga teduh, suasananya tenang enak banget klw buat nongkrong, klw nugas sebenarnya bisa, ada colokan juga cuman agak kurang tenang aja sih soalnya gabung sama customer lain. Klw ga salah kopsus yg ku pesan harganya 21k. Besok"" Mau kesitu lagi deh",5
,,sebulan lalu,N. Afifah Arista P,-,5 ulasan,"Ga begitu besar tp Chill bgt tempatnya!! Cuma kadang kl dah penuh kudu bgt ke referensi ngopi berikutnya huhuhu
Kopinyaa enaakk, lebih suka pesen original dan manual 👍🏼👍🏼 satu lagi risol mayonya juara! …",5
,,sebulan lalu,Gupita Esti,-,13 ulasan,"tempatnya cukup nyaman buat nongkrong. cheese stick nya lumayan, kopinya enak, non kopinya juga oke. baristanya ramah ramah, pelayanannya cepat👍🏻😆 …",4
,,setahun lalu,Eka Tanjung,Local Guide,15 ulasan,"Aksesnya sangat mudah, dekat dengan area gudeg Wijilan. Tempatnya nyaman, tidak luas tapi tertata efektif. Penataan tempat juga buat pengunjung nyaman. Beberapa meja tersedia colokan listrik bila pengunjung ingin memanfaatkan device yang butuh daya. Suasana memang seperti di rumah ""eyang"" tapi tetap memberikan kesan anak muda. Pengunjung juga tampak bisa mengerjakan tugas-tugas baik akademik atau pekerjaan. Selain itu, untuk nongkrong ngobrol juga sangat rekomended. Dari segi minuman juga menurut saya oke atau enak (tiap lidah beda penerimaan ya😅). So, suasana dan kopinya menurut saya ""OKE"".",5
,,setahun lalu,Lathifah Edib,Local Guide,44 ulasan,"Ada indoor dan outdoor. Untuk indoor, terbatas tempat duduknya. Lebih enak duduk di outdoor, kecuali bagi yang gak suka asap rokok sih. Suasana berasa ngopi di halaman rumah gitu. Enak sih buat garap kerjaan. Gak terlalu riuh.

Dekat dengan Alun-alun Selatan & pusat kuliner gudeg Wijilan. Harga kopinya standar. Ini es kopine eyang 18K aja. Menu lain belum dicoba karena kemarin cuma sebentar mampir. Kapan2 ke sana lagi buat garap kerjaan.",5
,,10 bulan lalu,Hani Anna,-,100 ulasan,"Harga masih terjangkau di wilayah kota jogja, minumannya pun enak. Kesana pas lagi tidak banyak pengunjung jadi lebih nyaman. Plus parkirannya luas dan tidak ada tukang parkir",4
,,3 tahun lalu,zamimotret,Local Guide,288 ulasan,"tempatnya asyik walaupun gak trlalu luas tapi cukup nyaman untuk ngopi sambil edit2.
meski sendiri pun tetap bisa enjoy di tempat ini.",5
,,setahun lalu,faldi yassin,Local Guide,55 ulasan,"Nice place. Tempat ngopi yg tenang, tidak berisik, rasa kopi yoi sekali. Lokasi tengah kota jogja",5
,,setahun lalu,R. K.,Local Guide,620 ulasan,Kopian di sekitar alun-alun kidul. Ada outdoor indoor syahdu. Asik buat nugas atau diskusi. Sayang varian beans utk manual brew-nya sedikit. Tapi kopi susunya enak dan ga kaleng-kaleng 😍 …,5
,,2 tahun lalu,antRaks channel,Local Guide,44 ulasan,"Saya mulai dari lokasi kali ya, yang jelas ditengah kota, disekitaran sentra Gudeg Wijilan. Dekat dengan Alun-alun Utara juga. Jadi gampang banget di jangkau, baik mobil, motor, atau ojol. Parkirannya juga lumayanlah.

Kemudian, tempat, untuk nongkrong bareng temen sih, ini tempat asik abis. Nyaman banget lah pokoknya. Suasananya juga tenang, gak banyak lalu lalang kendaraan dan pastinya ""Silir"" banget. Oh iya, Wifi nya juga kenceng dan tentu saja free, tinggal tanya passwordnya  ke barista, beres.

Lanjut ke menu, namanya warung kopi ya pasti suguhan utamanya adalah berbagai macam kopi dan turunannya lah ya, sama kayak yang lain. Ada beberapa camilan pendamping juga, semisal kentang goreng, posang goreng, dll. Untuk menu kopi, harganya juga relatif murah, hanya 15ribu untuk all varian kopi. Jadi, masih amanlah di kantong pelajar dan mahasiswa.

Terakhir, jam buka Kopine Eyang ini dari 08.00 WIB sampai 24.00 WIB. Dan close order jam 22.00 WIB.",5
