PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
LOKO CAFE STASIUN TUGU,,,,,,,
,https://www.google.com/maps/place/Loko+Coffee+Shop+Malioboro+Yogyakarta/data=!4m7!3m6!1s0x2e7a59860a4f83d1:0x7cb25403089474ed!8m2!3d-7.7898035!4d110.3657669!16s%2Fg%2F11f616bfcc!19sChIJ0YNPCoZZei4R7XSUCANUsnw?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,8 bulan lalu,Euricha Fany,Local Guide,90 ulasan,"Place ⭐⭐⭐⭐
Facility ⭐⭐⭐⭐
Drink ⭐⭐⭐⭐
Food ⭐⭐⭐⭐
Colokan ☑️

Tempatnya enak sih buat nongki sama temen rame rame atau sendirian juga gak masalah. Ada semi outdoor ada outdoor. Tapi karna diantara jalan raya dan rel kreta jadi kudu kompromi sama kebisingan juga. Enaknya sore, ketika orang kebanyakan kumpul deket benteng daripada deket stasiun. Agak keganggu sama letak parit deket antri kasir sih.

Kayaknya ada toiletnya, ada tempat cuci tangan samping kasir juga. Terasnya bersih sih paling cuma dedaunan dr pohon aja jadi sejuk. Ada colokan jg meski yg di outdoor.

Ada makanan berat sama ringan. Makanan beratnya ya berat sih buat dimakan di area outdoor kurang nyaman jd nyicip yg ringan aja. Tahu pedas, digambar menu kayak dibalut bumbu pedas tp sebenernya cuma tahu tepung dikasih bon cabe 😅
Hambar. Cuma ketolong asin bon cabenya. Pisang keju. Banyak sih sepiring dimakan sendirian kenyang dan gk pelit kejunya. Dibanding cafe tugu, ini better sih dan pisangnya gk terlalu lembek.

Untuk minum ada mineral water botol kecil sama kopinya light sih alus di lidah. Sedangkan lechy tea nya B aja. Total habisnya 99,900 untuk semua itu :)

Karna so far gak ada yg mengganggu dan nyaman² aja buat nyamil sambil ngobrol bareng suami, pulangnya bisa liat sunset di Selasar Malio juga, kasih ⭐ 4 dulu deh ya 😉",4
,,11 bulan lalu,Evita Rahmawati,Local Guide,61 ulasan,"Mantaap baru sekali nyoba dan definitely bakal dateng lagi!!!

++++ kelebihan
+ Lokasi di pusat kota Jogja, sebelahan sama stasiun Tugu tinggal jalan dikit aja.
+ Tempat luas, banyak meja kursi bisa buat ramean, ada yang sofa juga.
+ Kamar mandi bersih (dipisah cewe cowo)
+ ada mushola cukup luas buat 5-8 orang
+ pancakenya enakk!!! Ga kurang mateng, ga kematengan, lembuuut dan ga bau tepung!!! Saus coklatnya generous, ada eskrimnyaa juga, worth it buat harga 30k.
+ harga reasonable ini menurutku di tengah kota udah murah ya, kafe lainnya harga selangit loh.
+ menu banyak pol, ada makanan minuman dessert lengkapp. Air mineral harga 5k.

- minus
- parkir motor 4rb, parkir mobil di abu bakar ali agak jauh
- ada mas2 yg nawarin apa gatauu kumpul deket situ",5
,,7 bulan lalu,Yoggi Then,Local Guide,204 ulasan,"Sepertinya ada 2 lokasi untuk coffee shop ini, pertama di area Malioboro, lalu kedua di dalam stasiun Yogyakarta.

Saya mencoba yang di dalam stasiun Yogyakarta ketika sedang menunggu kereta. Lokasinya terbuka jadi bisa sambil mendengar pengumuman kereta tujuan kita.

Pelayanan cukup cepat, coffee latte nya enak dan cukup pas creamy nya. Selain kopi, ada juga menu lainnya yang bisa dilihat di pintu depan / kasir.

Tidak terdapat AC ya di dalamnya, hanya kipas angin. Tapi tidak pengap karena silingnya cukup tinggi.",5
,,sebulan lalu,sukma karina,Local Guide,40 ulasan,"Tempatnya enak bisa ngelihat orang2 di Malioboro dan bisa melihat kereta lewat.
Lokasinya di bawah pohon gitu jadi rindang , tersedia juga untuk yg indoor. Cocok buat orang tua, muda maupun anak2.
Untuk minuman enak
Snack juga enak gak kemanisan gak eneg meskipun base nya manis
Pelayanan nya juga bagus, ramah2.
Untuk kemasannya dan tempat juga higienis. Untuk harga standart sih untuk di lokasi tempat wisata",5
,,8 bulan lalu,Clarizsa Ayu Maharani,Local Guide,38 ulasan,"Sebetulnya ragu mau kesini setelah membaca review, dan ternyata benar kata orang-orang walaupun tempat dan live music lumayan bagus tapi pelayanan dan rasanya kurang memuaskan. Saya pesan iced mocha latte dengan es dikurangin. saat diantar pelayannya tidak menyebutkan nama pesanannya dan sepertinya salah karena coklatnya tidak terasa sama sekali, bahkan kopi dan susunya juga tidak terasa.",3
,,10 bulan lalu,tsuwai,Local Guide,275 ulasan,"Halo entah aku aja atau ada customer lain yang juga sama..
Waktu mampir kesana staf kasir kurang ramah (not friendly), terkesan ketus dan kurang membantu (not helpful)..
Harga pricey standard cafe dan untuk cita rasa so-so biasa aja hehe, tapi paling oke dari semua menu yang dipesan kemarin nasi goreng rawon lumayan cocok masuk rasanya .
Untuk sup rawon biasanya
Untuk nasi gorengnya biasa aja
Untuk bebek mayor kurang tasteful, sambel juga terlalu banyak bawang dan minyaknya..
Pisang goreng keju sampainya lebih lama dibanding makanannya hehe
Jadi ya nice to try aja tapi nggak buat langganan (sorry)",4
