PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Magistra Coffee FIB,,,,,,,
,https://www.google.com/maps/search/Magistra Coffee FIB jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 tahun lalu,em gm,Local Guide,251 ulasan,"Bisa-Bisanya ya,, aku yang ga bisa minum kopi jadi doyan ngopi, gegara ngicip kopi disini... lagian di magistra juga jual minuman” lain kayak matcha blablabla (lupa namnya) yang rasanya ga bakal kalian temuin dimanapun dengan harga yang murah banget!! Padahal rasanya selalu menggoda 😭😭😭 …",5
,,setahun lalu,Heru Lesmana Syafei,Local Guide,369 ulasan,Enak dekat terjangkau,5
,,4 tahun lalu,Nafrareza Aji Nindyamukti,Local Guide,7 ulasan,"Ngopi jhonn! Ke sini, kopinya macem macem, baristanya well, harga mahasiswa, ya iya, kan di kampus, sini jhaaa! Mau kopi apa? Magistra jawabannya!",5
,,5 tahun lalu,tito suryantoro,Local Guide,8 ulasan,"subhanallah, cerah sudah sehabis ngopi disini, yakin!!",5
,,3 tahun lalu,festi karima,Local Guide,84 ulasan,"Lumayan rasa kopinya, bisa bantu ngilangin kantuk disela sela kuliah",4
,,5 tahun lalu,Andry Mahardhika,-,3 ulasan,"Ngopi enak, suasana enak, sambil meratapi masa kuliah yg pernah dilalui",5
,,4 tahun lalu,Herdina Primasanti,Local Guide,164 ulasan,"Walaupun nggak pernah beli kopi di sini, tp orangnya ramah dan seru",5
,,4 tahun lalu,Papirayy Official,Local Guide,37 ulasan,"Kopi nya juaraaaaaaaa...
Must try, recomended..",5
,,2 tahun lalu,Keni Robikhuningsih,-,5 ulasan,"Kopi susu jawanya juwara, paling enak sedunia 😌😌😌🤘 …",5
,,3 tahun lalu,raka pranadipta,Local Guide,22 ulasan,"Tempatnya sangat nyaman, seperti saya di foto ini. Terlihat nyaman kan?",5
,,5 tahun lalu,Rasti Nugraheni,-,3 ulasan,"Ngopi di kampus...
Harga mahasiswa tapi berkualitas.",5
,,3 tahun lalu,ucca primadewa,Local Guide,117 ulasan,Lumayan daripafa lumanyun,4
,,4 tahun lalu,Lintang Nirmala,Local Guide,163 ulasan,Ngopi terfavorit di kampus,4
,,3 tahun lalu,adjie samiaji,Local Guide,190 ulasan,Kopinya nikmat,5
,,3 tahun lalu,Aristanti Oktavia Dewi,-,14 ulasan,Bersih dan recommended,5
,,4 tahun lalu,Wahyu Muthoharoh,Local Guide,75 ulasan,Bagus,5
,,4 tahun lalu,RG Erwinsyah,-,1 ulasan,Joss!,5
,,3 tahun lalu,Martha Setyowati,Local Guide,43 ulasan,😚☕ Nikmati secangkir kebahagiaan di Magistra,5
,,4 tahun lalu,Hasina Fajrin R.,Local Guide,126 ulasan,Masih salah satu kopi terbaik,5
,,4 tahun lalu,RATIH PUTRI SALSABILA,Local Guide,22 ulasan,Bagus,4
,,3 tahun lalu,Charina Indi,,,,5
,,3 tahun lalu,Yassriani Alma,,,,4
,,3 tahun lalu,Nurul Meika Tri Wahyuni,,,,5
,,3 tahun lalu,gregori noven,,,,4
,,2 tahun lalu,pram jasmine,,,,5
