PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Mamahké Jogja,,,,,,,
,https://www.google.com/maps/search/Mamahké Jogja jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,10 bulan lalu,rahmi agustina,Local Guide,34 ulasan,"Selang beda sehari jadi gak ketemu bia wkwk..

Tapi gapapa tetep kesampaian makan bleger.. mayonya tumpeh-tumpeh beef nya juga enak. Porsinya juga cukup buat ku.

Spageti nusantaranya juga mantap betul rasanya sedappppp.. beda dari yang lain.

Pilatto ice nya juga segerrrrrrr, karena waktu itu kebingungan nyobain apa (biar gak sia-sia udah jauh ke jogja) kata kasirnya ada minuman baru belum masuk list menu. Akhirnya aku coba, perpaduan rasa susu saus strawberry dan sirup mawar enak bangettt segerrrr.. wajib coba pilatto ice nya.

Mocktail serehnya juga segerrrrrr... waa gilasih lagi siang-siang panas disuguhin minuman seseger itu.

Next kalo ke jogja lagi mau coba yang lain.. :9",5
,,5 bulan lalu,Wardatul Khoiriyah,Local Guide,29 ulasan,"Tempatnya mendeskripsikan ""homey"" karena memang nyaman. Area outdoor tetap kerasa sejuk meskipun lagi terik. Makanan minumannya memang agak pricey tapi masih worth kok. Saya lupa nama spaghetti yang saya pesan, tapi ini rasanya enak meskipun bagi saya agak over-flavored, untung agak pedes jadi gak bikin enek, jadi masih oke. Bapak parkirnya ramah dan membantu sekalii.
Oh iya, hati-hati milih meja di bagian outdoor ya, ada beberapa yang mode jungkat-jungkit 😂",4
,,setahun lalu,mega nurcahyani,-,4 ulasan,"Rekomended bgt mamahke buat hangout sama temen. Kmren pesen bleger chicken, kentang ageng, kopi susu sama menu baru pillato icenya mantaab. Mayo burgernya melimpah ruah. Tempatnyaaa nyamaan bgt bikin betah lama2 di sana karena banyak spot foto yang instagramable. Pelayanannya the best👍🏻 ramah2 banget dan ada musolanya yang super bersih, mukenanya wangi sekali. Ada pojok bacanyaa jdi bisa baca2 buku yg sudah disediakan. Dijamin klo udah ke sini nagih",5
,,setahun lalu,Ghina Salma Syafiyah,Local Guide,11 ulasan,"Mamahke Jogja tampilan baru🥳
Tempatnya nyaman untuk yang outdoor maupun indoor, kamar mandi bersih, ada musholla juga.

Untuk harga minumannya pun termasuk terjangkau, Kopi Bia dengan ukuran cup lumayan besar ya hanya 18ribu saja.
Buat yang kangen atau mau coba cakenyapun sekarang ada mini size 20ribuan aja.

Worth to try bagi yang abis jalan-jalan sekitar Taman Sari, mau rehat sejenak hehe.",5
,,setahun lalu,Galih Opriawan,Local Guide,73 ulasan,"Review Jujur Mamahke Jogja

Untuk Rasanya relatif.. menurut saya belum special. Rasanya cenderung over sweet.. point plus nya dari tempatnya yg bagus tapi klo siang atau hujan kasihan para customernya..

Masih bisa di improve lebih baik lagi...",3
,,setahun lalu,nurul inayah,Local Guide,27 ulasan,"cafe yg buka mulai pukul 11.00 s/d 23.00 sepertinya jam buka nya berubah sejak tgl 3 april 2022, karena sebelumnya buka lebih pagi,
menu nya lumayan lengkap ada minuman kopi dan non kopi, snack, salad, burger, dan spageti (maaf kalau ada kesalahan dalam penulisan 😃🙏) ,
tempatnya cocok buat nongkrong, dilengkapi spot foto dan musik klasik.
sistem pelayanan self service ketika datang cek suhu, cuci tangan lalu pesan serta bayar di kasir lalu diberi alat calling system yg berbunyi ketika pesanan sudah ready untuk diambil. setelah selesai menikmati minuman dan makanan, sampah cup dan wadah makanan bisa dibuang di tempat sampah yg sudah tersedia.",4
,,setahun lalu,Ema Kemala,Local Guide,68 ulasan,"Tempatnya cukup mudah untuk ditemukan tetapi parkirannya tidak begitu luas. Ada menu untuk makan di tempat seperti burger, spaghetti, kentang, pisang, dan kopi kopian. Rotinya ada yang reguler size, kecil sepotong, sama rollcake. Ditengab rotinya ada pastry nya. Bagus buat dibawa oleh oleh.",5
,,10 bulan lalu,Lutfia Prihanani,Local Guide,682 ulasan,"Kesini cuma nemenin sepupu nyari oleh-oleh. Lokasi deket alkid, pak parkirnya ramah, tempat bersih luas, ada indoor dan outdoor, dan baru tau kalo ada caffenya. Pilihan kopinya juga banyak. Cafenya model-model rustic-rustic gitu.",4
,,setahun lalu,Atiqahsary,-,14 ulasan,"Lokasi nyaman bangetttt. Ada indoor dan outdoor area. Parkiran cukup. Setiap spot cakep banget buat difoto. Ke sini waktu puasa, dapet free rotinya. Kemarin pesen bleger sama spagetinya. Endul si. Wajib coba buat yang mampir ke jogja ataupun warlok",5
