PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Nol Kilometer Coffee & Tea Yogyakarta,,,,,,,
,https://www.google.com/maps/search/Nol Kilometer Coffee & Tea Yogyakarta jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Mlipir Sini,Local Guide,43 ulasan,"Tempat satu ini berada di sekitar ikon daerah istimewa. Lokasinya dekat dengan lapangan pribadi milik keluarga raja. Sehingga mudah ditemukan walaupun baru sekali main ke sana.
.
Bagian depan coffee shop ini kental dengan nuansa fancy ala-ala eropa. Bar-nya berada di ruang berbeda dibalik sebuah pintu kaca. Ditemani beberapa meja dan suasana hangat pasca hujan di kota Jogja.
.
Waktu itu aku dapat sambutan ramah dan rekomendasi dari mas barista. Hingga berbuah tawa karna seduhan soft yang cocok dengan selera saya. Nah untuk menu lain bisa kalian kepoin sendiri dari media sosialnya. Sebab saat itu aku hanya pesan kopi dan cemilan yang kulupa namanya.
.
Oh iya, katanya nuansa eropa bakalan makin kerasa saat tempat ini disinari oleh sang surya. Tapi karna kebetulan aku kesananya saat bulan lagi kebagihan shift jaga. Tingga rasa tenang sama sedikit romanda yang aku temuin di sana.
.
.
.",5
,,8 bulan lalu,Widya Maharani,Local Guide,47 ulasan,Cafenya terletak di 0KM sesuai dengan namanya. Suasananya tenang. Bangunan dan konsepnya juga oke. Cocok untuk nongki sendiri ataupun sama teman. Untuk harganya standar. Donat dan red velvetnya yahh lumayan ya. Yg lagi jalan2 di malioboro pas banget kalo lg capek bisa banget nongki di sini nikmatin suasananya,5
,,9 bulan lalu,dwi suci hartini,Local Guide,157 ulasan,"Selain bar untuk memesan makanan dan minuman kafe, ada bar Original Gelato disebelah pojok dalam kafe.

Ada sekitar 18 pilihan rasa gelato yang bisa Anda pilih, diantaranya mint choco, blackpink, thai tea, dragon fruit dan lainnya (kemungkinan pilihan gelato ini tergantung persediaan).

Oh ya gelato satu ini cepet bgt melelehnya. Jadi ketrampilan Anda menyantap akan diadu dengan kecepatan waktu leleh gelato.",4
,,setahun lalu,Lidwina Arin,Local Guide,974 ulasan,"Beyond my expectations 😭 Tempatnya saja yang asyik, dekat dengan Malioboro dan Nol Kilometer. Saya memesan hot cappuccino, terlalu cair, tidak pekat. Mana datangnya lama, malah keduluan dengan pengunjung lain setelah saya. Ya sudah gak apa-apa, itung-itung sambil lihat keramaian di sekitar nol km dan Malioboro.",3
,,seminggu lalu,Puteri Dwi Kusuma,Local Guide,151 ulasan,"Cafe ini cocok banget buat singgah setelah capek keliling disekitar situ. Tempatnya lucu, menunya banyak dan rasanya lumayan enak. Harga standar Coffee shop.

Kemarin nyobain :
-Donat matcha : lembut, tapi matcha-nya buat lengket dilangit"" mulut.
-Cireng : enak, gak terlalu tipis. Standar cireng, gurih. Cuma saos cocolannya terlalu manis

Toiletnya bersih, tapi lebih baik dibuat estetik wkwk. Ada musholanya juga.",5
,,11 bulan lalu,pandan arum,Local Guide,115 ulasan,"Tempatnya oke punya, aku pesan satu gelas cappucino dan rasanya enak. Untuk harga sesuai dengan rasa dan suasana resto yg disediakan. Cocok untuk ngopi ngopi sore cantik dengan suasana yang tenang, lokasi berada di pusat kota dekat malioboro, staff yang ramah. Benar-benar berkelas. Disini juga disediakan area outdoor dan indoor",5
,,setahun lalu,Bagus Rochadi,Local Guide,527 ulasan,"Tempatnya nyaman, ada live akustik juga. Baristanya cukup ramah, dan pesan Japanese cold brew di Bikinkan enak banget.

Rekomendasi buat yang suka berpetualang ke coffee shop..",5
,,10 bulan lalu,M. Febtian Syah Putra,Local Guide,14 ulasan,"Kafe yang menawarkan suasana ruangan bergaya modern-klasik, cocok dimanfaatkan sebagai tempat quality time sendiri maupun bersama teman atau keluarga. Lokasinya terletak di sebelah gedung BNI 0 km Jogja, sehingga bisa dikatakan cukup strategis. Untuk harga menu memang cukup pricey, tapi sesuai dengan kenyamanan yang ditawarkan.",5
,,3 bulan lalu,Martiana Sipahutar,Local Guide,574 ulasan,"Ga da parkiran di depannya karena langsung trotoar dan jalan raya. Area depan ber-AC dan lumayan sempit apalagi karena ada pojokan untuk live band (Jumat malam sehabis maghrib sampai dengan jam 21). Di area belakang terdapat lebih banyak meja dan kursi, juga bar untuk pesan minum dan makan, plus stand untuk gelato. Karena areanya terbuka dan ada tanaman2, lumayan banyak nyamuk. Hot cappuccino-nya (Rp24ribu) lumayan aja, gak seenak Blanco. Otak-otak lumpianya bukan sejenis otak-otak ala Bu Elly yang dibungkus kulis lumpia dan digoreng ya, rasanya lumayan enak kalo dimakan sendiri, tapi dicocol dengan saos sambal yang pas efektif menaikkan level kelezatannya.",4
,,5 bulan lalu,Hendra Wijaya,Local Guide,44 ulasan,"one of cafe shop beken di jogja yg legendaris, jadoel, artistic juga vibesnya adem..dekat dengan malioboro, habis jalan jalan cape bisa mampir geizz.selain coffee juga menyediakan gelato, yang pastinya bikin netes di mulut..",5
,,2 minggu lalu,Muhammad Abid Halim Gaffar,Local Guide,77 ulasan,"Iseng dan sekalian menghindari terik matahari di Yogyakarta membawa saya ke cafe ini bersama dengan keluarga saya. Dengan harapan yang tinggi karena tempat yang bagus serta berada di posisi yang strategis kami ke cafe ini.
Pertama untuk tempat memiliki suasana santai dan nyaman, tempat ini memiliki ruangan indoor dan outdoor. Cafe ini pun menyediakan musholla yang cukup luas serta toilet yang cukup bersih. Akan tetapi agak sulit untuk menemukan tempat parkir jika anda membawa kendaraan
Untuk pelayanan sangat disayangkan sangat kurang, berdalih dengan alasan penggantian shift menjadikan pelayanan sangat turun. Kebanyakan makanan & minuman habis padahal kami datang di siang hari, jika menu habis pun sebaiknya diberitahukan dulu sedangkan pada cafe ini membuat kami menunggu baru menginformasi bahwa pesanan kami tidak tersedia.
Overall sebenarnya memiliki potensi untuk bersantai ataupun bekerja dengan nyaman di tempat ini, hanya saja perlu beberapa perbaikan seperti di atas. Keep up the work!",3
,,setahun lalu,Lani Nur Anisa,Local Guide,101 ulasan,"Lokasinya sangat strategis dekat dengan nol kilometer yogyakarta. Tempatnya bersih dan nyaman dengan suasana yg tenang, namun disayangkan kadang pintunya berisik kalau ada yg masuk/keluar kafe. Minumannya enak dengan harga yg wajar dengan lokasi yg stategis ditengah kota",5
,,7 bulan lalu,"Suadi, Mr.",Local Guide,303 ulasan,"Kalau pas ke Jogja silakan mampir di kopi 0km. Tentu berada di tempat bersejarah sehingga bisa sekalian ngopi di tempat ya g memiliki nilai historis. Ada di titik 0 kilometer berarti bisa akses ke mana-mana di pusat kota, asal jalan kaki atau sepedaan. Kalau bawa kendaraan bermotor siap-siap dengan padatnya lalulintas ya. Kembali ke kopi-nya rasanya oke. Kali ini saya coba segarjagad, rasanya oke, walaupun saya lebih senang kalau rasa manisnya dikurangi dikit. Mendoannya agak khas, tentu beda dengan di tempat asalnya. Selamat mencicipi….",4
,,6 bulan lalu,Nanisa Davsra,Local Guide,314 ulasan,"Lokasinya di bagian selatan nol kilometer jogja. Kalo dari depan memang agak kurang terlihat karna kurang eye catching bagian depannya. Tempatnya luas, estetik dan terlihat mewah. Menunya makanan dan minumannya hampir sama dengan cafe cafe lainnya tapi banyak menu minuman yg memakai nama corak batik. Pelayanan sangat baik dan ramah. Suasananya oke syahdu dan tenang. Harganya standar sesuai dengan lokasinya yg berada di pusat pariwisata. Disini juga ada es krim gelato jugaa.",5
,,11 bulan lalu,Yudhia Nugraha,Local Guide,541 ulasan,"0 kilometer cafe; Untuk kesekian kalinya mampir kesini, cafe nya cozy bgt deket sm titik nol dan malioboro. Kopi nya juga enak.. Revomended buay dicoba..",5
,,sebulan lalu,Jalan Jalan,Local Guide,233 ulasan,"Tempat ngopi juga nyantai, lokasi berada pada sebelah selatan Bank BNI atau selatan perempatan lampu merah titik noL kilometer sebelah barat jalan. .

Untuk kendaraan bermotor bisa parkir di Bank BNI masuk kedalam, tarif parkir 2000 rupiah saja untuk motor..

Pelayanan ramah sekali, tempat adem bagus estetik kalo orang orang skarang bilang 😁 makanan nya bervariasi juga ada kopi²an, ooiya ada juga vapor tersedia disini harga dan varian rasa juga bervariasi..

Tempat nya bagus nyaman bersih, ooh iyaaa buat temen temen yg mau nyantai disini saya sarankan pake pembayaran non tunai yah, kalo mau pakai tunai saya sarankan uang pas.. Karena di cafe ini tidak menyediakan kembalian menurut pengalaman saya tadi ya..

Selamat berkunjung.. Jangan lupa kasih tips 😁🙏",5
,,5 bulan lalu,niken palupi,Local Guide,160 ulasan,Kayaknya klo ke malioboro wajib kesni.. kopinya semua enak.. red velvet juga gak kalah enak... suka sam semua menu disini..,5
,,9 bulan lalu,Ega Kayadoe,Local Guide,352 ulasan,"Dari luar, bangunannya sudah terlihat unik, dengan kanopi kain berwarna merah bertuliskan 0 kilometer, mirip kedai dan toko di luar negeri, terlihat kecil diapit oleh musem dan bank di kanan kiri.

Masuk ke dalam ada beberapa meja sepertinya non smoking area, kemudian masuk lagi ke dalam ada area yg semi terbuka, di ruangan kedua ini baru lah terlihat ruangan yg luas, di sebelah kanan ada sofa hitam besar yg sangat nyaman, di sebelah kirinya ada meja panjang seperti meja untuk meeting, di sebrangnya ada coffee bar yg cukup besar dan klasik.

Pilihan kopi dan menu penganan sangat beragam, namanya juga unik2
Saya order kopi sidomukti, sejenis latte rum,
partner saya order ice chocolate,

Kopinya enak, tidak terlalu strong cuma rasa rum-nya kurang menonjol, lumayan lah racikannya.
Untuk regular size kopi tersebut dibandrol 36ribu, dengan gelas plastik solid yg bisa untuk langsung dibawa pulang.
Di etalase saya melihat ada donat, cake dan croissant, cocok lah dimakan barengan kopi atau coklat.

Makin ke belakang, ada mushola dan toilet yg biliknya lumayan banyak, bersih dan wangi. Sajadahnya juga tidak bau apek, sepertinya rutin dicuci.

Pasti bakal ke sini lagi dengan perut kosong, karena saya belom coba makanannya dan varian kopi lainnya.",5
,,setahun lalu,Ratu Arum,Local Guide,235 ulasan,"Vibe nya asik dan nyaman banget.
Tempatnya ga terlalu luas atau sempit, pas lah.
Menunya juga beragam.
Karena ud terlalu malam ga berani minum kopi, jadinya pesan teh. Enak.
Beli cireng nya juga, ga pelit, berlimpah banget malah.

Pilihan tempat dudukny juga banyak. Out door dan indoor ac, meja besar meja kecil. Ada spot untuk live music juga.

Pelayanannya juga rame. Cuma parkirnya ga bisa di depan ya, karena posisinya bukan di pinggir jalan biasa, tapi jalan malioboro, dekat 0 Km lagi.
Jadi better parkir di sebrang taman pintar aja.",4
,,9 bulan lalu,annisa fauzia,Local Guide,34 ulasan,"Kesini saat malming rame, tapi ga terlalu crowded. Tempat duduk dan sofa untuk no smoking room mungkin bisa ditambahkan kali ya. Untuk ingredients dari gelato mungkin bisa diperjelas darii chef nya, apakah mengandung gelatin non halal atau tidak agar muslim/ah yakin saat konsumsi gelato disana.",4
,,4 minggu lalu,T Trywidiarini,Local Guide,48 ulasan,"Order menu es kopi yg rasanya salty2 gitu. Enak sih pas manisnya dan gak bikin enek. Rasa kopinya jg ga bikin berdebar. Hrga kurleb 33rb per cup
Tempatnya comfy, ada musolanya bersih
Lokasinya sangat strategis pas di gedung bni 0 km. Worth it lah",5
,,setahun lalu,mulat pawitra,Local Guide,241 ulasan,"Tempat strategis stlh kami berjibaku menyusuri sepanjang jalan malioboro. Ingin rasanya ditutup dg secangkir kopi.

Pilihan kami memilih kopi gula aren. Rasa pas, manis, pahit, asam dan susunya.

Tempat cozy bgt, ada indoor depan jalan besar atau blkg outdoor. Suasana tenang dan damai.

Harga memang pricy utk harga daerah jogja.",4
,,2 bulan lalu,Widia Wardani,-,15 ulasan,"Cocok buat work from cafe, buat ngobrol juga oke. Tempatnya bersih, harga standard tempat ngopi lah. Ada live music nya. Baristanya friendly. Ada indoor dan outdoor",4
,,5 bulan lalu,Denny Defriansyah,Local Guide,120 ulasan,"Tadi coba kopi capucino ..... rasa kopinya lebih strong , susu pas. Suasana juga nyaman. Boleh dicoba buat yang suka kopi dan suasana yang menyenangkan. Approved",5
,,setahun lalu,Tanti Ninik,Local Guide,58 ulasan,"Cafe di tengah kota yg letaknya sangat strategis berada di titik nol kota Jogjakarta.
Untuk tempat sangat nyaman dan luas.
Menu kopi dan minuman lainya lumayan enak, harga tergolong tinggi jika dibanding cafe lain di tengah kota. Suasana nya di sekitar cafe sangat ramai karena berada di pusat orang-orang berkumpul.",4
