PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Om Man coffee & milkshake,,,,,,,
,https://www.google.com/maps/search/Om Man coffee & milkshake jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,Sharie Uciha,Local Guide,124 ulasan,". .'suasana nya oke kaya jaman kapaaann gttu,,makanan nya lumayan enyak²,,harga murmer,,cuman tempat parkirnya ajah sih yg kurang luas...
ngopi nya di rooftop bkin betahhh,,terlihat orang² lalu lalang di sekitar tugu jogja...
Duh pengeenn kesana agi huhu...",5
,,9 bulan lalu,Indri Mayasari,Local Guide,33 ulasan,"Rasa kopinya jauh banget gak enak cuma rasa gula sama es doang gada rasa kopinya cuma jualan view untuk kopi gak enak.
NOT RECOMMENDED UNTUK RASA.!!!
Pesen Kopi Gayo tubruk itu cair banget rasanya gak dominan kopi Gayo cuma kaya kopi di kasih air ada warna kopi aja mau di kasih gula pun gak enak karena itu tubruk gak pekat.
Satu lagi kopi susu gula aren yaa rasa nya cuma gula aren aja sama es kopi nya gak kerasa samsek dan itu gula aren nya juga beda rasanya gak enak jadi gak nikmat sama sekali.
Klo emang standar nya bgtu dari 2014 yaa mungkin emang bgtu cuma maaf gak masuk di saya rasa nya lebih gak recommen klo untuk di jual. Maaf yaa ini real pendapat saya.",1
,,8 bulan lalu,Al Andira Isya A,Local Guide,52 ulasan,"harga kopi tidak sebanding dengan rasanya..
akses tangga perlu di perbaiki
untuk lantai 2 nya juga butuh perawatan lagi.
truss bawa Tumbler air putih jg ditegur
minimal di sediain air putih lah!",2
,,7 bulan lalu,Frita Mardiana,Local Guide,98 ulasan,"Cafe view tugu jogja dengan harga menu nyaman dikantong
Akses parkir kecil
Kalo hujan mesti bersabar",4
,,3 bulan lalu,Peter Parkitt,Local Guide,90 ulasan,"Kalo ke Tanah Sultan jangan lupa mampir. nikmati kopinya. Dan suguhan lainnya.

Ruangnya emang ga setjantik dirimu dan ga seganteng pasanganmu: tapi kamu bisa ""seolah"" menyentuh Tugu.

Dan itu bisa membuatmu jauh lbh bahagia, dibanding mikiran tanah-tanah Sultan lainnya. Iya kan... kan...",5
,,4 bulan lalu,AW Muhammad,Local Guide,331 ulasan,"Tempat ngopi ...
Nyantai....
Dan mencari inspirasi...
Kopi harga mulai 12rban...
Kopinya mantap ..makananya juga enak...
Spesial kopi temanggung..arabika mantap",5
,,setahun lalu,ida daniati,Local Guide,41 ulasan,Sebenarnya lokasinya oke bgt krn viewnya Tugu Jogja..kopinya enak makanannya juga enak..Cuma tempatnya yg perlu diperbaiki..Mungkin bisa ditata lagi dan diberi kanopi di lantai atas..Klo pas hujan bakalan klebus krn outdoor,4
,,4 bulan lalu,Arfi,Local Guide,52 ulasan,"Kafe yang dan juga nyaman, tempatnya klasik nan estetik, sangat cocok untuk yang mau foto foto untuk Instagram.

Tepat berada di depan tugu Jogja, sangat cocok untuk santai, dan saat sore hari adalah waktu yang cocok untuk mampir karena suasananya yang menenangkan.

Untuk minumannya, kopi tentu saja rasanya enak dan pas, tersedia banyak pilihan kopi dan cara penyajian baik untuk yang baru mau mulai belajar minum kopi ataupun yang sudah ahli.

Silahkan mampir jika kalian ada berkunjung ke Jogjakarta.",5
,,4 bulan lalu,Tari,Local Guide,154 ulasan,"Suasana ok
Minuman ok
Tp maaf waktu pesan corndognya, tidak matang, dan gak ada sosisnya jd maaf hanya kemakan sedikit",4
,,8 bulan lalu,Yoga Pratama,Local Guide,780 ulasan,"Yang bikin nilai positif adalah Lokasinya strategis, dekat dengan Tugu Yogya yang sering dicari wisatawan untuk foto foto depan tugu .. untuk harga memang ga terlalu mahal, untuk rasa kopinya standar aja....
Di lantai bawah ga banyak tempat duduk.. di lantai atas sayangnya terasa kurang sentuhan.  Kalau mau lebih oke direnov dikit biar ga terlalu berantakan, apalagi disitu ada kabel listrik. Ngeri klo ada korsleting..",4
,,8 bulan lalu,Yoga Pratama,Local Guide,780 ulasan,"Yang bikin nilai positif adalah Lokasinya strategis, dekat dengan Tugu Yogya yang sering dicari wisatawan untuk foto foto depan tugu .. untuk harga memang ga terlalu mahal, untuk rasa kopinya standar aja....
Di lantai bawah ga banyak tempat duduk.. di lantai atas sayangnya terasa kurang sentuhan.  Kalau mau lebih oke direnov dikit biar ga terlalu berantakan, apalagi disitu ada kabel listrik. Ngeri klo ada korsleting..",4
,,8 bulan lalu,Yoga Pratama,Local Guide,780 ulasan,"Yang bikin nilai positif adalah Lokasinya strategis, dekat dengan Tugu Yogya yang sering dicari wisatawan untuk foto foto depan tugu .. untuk harga memang ga terlalu mahal, untuk rasa kopinya standar aja....
Di lantai bawah ga banyak tempat duduk.. di lantai atas sayangnya terasa kurang sentuhan.  Kalau mau lebih oke direnov dikit biar ga terlalu berantakan, apalagi disitu ada kabel listrik. Ngeri klo ada korsleting..",4
,,8 bulan lalu,Yoga Pratama,Local Guide,780 ulasan,"Yang bikin nilai positif adalah Lokasinya strategis, dekat dengan Tugu Yogya yang sering dicari wisatawan untuk foto foto depan tugu .. untuk harga memang ga terlalu mahal, untuk rasa kopinya standar aja....
Di lantai bawah ga banyak tempat duduk.. di lantai atas sayangnya terasa kurang sentuhan.  Kalau mau lebih oke direnov dikit biar ga terlalu berantakan, apalagi disitu ada kabel listrik. Ngeri klo ada korsleting..",4
,,8 bulan lalu,Yoga Pratama,Local Guide,780 ulasan,"Yang bikin nilai positif adalah Lokasinya strategis, dekat dengan Tugu Yogya yang sering dicari wisatawan untuk foto foto depan tugu .. untuk harga memang ga terlalu mahal, untuk rasa kopinya standar aja....
Di lantai bawah ga banyak tempat duduk.. di lantai atas sayangnya terasa kurang sentuhan.  Kalau mau lebih oke direnov dikit biar ga terlalu berantakan, apalagi disitu ada kabel listrik. Ngeri klo ada korsleting..",4
,,8 bulan lalu,Yoga Pratama,Local Guide,780 ulasan,"Yang bikin nilai positif adalah Lokasinya strategis, dekat dengan Tugu Yogya yang sering dicari wisatawan untuk foto foto depan tugu .. untuk harga memang ga terlalu mahal, untuk rasa kopinya standar aja....
Di lantai bawah ga banyak tempat duduk.. di lantai atas sayangnya terasa kurang sentuhan.  Kalau mau lebih oke direnov dikit biar ga terlalu berantakan, apalagi disitu ada kabel listrik. Ngeri klo ada korsleting..",4
