PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
POENOKAWAN CAFE RESTO & GALLERY,,,,,,,
,https://www.google.com/maps/search/POENOKAWAN CAFE RESTO & GALLERY,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,ayu lumintang,Local Guide,26 ulasan,"Tempat sangat nyaman untuk nongkrong, dengan suasana yang sangat tenang.
Dan lagi instagramable untuk yang suka foto2 konsep jawa.
Untuk harga menu makanan juga tidak terlalu mahal. Pelayan sangat ramah, anw untuk kopi poenakawannya rekomended buat pencinta kopi ya.",5
,,5 bulan lalu,Lina Maharani,Local Guide,207 ulasan,Tempatnya jadi satu kompleks dengan perkantoran dan masjid. Jadi agak susah nemuin kalo baru pertama. …,3
,,9 bulan lalu,Sutrisno Muhamad Noor,Local Guide,37 ulasan,"Bangunan restorannya dibangun sejak zaman Belanda, pemiliknya adalah Putri dari Sri Sultan. Ketika saya datang, hari Sabtu kemarin, sedang ada gallery sejarah Jogjakarta dan live band dimulai jam 20:30. …",5
,,3 bulan lalu,ilsya,Local Guide,70 ulasan,"(+) Samping masjid, Suasanya dsni lebih tenang, karena pilihan room atau mejanya nya banyak dah luas, servicenya bagus banget, baik dan ramah.
Foodnya so so, tapi worth it, ada paketan menu juga.",5
,,setahun lalu,Alifia Afianti,Local Guide,129 ulasan,"Suka makan disini. Tempatnya bagus banget, ada banyak pilihan duduk mau indoor atau outdoor, rasa makanan & minumannya enak-enak, pelayanan staffnya juga baik~",5
,,11 bulan lalu,Retno Woro,Local Guide,455 ulasan,Masakan enak pelayanan ramah parkir luas dekat masjid ...ada area indoor n outdoor juga cuzz cobain #letsguide,5
,,11 bulan lalu,Ardy Murdianto,Local Guide,17 ulasan,"Pas dateng suasana sepi jadi kayak privat group.
Suasanya nyaman..
Makanan lumayan",5
,,2 bulan lalu,Elis Kumara Djati,Local Guide,101 ulasan,Selama 2 hari tanggal 11 - 12 Maret bersama Dinas Koperasi Dan UKM DIY dan teman - teman UKM juga para Narasumber yang handal dalam acara Bimtek.,5
,,setahun lalu,Afina Rista,Local Guide,17 ulasan,"Tempatnya bagus, instagramable, enak buat ngadem di jogja yang panas. Cuman untuk makanan sama minumannya biasa aja",4
,,8 bulan lalu,Argia 3247,Local Guide,60 ulasan,"Snack nya lumayan sih daripada minumanannya yg kurang menurutku. Pesen wedang jahe sereh, harusnya kan jahe sereh gula jawa direbus bareng2, tapi disini dapet teh yg cuma digeprek jahe sama sereh, jadi rasanya ga nyatu. Minuman yg dingin …",3
,,3 bulan lalu,Sifa Alfaresa,Local Guide,114 ulasan,Sejujurnya saya cuma numpang parkir untuk sholat di masjidnya.  Tapi dari luar tampaknya menarik. Hmm boleh deh kapan kapan dicoba,5
,,4 bulan lalu,Yosephin Diva Fabiola Nuralita,Local Guide,27 ulasan,"Tempat yang nyaman dan cukup rindang. Menunya banyak, suasananya jogja bgt. Makanan dan minumannya enak semua.",5
,,setahun lalu,Oktavia Risti,-,7 ulasan,"Tempatnya estetik, bangunan bergaya kraton yg dihiasi ornamen modern.. masakan enak",5
,,10 bulan lalu,Untung Tri Pamungkas,Local Guide,24 ulasan,Tempatnya sangat nyaman dengan arsitektur rumah jaman dahulu,5
,,3 bulan lalu,Anditya Candra,Local Guide,109 ulasan,"Tempatnya asri, makanan cukup pricey. Tapi recommended buat nugas atau nongkrong.",4
,,setahun lalu,"Suadi, Mr.",Local Guide,300 ulasan,Tempatnya bagus dan merupakan bangunan lama ala kraton. Parkirnya luas. Kopi dan gorengannya oke. Selamat mencoba,5
,,setahun lalu,ARMs Bonds,Local Guide,70 ulasan,"Tempatnya bagus, luas. Menunya ga terlalu banyak tapi cukup dan enak.",4
,,3 bulan lalu,Mega,Local Guide,22 ulasan,"Atmosferenya menggambarkan 'Jogja banget', nyaman, ada indoor dan outdoornya",5
,,11 bulan lalu,Rizky Ramadhan Baried,Local Guide,195 ulasan,"Tempat cukup luas untuk makan siang maupun makan malam, bisa pilih indoor maupun outdoor. Menu dari makanan ringan sampai makanan utama bisa dipilih, jika suka cemilan, singkong rebus atau gorengan bisa jadi pilihan, tapi kalau sekalian …",4
,,4 bulan lalu,Herodian Kandung asmara,Local Guide,249 ulasan,Tempat ngopi dipusat kota yogya yg lumayan nyaman pelayan cukup bagus ramah,4
,,sebulan lalu,bakhtiar az,Local Guide,428 ulasan,"Rekomended.... ada masjidnya juga, parkir cukup lapang",5
,,2 bulan lalu,Red One,Local Guide,98 ulasan,Mantap guys.... makanan enak tempat bersahabat...,4
,,7 bulan lalu,Ivo Artha,Local Guide,39 ulasan,"Cozy, aesthetic, and Loveable place. Kalo malam seru bgt suasanya✨ makanannya juga enakk, unik dan harganya still good 😄and last but not least ada live music nyaa dongg 👌 …",5
,,2 bulan lalu,Miftahul Huda,Local Guide,68 ulasan,"Lokasi di tengah kota nih gaes, dengan menu yang oke punya. Gaskeun",5
,,8 bulan lalu,Nuraini Indayani,Local Guide,12 ulasan,"Tempat nongkrong yang keren dan unik, bisa juga buat tempat rapat, dan juga menyediakan berbagai macam makanan dan minuman yang enak...",5
