PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Penyetan Mas Kobis Tugu,,,,,,,
,https://www.google.com/maps/search/Penyetan Mas Kobis Tugu jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Kartika Rismawati Dewi,Local Guide,115 ulasan,"Penyetan nya enak banget. Bumbunya tu meresap terus gurih gitu. Baru pertama kali nyoba makan disini. Mungkin lebih diperhatikan buat kebersihannya aja, karna mejanya agak kotor. Untuk makanannya emang enak banget sih. Apalagi ayam goreng sama kol gorengnya. Juara banget",5
,,setahun lalu,hanafi ahmad,Local Guide,307 ulasan,"Nasi ayam gepreknya paten, pedes mantap. Tapi paket nya masih kalah kalau dibanding sama mas kobis yang ada di plemburan.

Yang di plemburan udah dapat timun beberapa potong, sama kobis segar. Kadang dapat kemangi. Kalau di sini ga ada bos.

Oiya, es teh nya ga enak. Beraroma sendal swallow. Pesen minum lainnya aja biar enggak kecewa. Huft.",3
,,11 bulan lalu,tsabitah el-rahmah,Local Guide,229 ulasan,"Kalau lagi di jogja nggak afdhol kalau ngga makan mas kobis. Kol gorengnya enak bangeet. Menu andalan pasti di tambah terong dan kol goreng.
1 porsi isi nasi, kol, terong goreng, dan ayam goreng seharga 21.000. Sepertinya harganya naik. Tapi cukup worth it dengan rasanya.
Enak!!",5
,,5 bulan lalu,Sridita Vitarini,-,3 ulasan,"Enak asli rasanya maknyus porsinya banyak dan gak pelit cabe, tempatnya bersih tapi lumayan sepi ga serame mas kobis yg lain mungkin karna warungnya g keliatan dari jalan",5
,,4 minggu lalu,Nadhifa Zulfa,-,9 ulasan,"aku pernah makan disini bawa motor, aku emg naro uang parkir receh2 gt di dashboard motor. waktu kesana banyak anak punk. begitu aku selesai makan dan mau bayar parkir, uangku gaada. diambilin semua sama anak2 punk itu. padahal ada tukang parkir tp dia ga jagain kemananan motorku.",1
,,4 bulan lalu,Azi Aufa,-,8 ulasan,"Mas kobis paling mantap, cabe 15 mantap ayamnya gede",5
,,2 tahun lalu,Fauzan S,Local Guide,464 ulasan,cukup sekali saja.. minyak nya hitam bgt..  ga diganti ganti...  toksik nya bakal banyak bgt masuk ke tubuh....efek nya memang ga kerasa sekarang.. pas tua nanti baru kerasa... .. buat yg mau beli atau dimanapun itu warung lain dsb...tolong liat dulu SOP nya minyak nya lah kebersihannya juga.. saya g menjatuhkan toko.. tp ada baiknya introspeksi untuk kedepan nya lebih baik..,1
,,3 minggu lalu,putri jiwanti,-,2 ulasan,"Mbaknya lebih diperbaiki lg etikanya, lebih sopan lg jangan teriak teriak di deket customer, sangat menganggu... Kl belum bisa perbaiki etitudnya jangan terjun didunia pekerjaan apalagi yg berhubungan dgn pelayanan, itu akan merusak nama baik tempat bekerja anda",1
,,setahun lalu,Kholid Arofi,Local Guide,398 ulasan,"Sering bgt grabfood di sini ke Jogja guitar shop, tapi sering bgt yg dipesen gak sesuai pesanan. Pesen tahu, tahunya gak ada, pesen ayam 3, yg dateng 2, kadang ada timun, kadang gak ada. Gak konsisten. Kalo alasannya karena ramai, warung makan lain juga rame, tapi pesenannya bener. Tolong banget yg teliti lagi. Semoga pengelolanya baca dan dibenahi. Percuma enak tapi gak sesuai pesanan.",2
,,setahun lalu,Andi Wahyu Kristianto,Local Guide,337 ulasan,"Salah satu cabang warung Kobis yang tersebar di beberapa tempat di Yogyakarta.
Menu yang ditawarkan sebenarnya sederhana saja. Bisa memilih ayam, hati ayam, telur, tahu, tempe, terong dan kol/kobis.
Setelah memilih lauk apa yang dipilih maka akan dipenyet oleh penjualnya bersama dengan cabe yang diulek sesuai permintaan konsumen.
Pelayanan ramah dan harga wajar.",5
,,4 tahun lalu,dinda nurrina,Local Guide,51 ulasan,ayam penyet yang satu ini juara kalo pdesnya kamu bisa request jumlah cabenya sesuai selera kamu kali ini aku makan ayam ditambah tahu dan tempe cabe 10 utk rasa tak diragukan lagi insyaa allah hehe disini tersedia lesehan maupun makan dimeja makan cocok buat makan bareng sahabat kamu harga terjangkau semoga bermanfaat ya,5
,,seminggu lalu,Joko Fajar,-,10 ulasan,"Rasanya biasa aja ,  suasana dan harga gak worth it .. kapok beli di sini",1
,,3 tahun lalu,Fadri Ari Sandi,Local Guide,39 ulasan,"Makanan yg dijual sumpah enak banget n murah. Namun, pelayanannya kurang cepat. Pekerjanya kurang cekatan dlm melayani, padahal customer yg dateng banyak.

Seharusnya pegawai yg khusus utk bagian ngulek/geprek tdk hanya 1 orang, klu bisa ditambah, agar bisa cepet dlm melayani customer, baik yg makan ditempat, dibungkus, maupun yg dr go food. Petugas dibagian kasir jg kelihatan masih belum mahir/cepat dlm menghitung, masih liat2 harga di menunya bolak balik, sehingga ini memakan waktu pula.

Utk saran, mungkin bisa ditiru manajemennya preksu, kerjanya cepet, profesional n paham jobdes masing2. Jdi gx ada yg kelihatan ngangur, semuanya kerja.

Semoga makin baik lagi kedepannya Mas kobis, dr pelanggan setiamu yg mengagumi citarasa khas penyetanmu. 🙏😇",3
,,setahun lalu,Dian Susmarini,Local Guide,83 ulasan,"Ini sambelnya enak, tapi jam 7 ku dateng kesitu dah sepi, tempe goreng aja dah habis, tinggal sisa2 aja. Opsinya dikit lah untuk jam segitu lagi lapernya.",4
,,5 hari lalu,Haruku Kenzo,Local Guide,109 ulasan,"Mantap , tambahi kecap sambalnya biar gk terlalu menyengattt",5
,,4 bulan lalu,Bagas Sukma Patria,-,7 ulasan,"PARAAHHH!!! NYETEL MUSIK KENCENG BANGET, PEGAWAI PADA BUDEG KALIH YA, PESEN HARUS TERIAK TERIAK, UDAH TERIAK KENCENG MASIH GAK DENGER, MINTA NYA PAHA ATAS DIKASIH DADA, UDAH GITU GAK DIKASIH TAU HABIS ATAU APA👎👎",1
,,4 tahun lalu,Moh Fadli Maulana,Local Guide,308 ulasan,"Pertama kali coba kesini jalan kaki karena dekat dengan hotel, harga murah menu lengkap ada kursi atau mau lesehan juga bisa. Mau cabe berapapun juga oke, sandar mahasiswa harganya, tapi kobis gorengnya terlalu pahit mungkin karna minyaknya sudah lama harus diganti. Gak sehat gak papa deh sesekali karena penasaran. Lumayan luas tapi seadanya, ntah pegawainya kalo ngobrol kenceng banget saut sautan gitu. Ayamnya ok berasa bumbu nya telur gorengnya sih the best hehe. Rekomendasi deh",4
,,4 tahun lalu,Tommy Ivanda,Local Guide,73 ulasan,"Penyetan dengan ragam lauk pauk baik di goreng ataupun bakar.  Yg menarik dari penyetan mas kobis ini adalah kobis gorengnya  dan tentunya sambel yg tingkat kepedasannya sampai level 10.
Wajib dicob lur",5
,,2 tahun lalu,nathanael aribudha satria jannanuraga,Local Guide,33 ulasan,Enak racikan sambal gepreknya. Lauknya hangat sesuai permintaan langsung goreng. Tempat juga nyaman,5
,,3 tahun lalu,ferindra n,Local Guide,231 ulasan,"Tempat cukup luas dan tidak terlalu penuh. Parkir motor juga tersedia. Pelayanan cepat dan layanan baik.
Rasa seperti penyetan Mas Kobis pada umumnya, gurih pedas bumbu merasuk daging.",4
,,10 bulan lalu,Zakiah MS,Local Guide,53 ulasan,Ternyata emang beneran enak mas kobis. Harganya juga terjangkau 😍 …,5
,,3 tahun lalu,gadhis cahya,-,4 ulasan,"sangat tidak recomend pesanan tidak sesuai, gak sama kyk mas kobis yg lainnya. ini ms kobis terburuk yg pernah saya kunjungi. Pesen cabe 5 yg dtg sama sekali ga pedas trs bilang ke karyawannya kalo kurang pedas sedikit mau saya tungguin makanannya kata karyawannya ditinggal aja nanti kita anter ehh ternyata pas dateng dikasih cabe sebanyak ini diatas nasi dan lauk yg kalian tau pasti kalo makan di mas kobis pasti udh kecampur2 gitu lauk dan sambelnya foto ini hanya sebagian sja sambal yg bisa saya singkirkan. sangat sangat tidak manusiawi dengan kesengajaan karyawannya.",1
,,3 minggu lalu,Feedrik Adhie,-,2 ulasan,"PelayanNya yg ramh mb jangan teriak"" sama pembeli",1
,,5 bulan lalu,soebgas,Local Guide,273 ulasan,Wess gak keitung dah pesen berapa kali di sini 👌🏻 …,5
,,6 bulan lalu,widya Dita,-,4 ulasan,"kecewa karna pesen nasi kepala+kobis,minta kepala gorengnya kering malah masih merah dagingnya abis gtu nasinya juga keras😭😭😭😭 …",1
