PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
PublicUs Coffee,,,,,,,
,https://www.google.com/maps/search/PublicUs Coffee jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Lutfia Prihanani,Local Guide,682 ulasan,"Pesen ,jadi cepet pelayanan bagus, mbaknya ramah. Kemaren ambil take away. Kemaren request low sugar tapi gulanya banyak banget, gatau kalo normal seberapa manisnya. Kopi biasa aja rasanya. Di atas banyak anak2 sekolah masi seragaman ngrokok di atas, padahal bukan outdoor area",2
,,7 bulan lalu,And1 channel,-,91 ulasan,"-Hotel cukup murah akses mudah,
Saya dapat rate 310 + pajak
Kamar cukup okee
AC kurang dingin udah di suhu 16
Kamar mandi okee kurang bersih aja handuknya
Poll, kurang sih tapi mendingan ada harga murah giniii g begitu luas,
Over all degan harga 310 wort it
- parkir sempet, tapi tidak masalah mobil kita aman ada valley nyaa

Eh include sarapan yaaa all you can eat
Makanan okeyy lahh
Cukup lengkap enak jugaa 🙌🙌✌✌✌✌🙏🙏🙏🙏🙏",4
,,setahun lalu,Lidwina Arin,Local Guide,974 ulasan,"Coffee shop yang baru buka beberapa bulan. Karena letaknya di area kampus, jadi menurutku sasaran pengunjungnya adalah para mahasiswa mahasiswi ya. Tempatnya lebih cocok untuk kumpul komunitas, atau sekedae hangout dengan sahabat. Tempat duduknya kurang nyaman.",3
,,5 bulan lalu,Lala Aulaa D.,Local Guide,25 ulasan,"Tempat nya enak buat ngopi sore
Di lantai atas ada photomatics bisa deh foto foto sendiri atau bareng temen, bareng pasangan, dsb",5
,,setahun lalu,Yuan Eza,Local Guide,19 ulasan,"tempatnya bersih, nyaman buat nongkrong.. selalu rame dan varian menu nyaa harga terjangkau dan enak enak.. ga cocok buat me time yaa disini lebih cocok buat nongkrong sama temen rame² gitu karna kebanyakan mahasiswa juga",5
,,10 bulan lalu,Yuli Arti,-,67 ulasan,Di sini bs pesen donat juga. Paketan donat sama kopi. Donat enak. Kopi enak berasa kopi nya tp gak berat menurutku. Kopi gula aren bisa pas gitu rasanya. Mbak2nya cantik plus ramah ramah. WiFi nya kenceng banget cocok buat kerja atau nugas. Harga standar coffee shop. Cuman menurutku minus di toilet nya. Alangkah lebih baik klo dibersihkan yaa. Sayang klo cafe bagus tp toilet gak nyaman. Smg sukses selalu dan berkah.,5
