PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Ramu Nostalgia - Tugu Yogyakarta,,,,,,,
,https://www.google.com/maps/search/Ramu Nostalgia - Tugu Yogyakarta jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,arina sabila zulfa,Local Guide,18 ulasan,Tempanya asik mana murah2 dan sepi ✨,5
,,6 bulan lalu,Muhammad Iqbal Amri,Local Guide,15 ulasan,"Salah satu tempat nongkrong yg punya best view ke tugu jogja. Kalo mau parkir bisa di kuliner lor tugu biar aman dan nyaman. Tersedia juga area AC (non smoking) dan non AC

Ada juga colokan listrik buat kalian yg pengen nugas with tugu jogja vibes !

Perfect !",5
,,7 bulan lalu,keren arif,-,2 ulasan,"Milk teanya sumpah ga pake boong enak super duper enak kayak WAWWWW 🤩
kalian semua harus coba ini dengan harga 7rb dah dapet milk tea super enak manisnya pass dann packingnyaa luchh para 😍😍",5
,,7 bulan lalu,Oktavia Handaryani,-,3 ulasan,Sangat Enak unik n nyentrik .Ramu nostalgia tugu jogyakarta .tempat jg dekat dgn Tugu cuma 20 meter dari tugu dan fre Wifi,5
,,7 bulan lalu,Arsh Nostalgic,-,1 ulasan,"Seru banget di sini! Minuman sama makanannya worth it, harus coba Berry Milk sih!",5
,,7 bulan lalu,dewi salindri,-,2 ulasan,Nyobain kopi caramel latte nya wueenakk pwooll! Nagih🤤🤤 …,5
,,5 bulan lalu,Raul Arya firdaus,-,1 ulasan,Busetttttttt paling enakkk ini di jogja!!!!,5
,,7 bulan lalu,ghaza nisrayaa alghifari,-,1 ulasan,"minumanmya enak, apalagi croffle nya.. the best",5
,,7 bulan lalu,gladys julica,-,3 ulasan,Enak bettt tempatnya asik ceonya ramah bgt wajib kesini karyawannya ramah,5
,,7 bulan lalu,Bambang Eko Wibisono,-,4 ulasan,"Ramu Nostalgia Tugu Jogja, rasa dan kenunikan dahsyat banget",5
,,7 bulan lalu,Diza Den,-,1 ulasan,Kacau enak banget minumannya,5
,,7 bulan lalu,Itsar Auliya,-,2 ulasan,"To all people that doesn't like coffee and prefere milk, tea, or the combination of both. You need to come here 😆👍🏻",5
,,7 bulan lalu,Pratiwi Citra Bella Lestari,-,2 ulasan,Hazelnut creamy brulee sama you peace and cheese thebest😫😫,5
,,7 bulan lalu,Nuril Amalia,,,,5
,,7 bulan lalu,Tantry Vhydiasari,,,,5
,,7 bulan lalu,Yudha Asmara,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
,,7 bulan lalu,Diana Lestari,,,,5
