PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Soto Ayam Pak Gareng Tugu,,,,,,,
,https://www.google.com/maps/place/Soto+Ayam+Lenthok+Pak+Gareng/data=!4m7!3m6!1s0x2e7a582586b853bd:0x7460746133eea96!8m2!3d-7.7888184!4d110.3664442!16s%2Fg%2F11bc96ddpr!19sChIJvVO4hiVYei4Rluo-E0YHRgc?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Nur Vita Yulianti,Local Guide,123 ulasan,"Salah satu soto lenthok yang enak di Jogja. Sotonya hanya ada ayam, tidak ada daging. Pendamping lauknya ada banyak dari sate-satean, tempe bacem, tahu bacem, mendoan, krupuk dan lenthok.

Ada life music nya juga disini pengunjung bisa request lagu. Harganya masih terjangkau dan bisa jadi destinasi kuliner kalau lagi di sekitar Malioboro / Stasiun Tugu

Rasa : 9/10
Harga : 8/10
📍Jl. Mangkubumi Jogja
Depan Bank BCA",5
,,9 bulan lalu,Anissa Rizkianti,-,6 ulasan,"Salah satu menu sarapan pagi yang tidak boleh dilewatkan jika sedang berada di dekat kawasan Stasiun Tugu Yogyakarta. Soto ayamnya unik karena menggunakan lenthok atau perkedel singkong.

Harganya juga murah. Sotonya enak karena kuahnya gurih dan isian ayamnya lumayan banyak. Disajikan dengan sate ati-ampela, tempe dan tahu bacem. Kalau makan di tempat, kita akan ditemani dengan alunan musik dari pemusik jalanan.",5
,,setahun lalu,Sukma Pragma,Local Guide,196 ulasan,"Soto ayam di sekitar stasiun tugu. Biasanya ada live music. Side dish nya ada sundukan ati ampela, tahu bacem, tempe goreng dan lenthok. Harga soto skitar 12 rb.",5
,,2 minggu lalu,Linggo Ajip,Local Guide,34 ulasan,"Soto langganan sejak 2010

Kuah soto benar2 panas, jadi makannya berasa segar.

Lenthok singkong krispi di luar dan cukup lembut di bagian dalam. Selalu nambah lenthok tiap kali makan.

Pilihan sate dan topping tambahan lainnya siap menemani soto panas yang dihidangkan.

Porsi wajar mengenyangkan, bila pesan nasi pisah seperti akan lebih mengenyangkan.",4
,,setahun lalu,po ya,Local Guide,186 ulasan,"soto yang terletak di jalan mangkubumi depan bca
tipe soto ayam kampung yang oily.
kl menurut ku sih rasanya kurang yaa karna aku kurang suka yg oily gitu
dan menurut saya sih biasa aja.
makan soto di sini ditemani pemusik dg suara yg lumayan bagus hihi",3
,,2 bulan lalu,Desiandi Sayful,Local Guide,114 ulasan,"Soto lenthok kuah gurih khas jogja, pada saat review ini saya sedang mengurangi nasi, jadi saya pesan soto tanpa nasi. Selalu pengin kembali ke jogja jika keinget kuah gurihnya.",5
,,seminggu lalu,Aliv Viola,Local Guide,12 ulasan,Warung tenda yang menjual porsian soto ayam beserta aneka lauk pauk khas jogja. Yang bikin candu adalah ada pekerja seni yang mengiringi lagu² nostalgia dan menemani kami utk menikmati santapan pagi.... manthuuuuuullllll,5
,,4 bulan lalu,Rifqi Adam,Local Guide,159 ulasan,"Soto enak dengan harga standar yang dekat dengan stasiun yk, kuah dan bumbunya enak. toppingnya banyak dengan harga yang terjangkau, kalau hari minggu pagi terkadang ada live music",4
,,2 hari lalu,Nurgi Yanto,Local Guide,60 ulasan,"Soto isi gorengan ketela rasanya lumayan enak
Campur tahu bacem lebih jos",5
,,3 hari lalu,Taufan Yusuf Nugroho,Local Guide,195 ulasan,"Soto Ayam Lenthok Pak Gareng ini menjadi salah satu kuliner favorit di jam sarapan di Kota Jogja. Soto ayam ini sudah menjadi yang legendaris di Kota Jogja. Letaknya juga strategis di dekat stasiun Tugu Yogyakarta. Persisnya di dekat perlintasan Kereta Api Jl. Malioboro. Citarasa sotonya sedap banget, kemudian banyak topping yang menjadi pelengkapnya. Harganya juga masih terjangkau. Dengan porsi besar soto ayam campur nasi, hanya seharga Rp. 13.000,-. Daripada penasaran, langsung jajal aja.",5
,,setahun lalu,yusuf syaifudin,Local Guide,246 ulasan,"Soto terenak yang pernah saya makan di Jogja. Harga soto sama nasi 12.000, bisa dipisah atau campur. udah termasuk lenthuk (semacam perkedel singkong) di sotonya. Selain itu disediakan makanan pendamping seperti tahu bacem, tempe mendoan, kerupuk, lenthuk, sate dan lain-lain kalau kurang puas cuma makan nasi+soto. Tentu saja yang paling enak adalah kuahnya, dan lenthuknya yang bikin unik. Lokasinya dekat Malioboro/stasiun tugu, buka dari pagi sampai siang, sekitar jam 12 an.",5
