PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Sunrise Golden Bolodewo,,,,,,,
,https://www.google.com/maps/search/Sunrise Golden Bolodewo jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,Arta Dinarta,Local Guide,6 ulasan,"TLDR ; Good for working and chatting, lots of space, and affordable menu.

Tempat 5/5

Lokasi Sunrise Coffee mudah dijangkau karena berada di pinggir jalan seberang GOR Lembah UGM. Tempat parkir luas, cukup untuk memuat banyak mobil.

Terdapat beberapa ruangan yang terbagi menjadi indoor dan outdoor. Ruangan indoor yang ber-AC tidak terlalu luas, muat untuk dua-tiga grup. Sedangkan ruangan outdoor terdapat banyak tempat, dan dipisah menjadi beberapa spot-spot tempat duduk. Terdapat colokan di sisi-sisi ruangan.

Menu 5/5

Saya pesan Pour Over Mantesa seharga 20k, dapat diskon 25% menjadi 15k. Rasanya smooth, ringan, sesuai ekspektasi.
Saya juga memesan Avocado Coffee seharga 25k. Rasanya pas, tidak terlalu manis, kombinasi espresso dan alpukat seimbang, tidak ada yang overpowering.

Pelayanan 5/5

Pelayan ramah dengan saya, sering mengajak ngobrol, dan dapat menjelaskan jika saya bingung dengan menunya.

Kamar Mandi 4/5

Bersih, tekanan air bagus, tidak sempit dan tidak bau. Namun saat saya gunakan tempat untuk rol tisu tidak ada isinya.",5
,,2 bulan lalu,Cynthia Annisa,Local Guide,331 ulasan,"Ada tempat outdoor dan indoor. Parkiran sangat luas. Ada mushola juga. Tapi sayangnya kursi indoornya terlalu kecil jadi sempit kurang nyaman hehehe :((( Minumannya beragam. Makanannya tidak terlalu banyak pilihan. Ada stopcontact di tembok.  Sayang bgt ac di ruangan dalam tidak terlalu dingin, cenderung panas sampai tidak merasa sejuk :(.",4
,,11 bulan lalu,Gregorius Bangkit,Local Guide,106 ulasan,"Tempatnya sangat luas dan bersih. Ada indoor dan outdoornya. Buat saya yang paling penting, tempatnya sepi, sangat menyenangkan buat ngerjain tugas. Tapi ini pasti tidak bagus buat bisnis hehe. Pernah beli es kopi susu sama es cappucino. Rasanya enak, minta less sugar kalo suka yang pahit buat es kopi susunya. Tempatnya yg outdoor sangat cozy, meskipun atap nya mepet ke kursi, kalo pas ujan bisa kecipratan ke dalem juga. Recommended buat temen temen area UNY UGM buat kumpul sekedar ngobrol atau ngerjain tugas bareng.",5
,,sebulan lalu,Isna,Local Guide,296 ulasan,"Tempat ngopi daerah dekat kampus UNY dan UGM. Ada camilan berupa pastry seperti croissant.
Parkirannya muat beberapa mobil dan motor.
Pelayanannya ramah.
Terdiri indoor dan outdoor. Indoornya ber-ac namun tidak begitu besar. Untuk outdoor cukup luas. Suasananya pun oke. Bisa berlama-lama sambil membawa gadget karena tiap tempat duduk tidak jauh dengan colokan listrik.
Toiletnya bersih dan tidak bau",5
,,6 bulan lalu,Sharra Ati,Local Guide,24 ulasan,"Kopinya enak dan tapi gak banyak pilihan biji untuk yg single origin... Tempatnya luas dan adem, berasa bukan di tengah kota... Gak berisik jadi enak buat ngobrol sama temen ataupun laptopan...",4
,,8 bulan lalu,Rifki Hermawan,Local Guide,64 ulasan,"Kopi nya standart , nothing special tapi untuk tempatnya sangat cozy , dan sangat support bagi orang-orang yang pengen ngerjain tugas d cafe karena sudah ada colokan yang tersedia dari indoor area maupun outdoor. Pelayanan ramah.",4
,,setahun lalu,Surya Iskandar,Local Guide,13 ulasan,"Tempatnya nyaman, awalnya mau nyari tempat numpang sholat, sekalian ngopi eh ternyata kopinya mantap punya 👍
Infonya kopi di roasting sendiri, aroma kopinya mantap, nyoba avocado coffee rasanya mixing kopi sama alpukatnya pas, gak terlalu manis juga. Harganya? Standar Yogya, ukuran orang Jabodetabek masih murah 😬
Ada yang antik namanya ""Kopi Susu Dewi"", itu aslinya kopi susu gula aren 😁",5
,,setahun lalu,puspita rahayu,Local Guide,241 ulasan,"Tempatnya masih sepi banget, entah wktu kesana hanya ada 2 sd 5 orang saja, kopinya enak, makanannya hanya pastry aja, untuk harga standart cafe pad umumnya",3
,,8 bulan lalu,umi lestari (Ari),Local Guide,82 ulasan,"Lokasi tepat di sebelah lembah UGM, dipinggir jalan..  suasananya nyaman... Minuman n makanan oke... Tapi lebih nyaman sore... Siang panas bgt... Lagi ditanak byk pohon kemarin",5
,,8 bulan lalu,Mey Mojang,Local Guide,42 ulasan,"Enak buat nongki, tempat luas 😋 menu harga relatif lah ya, sesuai sama harga.. cuma kurg live music aja😂",5
,,setahun lalu,Aditya Nirmala,Local Guide,13 ulasan,"ga jauh nih dari kampus ugm, jadi buat yg mau nugas malem tapi gamau suntuk boleh nih disini. kopinyaa enak worth the price sama pastrynya juga oke kok, tempatnya lumayan gede mostly di outdoor gitu",5
,,2 hari lalu,Nurul Afdhaliah,Local Guide,28 ulasan,"Cocok buat belajar, dan ngumpul, banyak pilihan jenis kursi dan meja, colokan listrik juga ada dimana²",5
,,8 bulan lalu,Agri Adhiatma,Local Guide,23 ulasan,"Tempat yang cukup nyaman untuk bekerja. Para barista dan waiter sangat ramah dan tanggap. Saran untuk bagian indoor bisa diberi sun shade atau semacamnya karena ketika siang pantulan sinar matahari dari kaca mobil di parkiran cukup menganggu.
Untuk sajian, rasa kopinya sangat enak dan autentik.
Overall good, dan akan kemari lagi lain waktu.",5
,,setahun lalu,Anton Pramono,Local Guide,165 ulasan,"S  u n r i s e G o l d e n
.
📍Jogja
.
Salah satu tempat buat Hangout baru nih gais di jogja yang cukup luas dan nyaman pastinya. Mau buat nugas / Wfc / spot foto dan kongkow-kongkow bareng temen2 / komunitas juga Worthit.

Untuk menu-menu cukup bervariatif juga gais baik coffee, non-coffee & menu makannya tinggal sesuaikan selera.

Untuk fasilitas  ada  Beberapa permainan (kartu uno dll) wifi, Toilet dan tempat ibadah juga ada.",5
,,10 bulan lalu,Avin Haryani,Local Guide,71 ulasan,"Nyobain kesini karena deket rumah. Tempat nya luas ada indoor dan outdoor. Tempat parkirnya juga cukup luas. Waktu itu beli rotinya sama kopi, rotinya enak",4
,,2 minggu lalu,Arifah Septiawati,Local Guide,57 ulasan,"bagus, cuma untuk rasa makanan b aja dan menurutku kurang yah porsinya wkwkkkwk",3
,,8 bulan lalu,Laili Ira M,Local Guide,62 ulasan,"Tempat luas, nyaman, toilet bersih, parkiran juga luas. Minuman ya standar sih. Kalau malam suka ada LIVE musicnya. Oke banget buat nongkrong.",5
,,7 bulan lalu,Rivan Feb,Local Guide,27 ulasan,"Tempatnya bagus, cocok buat mengerjakan tugas sendiri dan kumpul bersama teman.",5
,,2 bulan lalu,Ardah Mahadasari,Local Guide,42 ulasan,"Pertama kali ke Sunrise Coffee, kirain tempatnya kecil ternyata luas banget, dan kalau malah suasananya syahdu banget, nyaman, pelayanannya juga oke, sangat ramah dan sangat membantu. Waktu itu saya pesan chicken salted egg yang rasanya enak bangeett, bener-bener kerasa salted eggnya, approved deh rasanya 10000/100.",5
,,9 bulan lalu,Akmalia Nur Syukrika,-,10 ulasan,"tempatnya nyaman, harga standar, estetik untuk foto, banyak colokan + wifi available👍🏻",5
