PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Tekoff Coffee and Roastery,,,,,,,
,https://www.google.com/maps/search/Tekoff Coffee and Roastery jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Bibi Boi,Local Guide,59 ulasan,"Tempat nongkrong asik. Ada indoor dan outdoor. Luasan bangunan tidak terlalu luas tapi tetap nyaman untuk kongkow bareng teman. Atau sendiri bekerja di depan laptop. Sayangnya tempat parkir dibahu jalan, tapi aman karena ada tukang parkir yang mengatur kendaraan anda. Menu kopi dan non kopi ada. Ada makanan berat dan cake juga. Pembayaran bisa tunai dan non tunai. Karena sedang tidak minum kopi di hari itu memutuskan memesan Matcha latte, suka banget penyajiannya, gelasnya pun juga cantik. Barista ramah-ramah. Mantap!!!",5
,,3 bulan lalu,nadia a,Local Guide,92 ulasan,"Jujur nyesel banget kok baru ke sini minggu lalu. Tempatnya seberasa rumah itu karena emang satu area sama rumah orang, outdoor di sini idum banget, sejuk. Walaupun kemarin Jogja panas pol tapi pohonnya gede-gede, jadi adem☺️🫶🏻

Rasa kopinya juga aduuuh 10/10 deh, aku nyobain Shaken Latte gitu, Latte iced dishake sama vanilla ice cream dan enak banget seenak itu parahparaaaaah

I didn’t take much pictures like I usually do. Karena waktunya singkat banget dan waktu itu ramee bgt",5
,,10 bulan lalu,Rizky Ayu,Local Guide,83 ulasan,"main ke jogja, mampir buat ngopi disini. matchanya cukup enak. tempatnya juga cozy, wifinya juga lancar. harga menu mulai dari 25an.",5
,,2 minggu lalu,Chris Cerly Rika,Local Guide,87 ulasan,"Asyiikk bisa ngopi di sini!
Tempatnya enak, ada outdoor & indoor. Kopinya juga lumayan terjangkau dr segi rasa dan harga. Cocok buat kamu yang pengen nugas ataupun ngobrol sama kawan. Suasananya nyaman karena banyak pohon dan taneman gitu di outdoornya. Cusss cobain!",5
,,3 bulan lalu,Yogi Prasetya,Local Guide,153 ulasan,"Tempat nongkrong anak-anak arsitektur sih kayaknya. Saya yang dari tech kayaknya terasing :D

Vibesnya kaya nongkrong di halaman depan rumah temen yang lagi ngadain acara. Kita bisa ngobrol dibawah pohon rindang, kadang ada burung-burung juga yang lompat dari dahan ke dahan.

Kopi dan matchanya enak, kopi susu khas kafe Jogja.

Spot yang nyaman untuk kerja cuma ada di foto sih kayaknya.
Deket masjid juga jadi praktis kalo mau kerja seharian disini.",5
,,2 bulan lalu,Salsabiela Aurelia,Local Guide,86 ulasan,"Baristanya kurang ramah, ya mungkin masi pagi jd kurang semangat wkwkw. Buat kopinya enak, stop kontaknya diluar gabisa dipake:(",4
,,2 bulan lalu,Rara Geodenti Lawrencia,-,17 ulasan,"Suasananya nyaman. Di dalem nyaman banget dan dingin, semoga bisa diperluas. Kl di luar mungkin lebih cocok untuk nongkrong-nongkrong tp buat yang pingin nugas bisa di dalem👍🏼 …",5
,,5 bulan lalu,Lia Sutanto,Local Guide,102 ulasan,"Ini salah satu tempat ngopi enak di Yogyakarta yang harus didatangi
Kalau siang ramai sekali, dan bagi yg bawa mobil tempat parkir agak terbatas ya 😄

Tapi kopinya hot cap & ice americano nya juaraaa deeeh👍👍👍",5
