PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Tempat Makan & Coffee Shop (S.CO),,,,,,,
,https://www.google.com/maps/place/My+Kopi-O!/data=!4m7!3m6!1s0x2e7a583365838e81:0x50c3a2bdbe76b7b1!8m2!3d-7.7807057!4d110.3766681!16s%2Fg%2F11cjk3fjf5!19sChIJgY6DZTNYei4Rsbd2vr2iw1A?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 hari lalu,afriniadini,Local Guide,204 ulasan,Dulu banget pernah kesini tapi ya belum begitu tertarik mereview dan beberapa kali lewat sini nampak sepi. Baru ada kesempatan meeting di sini coba beberapa macam makanannya dan ternyata enak semua masakannya. Gak ada yang failed ! Dan yang pasti porsinya banyak. Untuk range harga variatif ya start from 30rb dan sangat variatif ya banyak macamnya baik yang main course maupun untuk cemilannya ada yang gurih dan manis. Minumannya pun banyak macamnya dari yang seger sampai menu kopi. Untuk tempat nyaman dan ada pilihan smoking area maupun non smoking. Cocok untuk meeting atau sekedar hang out bisa masuk list to go 😊,5
,,3 minggu lalu,jogja food stock,Local Guide,139 ulasan,"bbrp kali kemari, untuk makanan minuman rata2 cukup enak dan lengkap. untuk harga standart resto. namun dr bbrp kali kesini pelayanan tidak mengalami perkembangan lebih baik, rata2 pelayan komunikasinya kaku dan cenderung ketus. bbrp kejadin kurang aware dengan konsumen.
Atmosphere no smokingnya agak cenderung panas (mungkin saatnya service ac) dan musik ambiencenya tifak cocok serta bass nya terlalu berdentum",2
,,5 bulan lalu,Benediktus Wahyu K.,Local Guide,68 ulasan,"Tempat yang sangat cocok untuk Anda yang mau nongkrong bersama teman dan keluarga 😁👍. Tempatnya rapi, bersih dan nyaman🤩 Makanan dan minuman yang disajikan juga enakk cuy☝️😋 Pelayanannya juga the best dah😎👍Sangat recommended yang mau ngumpul/nongkrong di kota Jogja😁",5
,,11 bulan lalu,Selvy H,Local Guide,84 ulasan,"Makanannya bervariasi,rasanya enak,service memuaskan,tempatnya selalu ramai dijam makan siang jadi sebaiknya reservasi terlebih dahulu ,,ada diskon jika menggunakan member my Kopi-O.kurangnya tempatnya kurang nyaman kl didalam sempit dan mejanya sangat berdekatan sehingga kurang privasi,sedangkan kl diluar panas bgt karena tidak ada ac,makanan yg paling favorit disini chiken wings yang honey,nasi goreng kemangi,dan dessert nya kalian harus coba puding kelapanyaa bener2 enakkkk bgt.kl makanannya rata2 enak sayangnya coffeenya kurang recomended.",4
,,setahun lalu,Ika Rakhmawati Hilal,Local Guide,362 ulasan,Tempat nongkrong di pusat kota dengan atmosfer yang asyik. Suasananya tenang karena jauh dari jalan utama. Desain interior dan eksteriornya bagus. Makanan dan minumannya enak meskipun sedikit mahal untuk ukuran warga Yogyakarta. Walaupun sedikit mahal namun sepadan dengan rasanya. Tersedia food and beverage dengan menu Nusantara dan western di sini. Tinggal pilih yang sesuai dengan selera.,5
,,9 bulan lalu,friska isnardevy,Local Guide,62 ulasan,"Buat aku yg kaum2 harga mahasiswa ini, tempat ini adalah high end cafe 😆
Tempatnya cozy, enak bgt buat ngobrol, harga up ya, bukan middle up lagi 😁, tapi worth it, dg rasa yg super enak 👍
Wajib cobain ayam tangkap nya 👍",5
,,sebulan lalu,Dessy Riana,Local Guide,36 ulasan,"Saya datang tgl 28 april 2023, saat duduk menunggu pesanan diruangan non smoking (ac area), staff membersihkan meja sebelah tempat saya duduk dengan cairan yang baunya sangat mirip dengan 'wipol pembersih lantai/ karbol cemara', dan baunya sangat menyengat, sehingga mengurangi selera makan  karena mengingkatkan saya dengan bau rumah sakit. Semoga management my kopi o membaca review ini untuk perbaikan dengan menganti disinfektan spray yang lebih aman untuk meja makan. Pelayanan: baik, Tempat: nyaman, Rasa dan penyajian makanan: oke.",5
,,7 bulan lalu,Michael & IChaa,Local Guide,105 ulasan,"Lokasinya gak jauh dari kota.
Nyobain kesini, karna banyak yang ngerekomendasiin untuk chill disini.

Well, I only had coffee and some snack for a short time.
Tapi nyaman ngopi disini.
Staffnya juga ramah.",5
,,6 bulan lalu,reren indranila,Local Guide,376 ulasan,"Menu makannya banyak, menu western, menu asia, menu nusantara juga ada. Rasa enak, suasana oke, tempatnya juga enak buat ketemu klien. Untuk motor parkir di seberang resto.",5
,,4 bulan lalu,I Wayan Warmada,Local Guide,105 ulasan,"Pilihan menu banyak, tempatnya nyaman, harga bersaing. Ukuran menu rada2 jumbo. Rasa dijamin enak.",5
,,10 bulan lalu,Lena Puji Astuti,Local Guide,41 ulasan,"Menunya beragam, tempatnya bersih, makanannya enak, byk spot foto bagus, suasananya adem, cocok utk makan bersama teman2 dan keluarga",5
,,2 bulan lalu,Laela Rizky,Local Guide,55 ulasan,Langganan dan favorit place kalau acara2 kantor dan temu kangen dengan teman2 dari luar kota. Vibesnya menarik sehingga terasa nyaman duduk sejenak menikmati masakan yg enak dan porsinya besar. better mengajak keluarga kumpul disini.. mungkin untuk anak2 bisa 1 porsi berdua karena porsinya besar.. tapi rasanya sangat enak...,5
