PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Alfa,,,,,,,
,https://www.google.com/maps/place/SOTO+ALFA+LAPANGAN+KARANG/data=!4m7!3m6!1s0x2e7a57de54b031e1:0x668716d85af00bec!8m2!3d-7.8224531!4d110.3970124!16s%2Fg%2F11fmfpbmd2!19sChIJ4TGwVN5Xei4R7AvwWtgWh2Y?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
,,2 bulan lalu,Rahmad Juniyanto,Local Guide,314 ulasan,"kopinya enakkkk,, pake botol kaca, enak buat nugas,, sygnya sering penuh, parkiran sempit,,  11 12 kek senja",5
