PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Reborn Concat,,,,,,,
,https://www.google.com/maps/search/Warung Reborn Concat jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Candyyz _,Local Guide,27 ulasan,"pelayanan lamaaaaaaa bangettt kalo lagi jam rame (biasanya pulang kuliah sekitar menjelang malam)
suasana enak santai, variasi menu makanan lumayan banyak.
rasa makanan biasa saja tapi masih bisa dimakan, kadang nasi nya kebanyakan kadang benyek kadang terlalu keras. lauk nya sedikit dan enggak worth it sama harga nya.",2
,,sebulan lalu,Lutfia Prihanani,Local Guide,682 ulasan,"Warung ini ambiencenya kaya warmindo tapi lebih oke, tempat duduk banyak, bayar pake qris bisa. Lokasinya dari pintu barat amikom ke utara dikit nanti kanan jalan. Depan bengkel vespa. Menunya relatif masuk kantong mahasiswa, variannya banyak, penyajian juga cepet, cuma kopinya kurang berasa lebih ke manis sama banyak susu tapi masih oke sih. Parkiran juga lumayan luas",3
,,3 bulan lalu,mindset sukses,-,1 ulasan,"Tempat oke
Wifi kenceng
Makanan pas kantong mahasiswa
Ricebowlnya enak dan murah",5
,,5 bulan lalu,LANGOWUYO,-,4 ulasan,"Sangat cocok mengisi kepuasan lapar dan dahaga yah gengs,, mahasiswa wajib kesini nih, makanan enak,  pelayanan terbaik dan suasana yang nyaman 🥰",5
,,3 bulan lalu,Grand Spartan Indonesia,-,1 ulasan,Kopi palm sugar 14 rebuuu,5
,,9 bulan lalu,Faisal Salim,Local Guide,10 ulasan,"Rasa masakan nasi goreng standard kayak masakan rumahan dan porsinya dikit lagi, tidak ada nilai lebih.  Pelayannya yg gemuk itu cuek bebek ditanyain Password malah ngasih tau gak jelas sekalian minggat.

Untuk suasana ruangnya lumayan estetik lah bagus.  Tolong diperbaiki pelayanannya, harga menu makanannya lebih mahal drpd burjo standard pd umumnya tpi setara dgn kualitas tempatnya kok.",3
,,5 bulan lalu,Rifqim.a,-,2 ulasan,"Cocok banget buat nugas atau makan sehari hari, harga yang murah, tempat makan nyaman, ada wifi juga",5
,,5 bulan lalu,Dig,-,3 ulasan,"Recomended buat mahasiswa neehhh..
makanan enak, cepet, pelayanan ramah
goodjob!",5
,,5 bulan lalu,Dwi Prasetyo,-,2 ulasan,"Cocok buat nongkrong sambil ngerjain tugas nih
Harga juga murah, pelayanannya juga baik.",5
,,5 bulan lalu,1826_krista Mega ersadila,-,3 ulasan,Makanan dan minumannya enak dengan harga mahasiswa kualitas tetap ok,5
,,9 bulan lalu,Bella Trimanda Liadi,Local Guide,223 ulasan,"Warung ini terakhir saya kesana lumayan sepi, padahal makanan disini enak terutama magelangannya, selain itu ada wifinya juga, wifinya lumayan kenceng cocok buat mahasiswa yang mau nugas tempatnya juga cocok buat nongkrong",5
,,5 bulan lalu,1827_ Anna Maria Ranolat,-,2 ulasan,"makanannya enakk, dan cocok bgt di kantong mahasiswaaa🥰 …",5
,,4 bulan lalu,Rakryan N. W.,-,79 ulasan,Tempat nyaman dan pelayanan baik. Cita rasa standar.,5
,,5 bulan lalu,Nijar Kmaludin,-,2 ulasan,"Penjaga kasirnya mukanya sinis amat, jutek begitu kaya ga niat",2
,,4 bulan lalu,jimmy christian,Local Guide,44 ulasan,Cocok untuk anak kuliahan karena enak buat nongkrong,5
,,6 bulan lalu,_awp,Local Guide,32 ulasan,Kaya kurang sesuai aja gitu,1
,,setahun lalu,Hubertus Gilang OJI,Local Guide,317 ulasan,"Salah satu warmindo yang direkomendasikan buat ngobrol bareng teman karena agak bising pas siang, ditambah menu-menu nya sangat masih terjangkau.

Mesti banget coba kopi lampung nya disini. 😬",4
,,5 bulan lalu,Bintang Fajar SP,-,4 ulasan,Makanan dan minuman sangat enak dan harga cocok untuk mahasiswa,5
,,5 bulan lalu,Yohana Celyta Pambut,-,2 ulasan,"Makanan enak , sesuai dengan budget mahasiswa",5
,,setahun lalu,Agus Cahyono,Local Guide,129 ulasan,"Makanan standar warmindo dijogja, namun lebih berkelas, lebih bersih, dan lengkap menu yang ditawarkan, harga bersahabat bagi kantong mahasiswa, karena letaknya di seputaran kampus besar dijogja dan seputaran kost2an, mohon kedepannya buka lebih malam lagi seperti warmindo yang lain bahkan 24 jam, meng akomodir para anak kost yang laper di tengah malam",5
,,7 bulan lalu,Rex,Local Guide,11 ulasan,Makanan di sini kurang enak dan tidak appetizing,2
,,7 bulan lalu,Oktavius kch,-,4 ulasan,"Pelayanan lama dan tidak ramah, suasana enak, makanan biasa saja",1
,,5 bulan lalu,Permana Adyatama,Local Guide,58 ulasan,Lwbih diperhatikan kebersihan alat makan/minum,4
,,setahun lalu,Ofix Okefix,Local Guide,134 ulasan,Tempatnya asik menu nya murah murah sesuai kantong mahasiswa disaat pandemi hehehe,5
,,5 bulan lalu,Tasya Darmansya,-,1 ulasan,pelayan tidak ramah,1
