PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
bjongngopi Maguwo,,,,,,,
,https://www.google.com/maps/search/bjongngopi Maguwo jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Rudi Kurniawan,Local Guide,281 ulasan,"Pertama kali datang sepertinya disaat yang kurang tepat, mulai parkir mobil yabg disuruh pindah, lanjut salah tempat duduk yang sudah di booking tapi nggak ada tulisannya, tapi so far tempatnya enak, nyaman buat nongkrong ngobrol.
Untuk harga juga standar masih masuk dikantong mahasiswa.",4
,,5 bulan lalu,Alfaa Cat,Local Guide,36 ulasan,"Salah satu tempat ngopi cukup reccomend di maguwo. Harganya standart, cukup nyaman buat nugas/nongkrong. Cemilannya juga enak.",4
,,2 minggu lalu,Dinda Aurora,Local Guide,82 ulasan,"Harga makanan sm minumann nya murah2, area parkir luas, dan colokan nya banyak",4
,,2 minggu lalu,DNE Channel,-,15 ulasan,"Butuh tempat buat Rapat? Ngerjain Tugas? Nggambar??.... Dateng aja ketempat ini👍

Sirkulasi AC alam lancar.
Makanannya tergolong simpel sih.... Tp ya paling engga bisa ngasih konsum lah misal rapat(hehe).
Harga terjangkau.

Klo kesana, baik² in Kucing liarnya ya👍
(Btw abanh kasir yg pake Kacamata Friendly coy)",5
,,3 bulan lalu,Wenny Lelliana,Local Guide,260 ulasan,"Kopi super mantap. Harga bersahabat. Makanannya porsi full, dan rasa enak. Tempatnya nyantai buat nongkrong, adem.",5
,,2 bulan lalu,Bagus Nurroni,Local Guide,129 ulasan,"Tempat nongkrong yang asik, pisang gorengnya enak",5
,,setahun lalu,Cungkring Menawan,Local Guide,94 ulasan,"Enak, asik, syahdu. Harganya terjangkau",5
,,10 bulan lalu,Riana Saputri,Local Guide,156 ulasan,"Parkir luas, tempat lebih enak dari pada bjong yg di seturan.
Harga menu makan, minum, dan cemilan murah sekali apa lagi es teh jumbo udah fav bgt. Pelayanan cepat dan ramah
Ada lesehan juga dan tersedia colokan",5
,,setahun lalu,Adith Ndith,-,8 ulasan,"Tempat diskusi,ngegibah dan bermain bersama yang sangat asek bisa berlama-lama sampai pagi dan pagi lagi... walaupun SDH closeorder.... Seperti dirumah kawan ....free WIFI",5
,,setahun lalu,0207_Muharrik Abdullah m,Local Guide,50 ulasan,"Tempatnya lebar banyak tempat duduk wc ada dua harga makan minum murah ada kajon juga sama bbrapa permainan lain,outdoor bnget tempatnya trusan bisa nongkrong 24 jam jadi enak tapi open order hanya sampai jam 11-12 malem",5
,,setahun lalu,Eko Nur Cahyo,Local Guide,24 ulasan,Mantap menu minuman dan makanan enak²...harga jg sangat terjangkau...suasana tempat nyaman dan bersih,5
,,8 bulan lalu,ayu febri wulan,Local Guide,78 ulasan,"Warung kopi yg affordable buat ngumpul sm temen, ada menu size jumbo lg",4
,,6 bulan lalu,Iqbalbayu,Local Guide,114 ulasan,"Tempat nya cukup luas, menu bervariasi dan terjangkau. Ada wifi gratis selama 3 jam. Tempat parkir gratis tapi cukup gelap dan tidak ada tukang parkir",4
,,2 tahun lalu,Muhammad Mualim,Local Guide,113 ulasan,"Tempat nongkrong sejak pertama buka di Nologaten. Skrg pindah dekat rumah Maguwoharjo.
Lebih tenang dan luas, pemandangan ijo2 di sekeliling.
Racikan kopi tubruk masih oke dengan cocol tahu tempe. Tetap jadi favorit.
Harga murah dan wifi ngebut.
Cocok untuk nugas bersama teman2.
Jangan lupa patuhi protokol kesehatan ya.",5
,,5 bulan lalu,Unknown,Local Guide,32 ulasan,"Cafe dengan harga murah, cocok untuk mengerjakan tugas atau nongkrong bareng temen.",3
,,6 bulan lalu,Fewinson Sibagariang,Local Guide,7 ulasan,Tempat nyaman untuk berinteraksi dan bersantai,5
,,3 tahun lalu,faldi yassin,Local Guide,55 ulasan,"ngopi bonus suara gangsir, jangkrik, dan dedaunan yang bergoyang. rekomendasi buat yang butuh menepi dari keramaian nologaten~",5
,,11 bulan lalu,Don,-,34 ulasan,"Tempatnya bersih, last order jam 12 malam tp kalau masih mau nongkrong ga bakal diusir. Dan toiletnya bersih, ada sabun buat cuci tangan. Hal kecil yg penting bgt mrka perhatiin. Keren Bjong",5
,,5 bulan lalu,gunawan wijayanto,-,20 ulasan,"Tempatnya bagus dan cocok utk ngopi dan ngobrol2,",4
,,9 bulan lalu,Iip Rifai,Local Guide,45 ulasan,"Mejanya dikasih taplak plastik dong, biar bersih, agak jijik juga banyak bekas lemak hehe, semua meja di semua cabang dikasih ya biar seep",3
,,setahun lalu,mein strasse,-,73 ulasan,"Tempatnya santai, kaya maen ke rumah temen hehe. Sering ramai. Cocok buat kongkow, ngobrol2 ma temen. Harga makanan dan minuman terjangkau. Pesan susu jumbo, kentang goreng dan mendoan, total sekitar Rp.28.000. Tempatnya tenang karena kanan kiri masih kebun/sawah",5
,,setahun lalu,Martinus Fitria Surmalahadi Sulistyo,Local Guide,125 ulasan,"Salah satu tempat nongkrong/kerja tugas yang lumayan terjangkau di daerah Paingan (blakang Casa Grande) yang buka sampai dini hari.. Jauh dari keramaian, jadi sangat membantu bagi yang ingin berkonsentrasi.",4
,,setahun lalu,Aulia Khusnul,Local Guide,22 ulasan,"Tempat nongki untuk nugas, rapat atau sekedar ngumpul sama teman/ gebetan yang nyaman dengan harga menu yang sangat ramah dikantong dengan porsi yang enggak pelit sama sekali. Selain free wifi bjongngopi Maguwo memiliki lahan parkir yang luas. Tempat ini buka hingga pagi (sekitar jam 03.00) dengan close order pada jam 00.00.",5
,,setahun lalu,FX Suprapto,Local Guide,539 ulasan,"Tempatnya nyaman dan parkiran juga luas. Menu yang disediakan ringan ringan saja. Cocok kalau hanya sekedar mau nongkrong, apalagi buat anak kuliahan.
Sedikit saran untuk pengelola, asbak sebaiknya sering dibersihkan atau dicuci. Saya lihat semuanya dekil sekali.",4
,,setahun lalu,rona hendarto,Local Guide,28 ulasan,"Yg cab maguwo tempatnya adem, ki-ka masih hijau, antar meja ditata berjarak jadi lega, utk nugas, atau ngobrol2 nyaman, parkir memadai, wifi kenceng, porsi minumnya jumbo 👍 mgkn variasi menu bisa ditambah 😀🙏 …",4
