DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Karaoke,,Alkohol,Makan malam,Memiliki bar,Nyaman,Berkelompok,Menerima reservasi,Kartu debit
,Pesan antar,Musik live,,Bir,Hidangan penutup,Toilet,Santai,,,Kartu kredit
,Bawa pulang,Permainan bar,,Hidangan larut malam,Tempat duduk,Wi-Fi,,,,
,Makan di tempat,Pertunjukan live,,Koktail,,Wi-Fi Gratis,,,,
,,,,Kopi,,,,,,
,,,,Makanan,,,,,,
,,,,Makanan di bar,,,,,,
,,,,Makanan happy hour,,,,,,
,,,,Menari,,,,,,
,,,,Minuman happy hour,,,,,,
,,,,Minuman keras,,,,,,
,,,,Pilihan menu vegetarian,,,,,,
,,,,Wine,,,,,,
