DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Antar tanpa bertemu,Pelayanan cepat,,Alkohol,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok,Menerima reservasi,Kartu debit
,Pesan antar,,,Bir,Brunch,Kursi tinggi,Santai,Ramah keluarga,,Pembayaran NFC dengan ponsel
,Bawa pulang,,,Cepat saji,Makan siang,Toilet,,,,Kartu kredit
,Makan di tempat,,,Koktail,Makan malam,Wi-Fi,,,,
,,,,Kopi,Hidangan penutup,Wi-Fi Gratis,,,,
,,,,Makanan halal,Tempat duduk,,,,,
,,,,Menu untuk anak-anak,,,,,,
,,,,Minuman keras,,,,,,
,,,,Pilihan menu sehat,,,,,,
,,,,Pilihan menu vegetarian,,,,,,
,,,,Varian menu vegan,,,,,,
,,,,Wine,,,,,,
