Restaurant ID,Restaurant Name
ChIJCROHI2hYei4RuiDYVsDvDtg,Jogja Festival Resto And Fun Cafe
ChIJd5Q4fDBYei4RG6uDmHe8xXs,Roaster And Bear Restaurant
ChIJI_Wmq3FZei4R7SYDsvUHPAM,Kalluna - Instagrammable Restaurant & Meeting Room
ChIJBxNPyfRXei4RQJmFD9PILdY,Secret Garden Coffee and Chocolate
ChIJzfDAL5JXei4RB_2bokRgwJ0,Water castle cafe
ChIJodYTqNJZei4R_qUnGfLotzw,DOUBLE O Resto and Cafe
ChIJJfyKmRdYei4R-MR1ehmXhmo,Lecker Rumah Kopi & Resto
ChIJjf3V6rxXei4R0lNHoFphUss,POENOKAWAN CAFE RESTO & GALLERY
ChIJ4xIBDHdXei4RK03gVuROha8,Palms Resto & Cafe
ChIJ1T2RU6JXei4R2MgsNDzkoJY,Warung Lawas
ChIJy1axFiZYei4RwcUhLj7ow3o,Atap Cafe & Resto
ChIJ38IqyaNXei4R-Nkurx7opBA,ViaVia Jogja
ChIJG7Ju9yZZei4Rh62lxIUyeJ8,Kala Jumpa
ChIJA-nXIPtZei4ROEn4CHq887E,D'Coff Jogja
ChIJRxONwS5Yei4RcwWqzjnGrzQ,Legend Coffee
ChIJG5Y1YEpXei4R75Tm0vT5G84,Tujuan
ChIJszORIKNXei4RjDQbK97emDk,Made Cafe
ChIJgcTwSjJYei4RjTeFmZqkQyg,Swiss Cafe
ChIJ12iZq5ZXei4RgQuh1QR2C3c,RT Cafe
ChIJv7fD-TZXei4RErtmZlGHMoU,WRD Family Cafe
