PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Farmasi,,,,,,,
,https://www.google.com/maps/search/Angkringan Farmasi jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Laras Novitasari,Local Guide,54 ulasan,Mantaaap .... Joss.. murce.. dan bikin kenyang... Ramah di kantong utk harga dan pelayanannya supreme.. 😁😁 Silahkan mampir ke sini bagi warga Farmasi UGM ataupun Fakultas sebelah... Dijamin kenyang dan bikin nagiih... 👍🏻👍🏻 Sukses dan barokah buat yang jual...,5
,,4 bulan lalu,Poejie Rahayu,-,1 ulasan,"Tempatnya enak buat srawung, menunya enak, penjualnya ramah harganya murah dan fav q adl aroma pisangnya juara",5
,,4 bulan lalu,Adhyatmika,Local Guide,31 ulasan,"nasi kucingnya enak, pulen ga keras. pilihan lauknya lengkap. suasananya jelas asyik. layanan oke.",5
,,4 bulan lalu,nining lestari,-,2 ulasan,"Rasa mantap.. harga murce, menu komplit..semua menu favorit..👍👍👍",5
,,4 bulan lalu,UJM Farmasi UGM,-,1 ulasan,"Angkringan legendaris,.. Murah, nikmat, dan mengenyangkan .. Nyaman buat nongkrong dan srawung",5
,,4 bulan lalu,Gatot Sadewo,-,2 ulasan,"Salah satu tempat ternyaman di kampus, so special co working  👍👍👍 …",5
,,4 bulan lalu,nurwahid,-,6 ulasan,"Pokoke maknyus
ada berani mencoba?",5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
,,4 bulan lalu,Puguh Indrasetiawan,,,,5
