PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Kopi Joss,,,,,,,
,https://www.google.com/maps/place/Angkringan+Kopi+Joss+Tugu+Mbak+lina/data=!4m7!3m6!1s0x2e7a58307decf273:0x8cbdc6f17ef296d9!8m2!3d-7.783263!4d110.3671516!16s%2Fg%2F11cjj56d7z!19sChIJc_LsfTBYei4R2ZbyfvHGvYw?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,MetNetz,Local Guide,170 ulasan,"Angkringan rekomendasi harga standar, nasi kucing bungkus bervasiasi banayk banget. Dua nasi udah kenyang. Teh panas juga khas jogja. Lokasi sangat strategis, sambil makan bisa lihat tugu. Bahkan bisa dibawa ke teras tugu bisa makan dengan pemandangan malam yang ciamik. Harga di sini dan tempat lain sama aja, tapi untungnya lokasi terlalu strategis.",5
,,4 bulan lalu,Widya K,Local Guide,23 ulasan,"Tempat angkringan yg di dkt tugu.  Tempatnya g besar. Tepatnya ad dibelokan  perempatan tugu kiri jalan klo mau ke arah mangkubumi
Lauknya buanyaaak,aneka sate2n. Nasinya jg macem2. Minumannya jg bervariasi ada jahe sm minuman sachetan",4
,,2 tahun lalu,Ery Muluverie,Local Guide,876 ulasan,Kopi Joss nya mantap. Harga masih wajar. Makanan lengkap ala angkringan. Rame dan penuh karena sebelah pas dengan tugu pak putih. Bisa sambil lesehan liat keramaian jalan di tugu Jogja. Buka nya gak tau sampai jam berapa. Kesini jam 2 pagi masih buka.  Banyak pengamen dsini. Sediakan uang receh.,4
,,4 tahun lalu,Rahajeng Marlitasari Putri,Local Guide,87 ulasan,Lokasi yang pas dan view yang kita dapetin itu yang mahal. Disana tersaji suasana Jogja yang selalu dirindukan para wisatawan. Asik untuk nongkrong dan berbagai pilihan cemilan yang bisa dipilih dan yang paling hitss kopi Joss nya (kopi arang),3
,,5 bulan lalu,Lenny,Local Guide,28 ulasan,"Kopi dengan cara penyajian yg unik dengan kayu asem yg dibakar, menurut penjualnya arangnya berfungsi untuk mengurangi kafeinnya. Lokasi dekat dengan stasiun tugu",5
,,5 tahun lalu,Bintang Prayogo (BintangB7),Local Guide,45 ulasan,"buka nya kata orang sini cuma malam minggu, tapi rekomen sekali, buat yang ingin cari suasana kopi yang beda, disini rekomen sekali, untuk rasa kopi 6 aja lah dari 10, kalo suasana 10 dari 10",5
,,4 bulan lalu,Auzan Hasfi,Local Guide,11 ulasan,"Langgananku klo ngopi loksi pas deket sm tugu , salh satu angkringan yang bnyak kenangan di disitu gk bkl terlupa",5
,,2 bulan lalu,Auliya 83,-,6 ulasan,"BIKIN KERACUNAN + DIARE, GA HIGENIS mahal banget dan rasanya b aja 👎🏻👎🏻 …",1
,,setahun lalu,kaktus hijau,-,9 ulasan,"Tempat enak langsung view tugu jogja kalo malem keren, makanan enak2 banyak pilihan sate2nya.",3
,,2 tahun lalu,Zakiy Abdussalam,Local Guide,74 ulasan,Recommended. Harga murah walau di kawasan tugu. Bisa langsung lihat tugu dari pinggir jalan. Sayang banyak pengamen jadi males,4
,,3 bulan lalu,Afifah Mutiara,Local Guide,21 ulasan,Enak bngt pokoknya buat nongkrong malem malem sambil liatin orang lalu lalang,5
,,3 tahun lalu,Tania Christabel,Local Guide,34 ulasan,Tempatnya rame dan nyaman,5
,,4 tahun lalu,Muhfahmi Rosady,Local Guide,21 ulasan,"Kopi joss merupakan kopi khas Jogjakarta, rasa pahit kopi bercampur dengan gurihnya arang, membuat kenikmatan ngopi di Jogja semakin berkesan",5
,,10 bulan lalu,Rifa Lilis,-,2 ulasan,"Satenya memang beragam view juga bagus tapi sayang pelayanan kurang,penjaga kurang sopan udah salah nggak minta maaf malah nyolot harusnya kalo salah gimana seharusnya bukan bisik2 depan konsumen",1
,,setahun lalu,maima adiputri,-,5 ulasan,"Beli sate kerang, rasanya agak pahit dan dapat bonus telur lalat :(
Pas datang memang sate2an gitu dilalatin. Semoga hanya kejadian di saya saja. Harga lumayan mahal sih satenya 3000an",1
,,setahun lalu,Sarah Pradana,Local Guide,31 ulasan,"Tidak perlu ragu dengan harga, semua sangat normal dan wajar.
Rasa lumayan, pada umumnya angkringan.
Nasi sangat lengkap variannya, namun tahu tempe bacem saat itu mungkin sudah habis, karena saya tidak lihat.
Parkir mobil di area tersebut juga terjangkau, hanya 5rb.

Paling dekat dengan tugu Jogja, mantap.",5
,,setahun lalu,Eko Nur Zaenuri,-,2 ulasan,"Pelayanan gak ada sopan sopannya, udh bilang baik2 malah ngegas ngomongnya, view nya doang bagus, tp yg jaganya kurang ajar bgt, pesen lama bgt yg lain udh beres makan ini masih blm di apa apain, kapok pake banget",1
,,9 bulan lalu,Samudra Rio,-,146 ulasan,"ditambah varian atau menu   makanan ,   kurang nya  tempat parkiran tidak rapi ,   cocok buat kumpul kumpul ..",3
,,setahun lalu,banyu punya cerita,Local Guide,14 ulasan,Kalau kangen jogja pasti ngopi disini,5
,,2 tahun lalu,Wisnu Issantoso,Local Guide,1.295 ulasan,"Nuansa jogja dan keramahan manusia.
Menemani menikmati Tugu",4
,,2 tahun lalu,Al-yaqin Laa Syack,Local Guide,184 ulasan,Mantap jiwa ..jngn sampai d lewatkan klo k jogja deh ..serius 😂 …,4
,,4 tahun lalu,Fani Akhmad Raynaldi,Local Guide,115 ulasan,Juara sih disini saat kita minum kopi di seduhin pemandangan langsung ke tugu Yogya yg identik banget,5
,,2 tahun lalu,indraz ary,Local Guide,81 ulasan,"Susu jahe panas sambil menikmati malam kota jogja...
Harga lbh murah dr sebelah2nya
Parkir enak, tersedia lesehan, tempat bikin betah lama2",4
,,setahun lalu,yenanda dwiyan,-,6 ulasan,"Makanannya rasanya B banget dan kurang cocok gak bisa bakar lagi, view doangbagus",1
,,5 tahun lalu,Iskandar Aruji,-,176 ulasan,Pilihan tempat ngopi terbaik sembari menikmati malam di seputaran Tugu Jogja...,5
