PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Kriwilꦄꦏꦔꦤꦏꦮꦭ,,,,,,,
,https://www.google.com/maps/place/Angkringan+ViRal/data=!4m7!3m6!1s0x2e7a5956e8c261d1:0xb497c903281f0593!8m2!3d-7.7777789!4d110.3637028!16s%2Fg%2F11t8xvctfw!19sChIJ0WHC6FZZei4RkwUfKAPJl7Q?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,8 bulan lalu,Ratna Kumala,-,1 ulasan,"Tempatnya adem, suasana malem sambil lihat bulan purnama",5
,,8 bulan lalu,Leeya Wahab,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
,,9 bulan lalu,Syaifuddin Dhanu Kusuma,,,,5
