PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Legendaris,,,,,,,
,"https://www.google.com/maps/place/Ayam+bakar+dan+goreng,+LEGENDARIS+117/data=!4m7!3m6!1s0x2e7a5765cbf40001:0x361f00b4a74e3f99!8m2!3d-7.8025754!4d110.3952019!16s%2Fg%2F11f50wwx09!19sChIJAQD0y2VXei4RmT9Op7QAHzY?authuser=0&hl=id&rclk=1",,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,Wila Tia,-,2 ulasan,untuk harga makanan di tengah kota jogja ini termasuk worth it sih. ayam bakar madu nya enak bgt buat yang suka manis. ayamnya lembut cuma agak gosong dikit. lele gorengnya juga enak bgt. rekomendasi buat anak kos,5
,,setahun lalu,Farid 21,Local Guide,167 ulasan,"tempat nya di pinggir jalan, persis didekat lampu merah. nyaman buat nongkrong.",4
,,setahun lalu,HalfaZ YgY,Local Guide,225 ulasan,"Tempat yg enak buat nongkrong bareng teman, menu lengkap, mulai dr makan (ayam), minum (kopi) juga makanan ringan (roti bakar)",5
,,5 bulan lalu,Zahwa Tailor,Local Guide,37 ulasan,"Lumayan nyaman,parkir luas,harga murah dan rasa ayamnya joss..",5
,,4 bulan lalu,Nizam Prasetya,Local Guide,39 ulasan,"tempat nyaman, strategis, dn lumayan enak makanannya",5
,,2 tahun lalu,Lisa Dis,-,1 ulasan,"Senang dengan suasananya penjualanya pun juga ramah, masakan juga oke. Paling demen sama ayam bakar madunya kerasa meresap banget bumbunya. Soal harga tak perlu kwatir. Untuk yg mau kesini mending diatas jam 5sore krna dibawah jam itu makanan kadang sering belum siap!",5
,,2 tahun lalu,Andi Ok,-,1 ulasan,"Menurutku ayam bakar madunya salah satu yang terenak di jogja. Bumbunya paling meresap. Tapi Sayang rumahku agak jauh, jadi kalau ke pergi dkat situ pasti aku sempetin mampir 😁 …",5
,,10 bulan lalu,Yono Karyono,Local Guide,290 ulasan,Waktu saya beli kurang Mateng masih ada merah darah 🙏🙏🙏 …,2
,,2 tahun lalu,Retno Murti,Local Guide,14 ulasan,"Baca referensi ayam madunya katanya paling enak, ternyata jauh dari definisi rasa enak. Sedikit kecewa apalagi nasinya agak dingin dan kaku.",3
,,setahun lalu,arum laksita,Local Guide,64 ulasan,Menu-menunya enak apalagi ayam bakar madu pakek sambel bawangnya,5
,,7 bulan lalu,Arriel rrizky Nandda ramadhaan,-,2 ulasan,Ayam bakar madu+sambal bawangnya wenaakk poolll,5
,,4 tahun lalu,riko trio,-,1 ulasan,Anjaay nasgor favoritku rasanya sama waktu makan di salah satu hotel di jogja yg harganye meholl & dsni jauh lbh murah rasanya sama,5
,,3 tahun lalu,Kumala Koala,Local Guide,269 ulasan,"Agak lama yah padahal cuma Pesen pecel lele plus teh hangat, rasa sih ok, harga juga ok",3
,,5 bulan lalu,Ratna Puspita,-,6 ulasan,Lumayan buat nyantai,5
,,4 tahun lalu,Agnestarlia Putri,-,5 ulasan,Nasi goreng y enak banet. Tp klo buat cowo porsi y kurang,5
,,setahun lalu,Dwi Dharma,-,18 ulasan,Cukup lama pelayanan pdhl tdk antri.,4
,,setahun lalu,Cahaya Abadi Travel,Local Guide,71 ulasan,Mantap,5
,,setahun lalu,Rizki Korin,Local Guide,60 ulasan,Menu Ayam Bakar Madunya juara,5
,,setahun lalu,Bamzt Neo,-,8 ulasan,Pelayanannya sangat baik.,5
,,10 bulan lalu,aisyiiah nurul a'ini,-,4 ulasan,mantap,5
,,3 tahun lalu,Dhidie S,-,6 ulasan,Mantep.enak buat santuy,4
,,setahun lalu,Muhammad Yahya,Local Guide,69 ulasan,Bagus,5
,,2 tahun lalu,Zahra Rara,-,5 ulasan,Bersih,5
,,5 tahun lalu,Lilia fitrianna,,,,5
,,4 tahun lalu,Rachmad Aji,,,,4
