PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Pak Aris,,,,,,,
,https://www.google.com/maps/place/Angkringan+Pak+Aris/data=!4m7!3m6!1s0x2e7a59aea9b2d56b:0x8302b3be5e457494!8m2!3d-7.785845!4d110.3700792!16s%2Fg%2F11g2l35r4w!19sChIJa9Wyqa5Zei4RlHRFXr6zAoM?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Yulisa A Fahira Tamimi,Local Guide,59 ulasan,"Mau nyaman, monggo lesehan. Tempat nongkrong bareng teman, pacar, keluarga. Deket masjid Syuhada  Kotabaru dan Fave hotel.",5
,,2 tahun lalu,nala ari,Local Guide,17 ulasan,"Sate artinya bikin getagihan,seribu rupiah per tusuk",5
,,4 tahun lalu,MR JACK,Local Guide,62 ulasan,jika,5
,,4 tahun lalu,the jack Belly,,,,5
,,4 tahun lalu,Gojek Jogja,,,,5
,,4 tahun lalu,Heryana Ajeng Lanovriani,,,,4
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
,,3 tahun lalu,Beni Angger,,,,5
