PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Pak Sugeng,,,,,,,
,https://www.google.com/maps/place/Angkringan+Pak+Sugeng/data=!4m7!3m6!1s0x2e7a57ba85bc3649:0xd545b36a5230c115!8m2!3d-7.8268509!4d110.3637539!16s%2Fg%2F11hbps2ddh!19sChIJSTa8hbpXei4RFcEwUmqzRdU?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Suryo Wibowo,Local Guide,14 ulasan,"Lumayan, cukup komplit, sesuai kantong dimasa Pandemi",5
,,5 tahun lalu,Anton Sujarwadi,Local Guide,82 ulasan,"Tempat nongki sehabis ronda,.. sambil ngopi main karambol.. endeesss",5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
,,5 tahun lalu,Afrizal Azhar,,,,5
