PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Angkringan Pojok Candi,,,,,,,
,https://www.google.com/maps/place/Angkringan+pojok+ndesa/data=!4m7!3m6!1s0x2e7a512c1ee4ed93:0xb1278ea41366b752!8m2!3d-7.7934651!4d110.4857984!16s%2Fg%2F11ppnqrr7s!19sChIJk-3kHixRei4RUrdmE6SOJ7E?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Dani Aryanto,-,5 ulasan,"Makanan lumayan utk kelas angkringan...
Layanan maksimal, ramah, komunikatif
Suasana santai",5
,,11 bulan lalu,Fajar Kumala,Local Guide,190 ulasan,"pas banget, depan pintu keluar tempat latihan PSS Sleman",5
,,2 tahun lalu,Dany Aryanto,Local Guide,23 ulasan,"Asik utk nongkrong santai...
Ngopi atau wedangan bareng teman ataupun bersama keluarga.",5
,,2 tahun lalu,ajiz annas,-,1 ulasan,Tempat asyik untuk santai mengurai persoalan hidup. Ngankring.....,5
,,11 bulan lalu,Fauzi NS,Local Guide,187 ulasan,"Spot ngangkring asik, suasana cukup tenang",5
,,10 bulan lalu,Gunawan Budhi,Local Guide,38 ulasan,Tempatnya joss.... komplit menunya,5
,,2 tahun lalu,Nana Azriel Anezka,-,1 ulasan,"Jahe panasnya josss, murih gurih😍😍 …",5
,,setahun lalu,Rubimin guseng,Local Guide,79 ulasan,Deket base camp pss,5
,,setahun lalu,tri muriana,Local Guide,390 ulasan,Top dah.....,5
,,3 bulan lalu,Lusi Nugraheni,,,,5
,,10 bulan lalu,otit to,Local Guide,197 ulasan,Jika,5
,,setahun lalu,Dian Saputra,,,,4
,,setahun lalu,Nashan Afandi,,,,5
,,setahun lalu,Gojek Jogja,,,,5
,,6 bulan lalu,InYourDream Ers,,,,5
,,setahun lalu,the jack Belly,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
,,setahun lalu,Dayu Agung Bramanti,,,,5
