PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Arcadaz Speakeasy Lounge and Bar,,,,,,,
,https://www.google.com/maps/search/Arcadaz Speakeasy Lounge and Bar jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Jo A,Local Guide,198 ulasan,"Datang pas wine lullaby, sama temen perform dj. Tempatnya so cozyyy",5
,,3 tahun lalu,tatang istianto,Local Guide,44 ulasan,Mantab rasanya,5
,,setahun lalu,Melinda Indini,Local Guide,256 ulasan,"Aku kesini buat  salsa social dance sama temen2.

Buat kita yg suka nari, lantainya itu asik bgt sie. Seru aja… cocok buat spatu dansa.

Harganya agak pricy but ya namanya di hotel ya hehe…

But suka sama tempatnya, private…",4
,,sebulan lalu,Rahma Cahyaning Tyas,Local Guide,25 ulasan,"Those view r legit, ga secity light jkt tapi good",5
,,3 tahun lalu,Simply GB,Local Guide,35 ulasan,Cool place to dance and hang out with friends. Cm aksesnya lift agak membingungkan krn letaknya di belakang bgt lewat resto,5
,,4 tahun lalu,Richard Buu,Local Guide,91 ulasan,"Tempatnya asik..
Tapi kalo ada event, agak sesak gituu. Soalnya tempatnya ga terlalu luas..",4
,,setahun lalu,radix julang,Local Guide,29 ulasan,Iya gitu,5
,,3 tahun lalu,Adi Nugroho Wijatmoko,Local Guide,142 ulasan,Nongkrong asik ditemenin band andalan jogja.. di sini salah satunya..,5
,,4 tahun lalu,cony permadi,Local Guide,181 ulasan,"Bagus
Nyaman
Enak buat kumpul kumpul
Cozy
Recommend",5
,,3 tahun lalu,Heri Triyana,Local Guide,58 ulasan,Desain interior tempat ok. Cuma kurang luas,5
,,3 tahun lalu,Akbar Rafsanjani,-,5 ulasan,Ada contact person kalau mau beli minum ?,5
,,3 tahun lalu,Felix Nugroho,Local Guide,291 ulasan,Tempat enak buat ngechill,5
,,3 tahun lalu,alf arc,Local Guide,13 ulasan,Nyaman tempatnya,5
,,4 tahun lalu,Nurlita eka,Local Guide,70 ulasan,Baguus tempatnyaa.,5
,,3 tahun lalu,ahmad busro,-,5 ulasan,Arcadaz tempat paling enak dan nyaman,5
,,4 tahun lalu,heru prasetya,Local Guide,110 ulasan,Lumayan untuk yang kencan hehe,4
,,3 tahun lalu,BGS,Local Guide,166 ulasan,cozy nyaman private,5
,,3 tahun lalu,Irvan Dosvi,Local Guide,199 ulasan,Sipppo mantab,3
,,4 tahun lalu,Sabar Nur,Local Guide,20 ulasan,sip deh...,4
,,4 tahun lalu,ifanindra khalbi,Local Guide,70 ulasan,Lumayan,3
,,4 tahun lalu,GCS,Local Guide,47 ulasan,Bagus,5
,,4 tahun lalu,who i'm?,Local Guide,130 ulasan,Keren,5
,,4 tahun lalu,raffasya byan,-,3 ulasan,Bagus,5
,,3 tahun lalu,RICKY SAPUTRA,-,3 ulasan,Keren bget,5
,,6 bulan lalu,Gabriella Mailoa,Local Guide,37 ulasan,"tbh okay techno music, the price was so good compared to the prices in big city.",5
