PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Bakmi Jawa Bu Tutik,,,,,,,
,https://www.google.com/maps/place/Bakmi+Jawa+%22Bu+Tutik%22/data=!4m7!3m6!1s0x2e7a5790f287787f:0x29813e501d8580fe!8m2!3d-7.8095617!4d110.3656684!16s%2Fg%2F11df814_0g!19sChIJf3iH8pBXei4R_oCFHVA-gSk?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,R Bambang Irianto P Gojek,Local Guide,242 ulasan,Bagus sekali,5
,,3 tahun lalu,Selvialou,-,1 ulasan,Uenak tenan.... recommend,5
,,2 tahun lalu,Aryo Saputra,Local Guide,85 ulasan,Rasanya enak,3
,,3 tahun lalu,Agus Dwi Haryanto,-,100 ulasan,Oke,4
,,11 bulan lalu,siti choiriyah,,,,5
,,3 tahun lalu,Lima Setengah,Local Guide,104 ulasan,Ke atas,4
,,6 tahun lalu,Wamil Eko,Local Guide,1.154 ulasan,Membaca....,5
,,4 tahun lalu,DIAN HUTAMA,,,,5
,,4 tahun lalu,Eko Susanto,,,,3
,,2 tahun lalu,Bapak Nuryanto,,,,5
,,3 tahun lalu,Endyelso,,,,5
,,4 tahun lalu,poer's Family,,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
,,3 tahun lalu,Untoro Onggo Prabowo (Toro Jogja),,,,5
