PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Bakso Prasojo,,,,,,,
,https://www.google.com/maps/place/Mie+Ayam+%26+Bakso+prasojo+%EA%A7%8B%EA%A6%A9%EA%A6%B6%EA%A6%AA%EA%A6%BA%EA%A6%84%EA%A6%AA%EA%A6%A9%EA%A7%80%26%EA%A6%A7%EA%A6%8F%EA%A7%80%EA%A6%B1%EA%A6%BA%EA%A6%B4%EA%A6%A5%EA%A6%BF%EA%A6%B1%EA%A6%BA%EA%A6%B4%EA%A6%97%EA%A6%BA%EA%A6%B4/data=!4m7!3m6!1s0x2e7a56854d9cef87:0x654c9304133f41a9!8m2!3d-7.86759!4d110.390259!16s%2Fg%2F11btmshl0w!19sChIJh--cTYVWei4RqUE_EwSTTGU?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 tahun lalu,Irvan Cahyo,Local Guide,154 ulasan,"Mie ayam di sini lumayan sedap dan nikmat. Rasanya salty tapi manis gak sengak, dan benar dagingnya segar, aromamya juga nyaman dicium. Tempat parkir luas dan memadahi serta nyaman ditempati. Walaupun menghadap langsung jalan raya Imogiri Timur.

Cocok pakai alternatif lain apabila warung mie ayam Napoli penuh atau pun ingin mecoba rasa mie ayam yang berbeda. Rasa air jeruknya cukup. Dan juga, jangan lupa berdoa sebelum makan ya, gaes!",3
,,setahun lalu,Yoga Assidiq,Local Guide,35 ulasan,"Ayamnya sueger,juicy.. porsinya pas, mienya besar dan kenyal.. gak kalah sama mie2 ayam lain yang populer disekitarnya.. joss",5
,,3 tahun lalu,dahron widodo,Local Guide,594 ulasan,"Mei ayamnya dan baksonya enak ,ibu penjualnya sangat ramah, Ada tempat parkir  walau kurang luas,tempat lumayan nyaman,
sebelah warung sate dan togseng pak jupaini,
Aneka minuman juga tersedia di sini dari es teh,es jeruk es campur,es kelapa muda,teh panas,jeruk panas, monggo bisa dicoba",5
,,6 tahun lalu,Nasraul Lenovo,-,10 ulasan,"enak dan murah.. mienya tipis, rasanya mirip tumini tapi manisnya pas..dagingnya seger2.masih sepi juga jadi nyaman.",4
,,5 tahun lalu,Azza Sarwendah,-,5 ulasan,Rasannya enak tempatnya nyan 👍☺😊😀 …,5
,,2 tahun lalu,Andien Icha,-,5 ulasan,Kurang puas..pelayanan dan rasa..,1
,,4 tahun lalu,FAMS 22,Local Guide,77 ulasan,bakso nya mantap,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
,,3 tahun lalu,julianto vh,,,,5
