PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Barley and Barrel,,,,,,,
,https://www.google.com/maps/search/Barley and Barrel jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 bulan lalu,wijoe Naruko,-,5 ulasan,"Tempat yang enak, nyaman, bersih dan juga makanan & minumanya yang super enak, ditambah lagi dengan live musik dan DJ super mantap. Tak lupa juga dengan pelayanannya yang sangat ramah.
Super Komplit & Mantap.
Terimakasih Barley & Barrel Beer Garden",5
,,5 bulan lalu,Ganik Rahmawati,-,6 ulasan,"Kalau bikin acara pasti kesini. Tempat bagus makanan enak, live music, dj. Lengkap pokoknya love banget barley n barrel niee..🥰 …",5
,,5 bulan lalu,august dhianto,-,28 ulasan,"Tempat keren banget,
Makanan minumnya jg mantap, endez
Staff nya jg ramah, friendly bgt.",5
,,5 bulan lalu,Naelendra Wibisono,-,1 ulasan,"Tempatnya  cozy bgd,asik buat hang out sama temen2 ato berdua sama soulmate nya,,,,hahahaha,Dont forget ,bagi kalian yg di Jogja silahkan datang aja di barrel n barley artotel suite bianti Jogjakarta",5
,,5 bulan lalu,Bagus Tri Waskito,-,1 ulasan,"Great and cozy place, tempat yg cocok buat hangout bareng temen. Live music dengan sound yg smooth juga makanan dan minuman yang enak2, overall great place and services is excellent",5
,,5 bulan lalu,Cornelia Natalia,-,3 ulasan,"Tempatnya seru & nyaman untuk bersantai, kumpul sm teman2, live music & DJnya seru tiap malam. Asik juga utk bikin acara di Barley & Barrel. Servicenya bagus, staffnya friendly & tempatnya bersih banget. Suka banget di Barley & Barrel 🫰🏻 …",5
,,5 bulan lalu,DEDEK GIGIN FAIZIN,-,2 ulasan,"Tempat nongkrong yg asikkk dengan konsep yg kekinian,
ada live music live DJ
karyawan ramah, makanan enakk terbaik lah pokok nya",5
,,5 bulan lalu,rose wuland,Local Guide,10 ulasan,"Seru ada live musik dan DJ nya,,cocok buat party dan banyak spot yg instagramable,, lokasinya jga strategis di tengah pusat kota 👍 …",5
,,5 bulan lalu,putri besdan,Local Guide,16 ulasan,"Tempat nya seru buat nongkrong , ada live music🤩 ,  makanan dan minuman nya enak2🤤.
Staff nya ramah 😊 …",5
,,5 bulan lalu,Putri Sugiarti,-,3 ulasan,"Tempat nongkrong asik di jogja,,
Staff nya ramah mkanan n minumannya enak,,, 👌 …",5
,,5 bulan lalu,Indra Gunawan,-,3 ulasan,Tempat nongki baru diyogya yg sayang kalau belum nyoba kesini..good konsep n service 👏👏👏 …,5
,,5 bulan lalu,Rani Rani,-,1 ulasan,Staff ramah pelayanannya bagus ....tempatnya cozy bikin betah berlama lama disini ..wajib kesini kalau ke jogja 😍😍😍 …,5
,,5 bulan lalu,Dewi Putriandini,-,3 ulasan,"Tempat nya bagus, makanannya enak, nyaman cocok buat refreshing 🥳🥳🥳🥳🥳 …",5
,,5 bulan lalu,Sripit Jiawanti,-,1 ulasan,tempat yang asyik dan gokil buat nongkrong malem” sambil nikmatin live music,5
,,5 bulan lalu,hermawan romy,-,2 ulasan,"Nongkrongan favorite.....Live musik, DJ, food, baverage, pokoknya paket lengkap",5
,,5 bulan lalu,Dedi Nurcahyo,-,2 ulasan,tempat dan pelayananya bikin candu. . hemm mantàpppp.,5
,,5 bulan lalu,nur ahkmad,-,3 ulasan,Tempat nongkrong asik di temani live musik,5
,,5 bulan lalu,Abdull Rosid,-,3 ulasan,Tempat nongki asyiik...mantaaP,5
,,5 bulan lalu,Kartini T. Baskoro,-,2 ulasan,"Tempat yang bagus untuk hang out, berkumpul dengan teman atau kencan keluarga. Suasana yang bagus dengan pertunjukan musik live.

Pilihan terbaik untuk minuman dengan makanan yang luar biasa .. sangat direkomendasikan !!!",5
,,5 bulan lalu,David Villarreal,-,10 ulasan,Suasana luar biasa dan makanan enak! Saya juga sangat suka pilihan bir mereka?,5
,,3 minggu lalu,わたなべかな,-,1 ulasan,"Ada beberapa toko di Yogyakarta di mana Anda dapat minum alkohol, tetapi staf di sini baik dan harganya murah mengingat itu melekat pada hotel. Sangat santai dan suasananya sempurna. Bir pada dasarnya adalah botol dan kaleng, tetapi jika Anda bertanya, mereka akan memasukkannya ke dalam cangkir kecil. Mugnya juga dingin dan gigitan pertama adalah rasa terbaik.",5
,,3 bulan lalu,Veronika Tjahyadi,Local Guide,120 ulasan,"Mereka menyajikan berbagai produk berkualitas baik, salah satu bar terbaik di yogya !!!",5
