PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Basecamp Coffe  Eatery,,,,,,,
,https://www.google.com/maps/place/BASECAMP+OX%27CART/data=!4m7!3m6!1s0x2e7a590fa3b74127:0xc18d57de984fbc1e!8m2!3d-7.7793097!4d110.3639504!16s%2Fg%2F11fnnfy_ws!19sChIJJ0G3ow9Zei4RHrxPmN5XjcE?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,oxcart tour jogja,-,1 ulasan,mantap terima kasih sudah berkunjung di tempat basecamp kami,5
,,3 tahun lalu,Bangkit Pradana Atmaja,Local Guide,566 ulasan,"Enak buat nongkrong, tempat luas",3
,,3 tahun lalu,Joe Abiyoza,Local Guide,35 ulasan,Dari basecamp ini saya belajar persahabatan...semoga makin lancar buat mas mase ... Gasssssss semangat,5
,,3 tahun lalu,Hadi Dp Josh,-,4 ulasan,Seep pake telor...lebih seep kite molor..🤭🙏 …,5
,,3 tahun lalu,Dika Dhafin,Local Guide,15 ulasan,Tempat nongki para driver online,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
,,3 tahun lalu,Epifani Dudik,,,,5
