PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Beukenhof Restaurant,,,,,,,
,https://www.google.com/maps/search/Beukenhof Restaurant jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 minggu lalu,Mariama Oktavia Nainggolan,Local Guide,8 ulasan,"Gak ada masalah pake google map. Tempatnya satu area gitu dgn Museum Ullen Sentalu. Makanan cenderung kering dan agak keras, sauce n condimentnya kurang. Harga sedikit di atas rata2. Kayaknya kekurangan karyawan krna lama banget baru makanan n minumannya datang. Kalo mau datang baiknya jangan pas jam makan siang. Susah nyari tempat.
Terlepas dr food nya yg standar, ambience dan tempatnya cakep, adem, cantik buat foto2 juga. Serasa ada hawa2 mistis jg 🙂",4
,,5 bulan lalu,Dida Saraswati,Local Guide,79 ulasan,"Tempatnya sangat indah, baik dari lingkungan sekitar maupun desain bangunan. Untuk pelayanan sebaiknya ditingkatkan lagi terutama kalau ada tamu datang sebaiknya lebih gesit dalam menyambut & mengarahkan tamu ke tempat duduk yg kosong lalu mencatat menu yg dipesan. Ke sini pesan nasi goreng omelet & chicken rolade soup. Untuk nasi gorengnya bener-bener enak dari rasa & aromanya jadi ini sangat direkomendasikan buat yg pengen nyoba menu apa tapi bingung. Sayangnya untuk soup yang agak kurang dengan harga yg pricey tapi tidak sebanding dengan isian sayurannya yang sangat sedikit, kalau untuk chicken roladenya oke sih.",4
,,5 bulan lalu,Abdul Razzaq,Local Guide,214 ulasan,"Beukenhof Restaurant menyajikan makanan ala barat dengan arsitektur ala belanda kuno. Sengaja berada di tengah museum Ullen Sentallu, restoran ini menjadi sajian pamungkas setelah kenyang dengan sejarah-sejarah yang dipaparkan selama tur dalam museum, entah ada yg memilih tur 1 jam atau yg 45 menit.

Sajiannya tidak nanggung. Saya pesan tuna steak yang menurut saya cukup enak dan rasanya seperti makan beef steak. Sayur dan mash potatoesnya cukup fresh dan bikin kenyang, ngga nanggung. Tapi tentu saja tidak hadir denga harga murah. Minimal harus merogoh kocek di 40 ribu untuk dapat kenyang. Meski begitu, sayang untuk dilewatkan apalagi bagi turis domestik seperti saya yang jauh-jauh ke dekat Merapi hanya untuk bermain dan foto-foto di museum saja.",5
,,2 bulan lalu,Cahyo Kuncono,Local Guide,149 ulasan,"Buat yang mau ke resto ini langsung masuk lewat jalan di sebelah museum +/- 250 meter (gak perlu beli tiket). Suasananya seperti rumah belanda jaman dulu, asri dan dingin, bagi yang membawa kendaraan roda dua siapkan jas hujan karena disini sering hujan tiba-tiba.

Makanannya enak, bersih, harga masih affordable namun perlu improve buat sayurannya agar lebih menarik mungkin bisa ganti timun dengan avocado, cheesecake lebih soft lagi agar saat dipotong tidak kesusahan, untuk steak tuna jangan overcook agar saat dipotong tidak keras, kentangnya juga bisa dibuat variasi seperti mashed potato.",5
,,7 bulan lalu,Harits,Local Guide,601 ulasan,"Restoran dengan nuansa belanda yang berada di dalam area Ullen Sentalu. Disini suasana nya tenang dengan gaya restoran seperti di belanda, ada unsur2 lawas nya gitu deh. Untuk harga makanan disini lumayan pricey yah, jelas karena lokasi berada di dalam lokasi Ullen Sentalu, dan dengan konsep belanda gitu. Untuk makanan nya saya pesan Lasagna sama Spaghetti gitu, untuk rasanya enak semua kok, penyajian nya juga bagus. Disini yang menjual itu suasana dan kenyamanan nya, tapi sayang kemarin saya kurang dilayani dengan baik, harus nya pelayanan melayani pesanan saya di meja tetapi ini saya harus ke meja kasir untuk menaruh pesanan. Saya minta seat outdoor malah disuruh kedalam, padahal seat outdoor masih ada yang kosong. Ya gapapa lah, bisa buat pelajaran kedepan nya.",5
,,3 bulan lalu,Rizky D. Novyantika,Local Guide,112 ulasan,"so happy, akhirnya cobain beukenhof! setelah menjadi wishlist udah lama wheheh. kesini buat makan dan chill sambil baca buku bener-bener mendukung banget. cumaa sebenernya weekend kayaknya ga begitu oke kalau mau lama-lama karena rame banget.

kebetulan kesini pagi-pagi, jadi masih ngerasain tenangnya suasana pagi di Beukenhof. makanannya surprisingly enaaaak! dan tidak mengecewakan sama sekali, definitely will be back ❤️",5
,,10 bulan lalu,NINA KORDA,Local Guide,547 ulasan,"Enak2 masakannya n menarik, suasana nya enak bangt vibes so western. Ditunjang hawa yg sangat sejuk di kaliurang. Rekomen bg yg suka western food, harga y emg rada mahal sih… pelayanan n tata ruang baik. Ada butiknya di sebelahnya ok lho cantik2 brgnya… hrg wajar. Asesorisnya emang mahal batu asli impor. Batik n kaosnya hrg normal. Ukuran kecil n besar ada jd bg yg bdnnya kecil bs dpt ukrn pas d situ heheee….",5
,,setahun lalu,Chadijah Aljufri,Local Guide,168 ulasan,"Setelah keliling museum saya sempatkan mampir dan makan di beukenhof restaurant. Suasananya seperti ada di luar negeri! Udaranya sejuk, interiornya bagus. Menu makanannya ada yang nusantara dan barat. Saya kira tempat sebagus ini pasti harga makannya mahal-mahal, tapi ternyata ngga juga! Saya pengen sih balik lagi kesini.. staffnya juga ramah-ramah.",5
,,6 bulan lalu,Admin Tanggal Gajian,Local Guide,17 ulasan,"Menikmati tanggal gajian dengan:
museum date sama kesayangan ✅
ngafe estetik ✅

Semua bisa dilakuin di Ullen Sentalu 🤍 Di dalemnya ga cuma museumnya aja yang bagus, tapi ada Beukenhof Restaurant yang bangunannya juga cakeup bener.

Kalo menurut admin di antara yang dipesen sih paling enak Cordon Bleu (78K) sama Chicken Wellington (78K). Yang Chicken Wellington kemarin sempet minta ganti sausnya (karna kalo ga salah sbenernya ada alkohol deh, agak lupa juga). Chicken Pesto Spaghetti (58K) juga lumayann, kalo spaghetti nya lebih suka yg ini daripada yang di Cordon Bleu. Sedangkan kalo Asam Daging (61K)  kemarin rasanya kurang strong dan dagingnya dikit sihh. Kalo Cheesy Kroket (32K) nya masih oke lahh walau sebenernya ada ekspektasi lebih hehe.

Overall, semua rasanya masih okay dan porsinya bukan yang ngenyangin banget buat perut karet kita wkwk. Harganya juga cukup pricey, tapi harganya emang cukup masuk akal sih buat tempat wisata Ullen Sentalu.

📍: Beukenhof Restaurant",4
,,6 bulan lalu,Latifa Alif Agwinda,Local Guide,43 ulasan,"Suasana resto menyenangkan, bangunan seperti masa kolonial. Makanan enak, minuman enak, harga lumayan pricey mungkin karna masih di area museum tp wroth dg rasanya 👍

Pelayanan 3 dari 5, jutek banget, apa memang di ajarin seperti itu ya? Naruh makanan juga di tumpuk di satu sisi 😅
Padahal tour guide n resepsionis di museum ini ramah dan helpfull sekali",4
,,setahun lalu,Febby Diana Wijaya,Local Guide,155 ulasan,"Restoran dengan menu eropa khusunya belanda yang terletak di lokasi yang sama museum ullen sentalu, tempatnya bagus, kesannya eropa banget, untuk menunya ada pasta, meatball dan sosis,
Untuk harga cukup pricey ya, untuk rasa lumayan, tp kecewa dengan menu sosisnya yang merupakan menu signature, makanan yang datang tidak sesuai dengan deskripsi menu yang di tampilkan,",4
,,2 minggu lalu,Agung,Local Guide,69 ulasan,"Bentuk bangunan dan interiornya yang bernuansa klasik, serta tumbuhan hijau yang tumbuh rimbun di sekitarnya menciptakan suasana yang nyaman dan menenangkan.
Untuk hidangannya overall enaaakk, cuma ada sedikit kekurangan.
Chicken florentine: sauce dan spinach nya enak banget, tapi daging ayamnya terlalu kering jadi agak keras.
Beef medallion: dagingnya empuk dan juicy, mashed potato lembut, tapi porsi sauce terlalu sedikit padahal rasa sauce nya enak banget.",4
,,7 bulan lalu,Yohna fortinatus,Local Guide,1.448 ulasan,"Tempat bagus
Nyaman adem

Sayang plating beberapa makanan terkesan kurang menarik dan biasa saja utk harga yang tidak murah

Mungkin bisa lebih effort lagi penataanya
Jadi harga makanan yang tinggi nilainya sepadan dengan tampilanya",3
,,4 bulan lalu,Aviga Juliandana,Local Guide,156 ulasan,"Tempat sangat nyaman, cocok banget buat couple candle light dinner. Makanannya enak banget terutama dessert choco lava is ter luvvv. So recommended!!🫶🏻🫶🏻",5
,,3 bulan lalu,Rose Tambunan,Local Guide,26 ulasan,"Ini adalah kedatangan saya yang ke 2x. Bagi saya resto Beukenhof temoatnya cozy banget untk makan sekalian refreshing, tempatnya artistik banget bangunan kuno dengan interior dominan kayu jati serta penyajian makanan yang epic, pegawai yang rapi dan sopan serta menu yg lezat, dan hutan yang lebat membuat udara fresh semua menyenagkan.",5
,,7 bulan lalu,Afni TP,Local Guide,24 ulasan,"Tempat bagus. Makanan enak. Service ok. Tapi sayang, satpam tidak ramah. Kami baru foto-foto sebentar sebelum masuk ke resto tapi malah dimarah-marahin. Jadi bintang 3 dulu deh.",3
,,4 bulan lalu,Carmenita Aurelia,Local Guide,119 ulasan,"Kesini dengan keluarga karena satu lokasi dengan museun ulun sentalu, untuk menu yang dihidangkan berbau klasik eropa seperti sosis dsb.
Kelebihan:
1. Tempat nyaman
2. Pelayanan ramah
3. Tersedia parkir yang cukup luas
4. Instagramable
Kekurangan:
1. Makanan tidak seenak ekspetasi, pesan cordon bleu dagingnya agak keras
2. Tidak tersedia kamar mandi di area makan harus turun terlebih dahulu
3. Salah satu menu tidak dihidangkan entah karena lupa atau tidak tercatat",3
,,7 bulan lalu,Restiana Widiawati,Local Guide,34 ulasan,"Kalau lg ke museum ullen sentalu wajib banget makan disini.
Menurutku tempat da suasananya nyaman, rasa makanannya juga enak. Harganya pun standart, nggak yg mahal banget
Mbak2 pelayannya juga ramah2",5
,,3 minggu lalu,Amalia Rachel,Local Guide,175 ulasan,"Kepengen kesini udah dari lama banget baru sempet kesitu beberapa hari ini, kemaren juga rame banget jadi waiting list, cordon blue nya oke bukan yang wow enak banget gitu trus pisang caramelnya enak begete, harganya ya gak murah tapi gak yang mahal banget juga jadi masih aman, tempatnya sejuk enak nyaman tenang",5
,,5 bulan lalu,Dian Pandayin,Local Guide,331 ulasan,"Resto berada di pintu keluar Ullen Sentalu. Hawanya sejuk khas Kaliurang, cocok untuk makan sore dan tipe pengunjungnya pun bukan yang berisik. Menurut saya perlu ditambah pegawai karena terlihat sedikit kerepotan apabila pengunjungnya banyak.",3
,,setahun lalu,kamelia rizal,Local Guide,50 ulasan,Tempat ok untuk having lunch setelah jalan2 di museum ullen sentalu. Tempatnya cozy banget. Makanan nya juga enak,5
,,sebulan lalu,Alde Dyanrini,Local Guide,41 ulasan,"One of bucket list jogja, waktu saya dan suami ikut tur adiluwung di ullen sentalu, anak anak dan orang tua stay di restaurant ini makan dan minum cantik, menu makannya so so, bukan yang enak dan bukan juga yang ga enak, tapi viewnya memang cantik sekali.",4
,,11 bulan lalu,onto seno,Local Guide,504 ulasan,"Tempatnya bagus berasa di kastil tua, interiornya vintage, udara cukup sejuk, nyaman. Pelayanan sangat baik, menjelang last order pun masih mau melayani. Rasa makanannya cukup enak, harga sesuai. Parkiran saat ini agak jauh, anggap saja sambil olahraga ringan, menikmati udara sejuk pegunungan.",4
,,4 bulan lalu,Mulya Fitranda AR,Local Guide,43 ulasan,"Restoran yang nyaman untuk makan bersama keluarga setelah museum tour, harga yang affordable",5
,,5 bulan lalu,Meinetri,Local Guide,77 ulasan,"Ke sini pas awal November, untung lagi sepi. Pelayanan oke, tempatnya juga bagus buat foto-foto.",5
