PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Boba Time Karang Malang  UNY,,,,,,,
,https://www.google.com/maps/search/Boba Time Karang Malang  UNY jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Nur Pancha Putra Batubara (Pancha Batubara),Local Guide,242 ulasan,"Salah satu boba yang lagi viral dan banyak cabangnya di Jogja. Cabangnya yang di depan GOR UNY ini cukup ramai, udah enak murah lagi, mulai 6.000 udah dapat porsi besarnya dan variannya cukup banyak.",5
,,7 bulan lalu,Narissara Chailai,Local Guide,158 ulasan,"Beli boba disini take away yg rasa brown suger,bener2 mengecewakan.
Rasanya kurang manis,banyak bgt es batunya.
Ukuran bobanya kecil,sedikit dan ga manis jg.
Apa sekarang semua cabang boba time menurun kualitasnya??
karena beli di outlet lain pun jg sama ga puasnya.",1
,,setahun lalu,DAIM official,Local Guide,30 ulasan,"Kasir wanita kurang ramah. Dan gak enak banget wajahnya saat kerja. Kalau memang gak niat kerja gak usah kerja. Kasihan resto dan pemiliknya yg akan rugi dengan ulah kinerja kamu. Untuk kariyawan gak pakai name take. Ciri"" pendek sedikit gemuk. Jadi bikin kapok beli di sini. Padahal kios boba yg lain gak seperti ini karyawanya. Mending segera di tindak lanjut lah buat manager dll... Terimakasih 🙏🙏🙏",1
,,setahun lalu,Sun Flower,Local Guide,29 ulasan,Sejak 2021 ampe 2022 beli disini pasti ga dikasih struk kan bikin curiga gitu,1
,,2 tahun lalu,Rina Mumtahanah,Local Guide,206 ulasan,"Cuman bisa take away aja, harganya murahh",4
,,2 tahun lalu,Wibisono Yudhi Kurniawan,Local Guide,100 ulasan,"wagelasih ini ada minuman Boba Time mulai dari 6.500 aja.. gak percaya? silahkan dicoba.. untuk rasa, gak usah nanya.. jelas enak lah.. aku sendiri aja heran harga segitu bisa dapet minuman Boba seenak itu.. recommend deh, selamat mencoba!",5
,,7 bulan lalu,Mahardhika Putra Pratama,Local Guide,29 ulasan,"Rasa coklatnya asam, beda sama di gambar display grab.",1
,,2 tahun lalu,ginanjar wicaksono,-,1 ulasan,"Minuman boba yang lagi hits, pelayanan ramah dan cepat, tempat bersih, lokasi mudah dijangkau. recomended nih. silahkan kakak merapat cobain deh boba terenak jaman now. harga standar minuman boba pada umumnya.",5
,,setahun lalu,Hanya Mitra,-,19 ulasan,"Pantes sepi, pembeli datang, uda ngejogrok depan kaca juga, pelayannya sok sibuk, uda ngeliat juga diem aja, bukannya dilayanin,",1
,,11 bulan lalu,Lala Festa,-,4 ulasan,Mohon manajernya segera melakukan peninjauan terhadap hospitality karyawan agar bisa melayani customer lebih baik lagi..,1
,,5 bulan lalu,Bela Octavianasari,-,3 ulasan,karyawannya ga niat,1
,,setahun lalu,Latifah Charisma,-,1 ulasan,Pesen lewat grab yang ada popping bobanya pas sampe gaada poppingnya agak kesel sih tapi yaudah gakppa,3
,,setahun lalu,Angga aryabewi,Local Guide,87 ulasan,"Jelas ada antrian ojol.. Sesama Karyawan  kerja mlah pada becandaan.

.",2
,,10 bulan lalu,marcel nernere,Local Guide,27 ulasan,Sayang tidak ada cashback 😢 …,3
,,2 tahun lalu,Andry S,-,20 ulasan,"Tempat strategis, depan GOR UNY persis..pelayanan cepat dan ramah..dari rasa mantap, 4 jempoll",5
,,2 tahun lalu,Die Amalia,-,4 ulasan,"Outletnya bagus, strategis, rasanya sll enak, pas di lidaahhhh.. fav brown sugar😍 …",5
,,2 tahun lalu,Elza S P,Local Guide,30 ulasan,"Tempatnya kecil, antrenya kadang banyak. Tp bobatime tdk pernah salah✨",4
,,2 tahun lalu,Sandro Maulin,Local Guide,39 ulasan,Topping nya pelit...,3
,,2 tahun lalu,Dian Rizqita Ecoprint 1967,-,10 ulasan,"Tempatnya strategis, rasanya pas, mantab",5
,,2 tahun lalu,umi salamah,-,3 ulasan,rasa luar biasa dengan harga terjangkau..,5
,,setahun lalu,Tiara Sinta,-,3 ulasan,Mbak2nya nggak ramah.,1
,,5 bulan lalu,Aryo Hartanto Wibowo,Local Guide,258 ulasan,Mantulll endulita,5
,,10 bulan lalu,prmdy,-,2 ulasan,Pelayanan lama,1
,,setahun lalu,Diaz Radityo,Local Guide,133 ulasan,Segar dan murah,5
,,2 tahun lalu,I M,Local Guide,267 ulasan,dekat kampus,5
