PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Bukit PP,,,,,,,
,https://www.google.com/maps/place/Bukit+%22PP%22/data=!4m7!3m6!1s0x2e7bab277c9bfc29:0xe3894e08ce518e96!8m2!3d-8.025235!4d110.3395309!16s%2Fg%2F11ghnfhnqm!19sChIJKfybfCerey4Rlo5RzghOieM?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Dream Night,Local Guide,212 ulasan,"Bagi kalian yg ingin healing di pantai, melepas penat setelah semingguan dikejar-kejar dc mungkin saatnya inilah untuk rehat sejenak biar jantung ga gampang copot. Anda bisa datang kesini pesan es degan sambil istigfar atas penderitaan hidup yg semakin berat. Kalau kalian datang kesini jangan tanya miayam, karena belum tersedia disini. Tempatnya bagus. Arah barat menghadap sawah dan arah selatan menghadap laut, arah utara menghadap hijau nya bukit serta arah belakang menghadap masalalu.  Kalau ingin merogoh kocek dikit bisa ke selatan dikit untuk main ke hotel Queen of the south...",5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
,,9 bulan lalu,Via Ades,Local Guide,1 ulasan,Asik pemandangan laut ada karaoke dan penginapan,5
