PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Cafe Jamu Lumbung,,,,,,,
,https://www.google.com/maps/place/Cafe+Jamu+Lumbung/data=!4m7!3m6!1s0x2e7a5ae1eb3ab887:0x50494562c1ba816b!8m2!3d-7.7501541!4d110.4943058!16s%2Fg%2F11f3n3x660!19sChIJh7g66-Faei4Ra4G6wWJFSVA?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 tahun lalu,Trisno Ary Budi,-,1.374 ulasan,"Setelah lelah mengunjungi Candi , mampir ke sini dulu minum jamu sambil istirahat.
Letak cafe jamu nya masih dalam komplek candi sebelum pintu keluar.
Sedia aneka jamu godhog yang disajikan hangat.
Mungkin ditambah lagi menu cemilannya supaya bisa nyemil dulu sehabis minum jamu.",3
,,3 tahun lalu,Fitri ana,Local Guide,469 ulasan,"Tempatnya nyaman untuk istirahat. Selain jamu Disini tersedia berbagai macam kudapan seperti surabi solo, puthu ayu, jenang. Kebetulan nyoba kunir asem, manteb rasanya",4
,,5 tahun lalu,Muzakkir Husain,Local Guide,325 ulasan,"Posisinya strategis, lingkungannya nyaman untuk mengaso setelah keluar dari Candi. Hanya saja menunya memang masih terbatas. Meski spesialis Jamu seharusnya penganan tradisional seperti tempe goreng dlsb layak ditawarkan. Pelayannya juga harus ditatar, ketika ditanya tanaman apa yg dibuat utk jenis2 jamu yg ada, jawabannya ""Ndak.tahu"". Lha???",3
,,4 tahun lalu,Faris Adi Prasetyo,Local Guide,33 ulasan,Pilihan tepat untuk istirahat di candi prambanan,5
,,4 tahun lalu,Bintoro Nurwidodo,Local Guide,415 ulasan,Lumayan enak rasanya. Ada beras kencur. Pegel linu dll,3
,,4 tahun lalu,Sapiderman Lumpat,Local Guide,411 ulasan,"Nikmati es jamu dengan background Candi Prambanan yang cantik.

Harga : 4/5 hanya Rp10.000 per cangkir.
Suasana: 5/5 sejuk dan berangin
Layanan: 3/5 ramah tenang
Kursi : 3/5 cukup bersahabat

Direkomendasikan : Jamu es setelah sore di sekitar candi sangat menyegarkan.",4
,,3 tahun lalu,_Sidha Rahardi_,,,,4
,,3 tahun lalu,Kasnadi Adi,,,,4
,,4 tahun lalu,Sri Karjanti,,,,4
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
,,3 tahun lalu,Ips Circle,,,,3
