PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Cafe Phewee,,,,,,,
,https://www.google.com/maps/place/POENOKAWAN+CAFE+RESTO+%26+GALLERY/data=!4m7!3m6!1s0x2e7a57bcead5fd8d:0xcb52615aa04753d2!8m2!3d-7.80154!4d110.3603373!16s%2Fg%2F11ry7lbwhk!19sChIJjf3V6rxXei4R0lNHoFphUss?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,ayu lumintang,Local Guide,26 ulasan,"Tempat sangat nyaman untuk nongkrong, dengan suasana yang sangat tenang.
Dan lagi instagramable untuk yang suka foto2 konsep jawa.
Untuk harga menu makanan juga tidak terlalu mahal. Pelayan sangat ramah, anw untuk kopi poenakawannya rekomended buat pencinta kopi ya.",5
,,5 bulan lalu,Lina Maharani,Local Guide,206 ulasan,"Tempatnya jadi satu kompleks dengan perkantoran dan masjid. Jadi agak susah nemuin kalo baru pertama.

Menu²nya masakan Indonesia khususnya jawa. Harganya cukup mahal untuk makanan dan minuman Jawa ya.

Kemarin pesan kopi jahe, nasi campur, nasi goreng sm jagung bakar. Overall enak cuma nasinya tuh kurang pas. Yang untuk nasi goreng nasinya ada yg terlalu empuk jadinya lengket ngga blend. Sedangkan nasi campur nya juga nasinya terlalu empuk jadi agak susah mau makannya. Lauknya juga rada bingung match nya gimana kaya kurang nyambung gitu satu dgn yg lainnya.

Semoga lain waktu diperbaiki.",3
,,10 bulan lalu,Sutrisno Muhamad Noor,Local Guide,37 ulasan,"Bangunan restorannya dibangun sejak zaman Belanda, pemiliknya adalah Putri dari Sri Sultan. Ketika saya datang, hari Sabtu kemarin, sedang ada gallery sejarah Jogjakarta dan live band dimulai jam 20:30.

Makanannya cocok, ambience-nya saya suka, jika boleh memberikan saran, tambahkan lagi menu makanan lokal yang menunjukkan ciri khas Jogjakarta.",5
,,3 bulan lalu,ilsya,Local Guide,70 ulasan,"(+) Samping masjid, Suasanya dsni lebih tenang, karena pilihan room atau mejanya nya banyak dah luas, servicenya bagus banget, baik dan ramah.
Foodnya so so, tapi worth it, ada paketan menu juga.",5
,,setahun lalu,Alifia Afianti,Local Guide,129 ulasan,"Suka makan disini. Tempatnya bagus banget, ada banyak pilihan duduk mau indoor atau outdoor, rasa makanan & minumannya enak-enak, pelayanan staffnya juga baik~",5
,,seminggu lalu,Asdani Kindarto,Local Guide,168 ulasan,"Tempatnya asyik dan nyaman, serta luas. Parkir luas, ada masjid besar juga di halamannya. Toilet bersih dan bersuasana retro. Cocok untuk foto-foto dan ngobrol. Untuk pelayanan oke, kecepatan pelayanan lumayan, pegawai ramah. Untuk harga agak tinggi standarnya. Untuk rasa lumayan sih, kalau enak banget sepertinya masih belum.",5
,,11 bulan lalu,Retno Woro,Local Guide,455 ulasan,Masakan enak pelayanan ramah parkir luas dekat masjid ...ada area indoor n outdoor juga cuzz cobain #letsguide,5
,,setahun lalu,Ardy Murdianto,Local Guide,17 ulasan,"Pas dateng suasana sepi jadi kayak privat group.
Suasanya nyaman..
Makanan lumayan",5
,,2 bulan lalu,Elis Kumara Djati,Local Guide,101 ulasan,Selama 2 hari tanggal 11 - 12 Maret bersama Dinas Koperasi Dan UKM DIY dan teman - teman UKM juga para Narasumber yang handal dalam acara Bimtek.,5
,,setahun lalu,Afina Rista,Local Guide,17 ulasan,"Tempatnya bagus, instagramable, enak buat ngadem di jogja yang panas. Cuman untuk makanan sama minumannya biasa aja",4
,,3 bulan lalu,Sifa Alfaresa,Local Guide,114 ulasan,Sejujurnya saya cuma numpang parkir untuk sholat di masjidnya.  Tapi dari luar tampaknya menarik. Hmm boleh deh kapan kapan dicoba,5
,,4 bulan lalu,Yosephin Diva Fabiola Nuralita,Local Guide,27 ulasan,"Tempat yang nyaman dan cukup rindang. Menunya banyak, suasananya jogja bgt. Makanan dan minumannya enak semua.",5
,,setahun lalu,Oktavia Risti,-,7 ulasan,"Tempatnya estetik, bangunan bergaya kraton yg dihiasi ornamen modern.. masakan enak",5
,,11 bulan lalu,Untung Tri Pamungkas,Local Guide,24 ulasan,Tempatnya sangat nyaman dengan arsitektur rumah jaman dahulu,5
,,3 bulan lalu,Anditya Candra,Local Guide,109 ulasan,"Tempatnya asri, makanan cukup pricey. Tapi recommended buat nugas atau nongkrong.",4
,,setahun lalu,"Suadi, Mr.",Local Guide,303 ulasan,Tempatnya bagus dan merupakan bangunan lama ala kraton. Parkirnya luas. Kopi dan gorengannya oke. Selamat mencoba,5
,,8 bulan lalu,Argia 3247,Local Guide,60 ulasan,"Snack nya lumayan sih daripada minumanannya yg kurang menurutku. Pesen wedang jahe sereh, harusnya kan jahe sereh gula jawa direbus bareng2, tapi disini dapet teh yg cuma digeprek jahe sama sereh, jadi rasanya ga nyatu. Minuman yg dingin juga ga manis, tapi disediain gulanya cuma gula pasir & brown sugar. Harusnya kan disediakan gula cair juga krn susah larut.. semoga lebih baik kedepannya karena harganya untuk ukuran jogja ga murah tapi tidak sepadan dengan rasanya. Oia, harga siang dan malam juga beda, lebih murah kalau jam 19.00 ke atas",3
,,setahun lalu,ARMs Bonds,Local Guide,70 ulasan,"Tempatnya bagus, luas. Menunya ga terlalu banyak tapi cukup dan enak.",4
,,3 bulan lalu,Mega,Local Guide,22 ulasan,"Atmosferenya menggambarkan 'Jogja banget', nyaman, ada indoor dan outdoornya",5
,,5 bulan lalu,Herodian Kandung asmara,Local Guide,249 ulasan,Tempat ngopi dipusat kota yogya yg lumayan nyaman pelayan cukup bagus ramah,4
,,sebulan lalu,bakhtiar az,Local Guide,428 ulasan,"Rekomended.... ada masjidnya juga, parkir cukup lapang",5
,,7 bulan lalu,Ivo Artha,Local Guide,39 ulasan,"Cozy, aesthetic, and Loveable place. Kalo malam seru bgt suasanya✨ makanannya juga enakk, unik dan harganya still good 😄and last but not least ada live music nyaa dongg 👌 …",5
