PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Chadis Rooftop Bar,,,,,,,
,https://www.google.com/maps/search/Chadis Rooftop Bar jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Ariyasa Made,Local Guide,75 ulasan,"Salah satu tempat nongkrong yang asik,  santai tapi berkelas. Terletak di lantai 10 Swissbel boutiq hotel,  dengan sky view dan kolam renang. Dengan layanan bintang 5, pengunjung bisa menikmati suasana malam yang meriah dengan hiburan live music,  DJ,  dan dancer,  dengan lampu2 sorotnya.  Food & beverage nya lengkap,  & berkualitas. Ada fasilita spa,  di sebelah kolam renang... Jadi fasilitasnya lengkap dan berkelas.",4
,,4 tahun lalu,mnaufalf,Local Guide,29 ulasan,"Rooftop bar tertinggi di jalan jendral sudirman Kota Yogyakarta.

Tempat yang sangat nyaman untuk bersantai bersama teman, pasangan, dan keluarga.
Dengan live music yang sangat asik dan bisa merequest lagu kepada penyanyi dan setiap malam ada DJ perform.

Untuk menu
Sangat banyak pilihan
Berikut adalah menu minuman yang pernah saya minum",5
,,3 tahun lalu,puji astuti,Local Guide,28 ulasan,"Rekomen dech kalau mau nyari t4 asik buat ngobrol2 bersama keluarga,teman, sahabat bahkan pacar...😅...view kota jogja dimalam hari jadi menambah cantiik.. …",5
,,5 tahun lalu,Andriawan,Local Guide,153 ulasan,"Cafe ini menyediakan pemandangan indah kota Yogyakarta. Berada di hotel Swiss-bel boutique Yogyakarta.
Menyediakan berbagai macam menu makan dan minuman.",5
,,5 tahun lalu,Alfareno Setia Abadi,Local Guide,75 ulasan,Tempatnya nyaman dan bagus buat nongkrong yg mau melihat suasana kota jogja malam hari,4
,,4 tahun lalu,luis endrayana (luisevildoer),Local Guide,187 ulasan,"Ga terlalu rame, ada live music juga
Kalau berharap rooftop yg langsung liat ke langit bukan disini
Ada indoor ada yg outdoor di pinggir poolnya
Pelayanan ramah, harga lumayan
Pilihan menu juga banyak
Recommended lah klo mo dinner sama pasangan ato sekedar seru2an bareng temen, sapa tau mau nyanyi juga dibolehin",5
,,5 tahun lalu,Retno Woro,Local Guide,455 ulasan,Tempat nya oke buat nongkrong n party 😍 menu nya oke punya ....n good view at night …,5
,,3 tahun lalu,DJUNOT MAHANAIM,-,18 ulasan,Viewnya keren. live music tiap hari keren. Makanan dan minuman enak semua.,5
,,4 tahun lalu,Eci Westi,Local Guide,18 ulasan,"Viewnya cukup bagus, dan juga tempatnya pas untuk pertemuan dengan jumlah orang yang sedikit 👌 …",5
,,4 tahun lalu,Mas bosco,Local Guide,33 ulasan,"Tempat yang cozzy buat bikin appointment dengan rekan bisnis atau hanya sekedar nongkrong. Live band keren, kualitas bukan receh dan interaktif. View saat sore hari keren. Bs lihat sunset jika cuaca cerah. Waiter/waitress helpfull dan ramah.",5
,,4 tahun lalu,Dodie Satrio Wibowo,Local Guide,233 ulasan,"Tempat yang asyik untuk relax. Setiap malam ada live music yang bisa kita nikmati. Band yang tampil bagus-bagus. Sambil kita bisa menikmati menu-menu makanan andalan dari Swiss-Belboutique, Yogyakarta.",5
,,2 tahun lalu,Yuli Purwono,Local Guide,11 ulasan,klo senja sunset nya keren bgt..😎 …,5
,,4 tahun lalu,Erwin Kurniawan,-,3 ulasan,"Tempat enak nyaman untuk nongkrong dekat kolam renang ,live mucic serta Dj,acara ulang tahun",5
,,4 tahun lalu,Arsal Aslah Basir,Local Guide,85 ulasan,Pernah half day meeting disini.. cocok bgd untuk acara semi formal.. marketernya juga quick respon bgd,5
,,6 bulan lalu,Erlina Hero,Local Guide,64 ulasan,Tempat hangout yg cantiq,5
,,3 tahun lalu,Yulian Sesar,Local Guide,18 ulasan,Tempatnya oke bangeeeddddd....,5
,,4 tahun lalu,rista okta,Local Guide,18 ulasan,Tempatnya bagus makanannya juga enak. Kmrn kesini pas ada even dengan ovale,5
,,4 tahun lalu,Iwan Budi Haryanto,Local Guide,6 ulasan,"Hari Minggu malam asyik banget band nya,, Ekspresion Band.",5
,,2 tahun lalu,Darmaita Trihatmaja,Local Guide,197 ulasan,Live music nya bagus 👌🏻👌🏻 …,4
,,3 tahun lalu,rebornmusictainment satriyo,Local Guide,36 ulasan,Viewwwwww nya... Kalo malam.. Juaraaakkkk..,5
,,3 tahun lalu,Anti Ariyanti,-,12 ulasan,Nyaman tempat nya,5
,,4 tahun lalu,jujur prasetya,Local Guide,79 ulasan,"tempatnya indah, dan pemandangan mantap",5
,,3 tahun lalu,Netez Forever,Local Guide,227 ulasan,wooow bgt,5
,,3 tahun lalu,Soegeng Wijadi,Local Guide,914 ulasan,JempoL,5
,,4 tahun lalu,Danang Kristiawan,Local Guide,128 ulasan,Bagus,5
