PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Chandri Bar,,,,,,,
,https://www.google.com/maps/search/Chandri Bar jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Mariani Sutanto,Local Guide,552 ulasan,"Suasananya kental bernuansa Jawa, baik dari interior maupun musiknya.

Menunya pun beragam. Siang tadi aku memilih cap cay. Temanku memilih nasi goreng. Bagiku cap caynya lumayan enak, cuma dagingnya bisa terhitung jari.

Lamat-lamat terdengar suara air, membuat makan siang sekaligus sesi konseling berjalan lancar.",4
,,6 tahun lalu,nonix nath,Local Guide,22 ulasan,oke,3
,,4 tahun lalu,Layar Cermin,Local Guide,17 ulasan,Siipp,5
,,4 tahun lalu,Omat 11,,,,3
,,3 tahun lalu,Tarra Sh,,,,4
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
,,5 tahun lalu,susanti suroto,,,,3
