PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Colombo Pool Terrace,,,,,,,
,https://www.google.com/maps/search/Colombo Pool Terrace jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Thomas Arie Setiawan,Local Guide,113 ulasan,"Telah mengunjungi tempat ini beberapa kali dan mengalami layanan yang luar biasa dari staf.

Punya kesempatan untuk mencoba Ayam Bakar Morosono. Dan, saya pasti akan memesan lagi untuk makan siang ketika saya mengunjungi tempat ini nanti! Rasanya enak, porsinya cukup besar untuk makan siang. Sangat dianjurkan! Kudos kepada koki!",5
,,6 tahun lalu,Bowo Arsun,Local Guide,182 ulasan,Dengan baik,4
,,6 tahun lalu,Andhika Purnama,,,,5
,,9 bulan lalu,Rik van opstal,,,,4
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
,,setahun lalu,Lusia Jahaubun,,,,5
