PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
D'Coff Jogja,,,,,,,
,https://www.google.com/maps/place/D%27Coff+Jogja/data=!4m7!3m6!1s0x2e7a59fb20d7e903:0xb1f3bc7a08f84938!8m2!3d-7.7951232!4d110.3806529!16s%2Fg%2F11sg5ssx51!19sChIJA-nXIPtZei4ROEn4CHq887E?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Momogi Momo,Local Guide,259 ulasan,"Tempat nyaman. Cocok buat nyore karena menghadap barat dan ada sawah di depannya.
Harga standar.
Minuman enak.
Makanan enak.
Chicken Mozarella-nya agak kekeringan.
Steambot enak, termasuk murah. Cukup mengenyangkan. Kalau bisa memilih sawi (misal sawi sendok atau sawi putih atau sawi hijau) lebih bagus.
Sayang belum ada parkir mobil yang memadai. Kalau bisa parkir di lahan samping utara warung, lebih bagus.

Sukses terus ke depannya.. ⭐⭐⭐⭐⭐",5
,,2 bulan lalu,Ivan Soelarso,Local Guide,171 ulasan,"Lokasi baru di Baciro.
Tempat nya etnik estetik, kecil tapi cozy.
Ngobrol asik di sini.
Akses kursi roda di halaman depan.
Minuman oke banget.
Menu banyak pilihan.",5
,,setahun lalu,daebak bali,-,1 ulasan,"Cocok banget buat healinh, steamboatnya enak banget murah cuman 18 ribuaaan",5
,,setahun lalu,Staya Exciteda,-,3 ulasan,"Tempatnya cozy, makanannya murah..
Cemilannya 9rbuan. Steamboatnya yg murah bgt, 20rb bisa rame2. Minumannya slain kopi variatif, bubble gum milk, duren milk, squash rasa buah 10rbuan
Paling enak ksini siy sore. Sunsetnya bagus buat foto2",5
,,setahun lalu,Fx Wisnu,-,1 ulasan,Tempatnya enak buat kumpul-kumpul. Steamboat nya cuma 18k. Mantep banget.,5
,,setahun lalu,Rin Mukantagara,-,1 ulasan,Tempatnya cozy banget cocok buat healing hehe,5
,,setahun lalu,Arief M. Ikhsan,Local Guide,53 ulasan,"Semalem kesana,  dulunya kedai kaimi, cuma udah ganti manajemen. Avocado coffe lumayan, rate 7/10. Cireng nya enak,rate 8/10, medoan dapet yg 'semangit' atau hampir jadi tempe busuk, terus keknya gorengnya pake minyak bekas yg amis2 gitu, mungkin bekas pempek, rate 1/10, nasgor nya kebanyakan mrica, terus nasinya terlalu pulen untuk nasgor, dan cuma kek nasi biasa dikasih bumbu gajelas gitu,rate 1/10.
Belum ada game2 kek kartu remi/uno. Semogia ke depan diperbaiki",2
,,setahun lalu,188 Joan Scarlett,Local Guide,103 ulasan,"Tempatnya asri, sepoisepoi, makanan murah-murah. Pempeknya enak banget.",5
,,setahun lalu,Gregorius_Jordy,-,1 ulasan,"tempat dingin, cocok buat nugas smpe tengah malem",5
,,9 bulan lalu,I P,Local Guide,54 ulasan,"Kenapa ya ini tempat lebih sering tutupnya daripada bukanya, mana gak ada kontak WA nya, tanya lewat DM IG jg nggak direspon, padahal prnah pas cuma lewat beberapa kali malah buka, eh pas udh rencana mau kesitu tiap kesitu malah tutup terus",1
,,setahun lalu,Shopee Skuy,-,2 ulasan,"Minumannya macem-macem, bisa nongkrong sampe malem. Ada musiknya. Nasgor 10k.",5
,,setahun lalu,agus setiono,-,1 ulasan,"Tempet nya nyaman guys,
Minuman dan makananya juga enak Dan murah , manteps bgt dah pokoknya disini.",5
,,setahun lalu,Satria Octario W.,Local Guide,39 ulasan,"Tempatnya sejuk, asri, dan ada wifi yg kencang",5
,,setahun lalu,Abizard Iza,-,1 ulasan,Tempatnya asik untuk nongkrong dan harga terjangkau,5
,,setahun lalu,Pro Bedroom,-,2 ulasan,Mantapp tempatnya cozy dan nyaman,5
,,setahun lalu,Try Nurhabibi,Local Guide,28 ulasan,👍,5
,,setahun lalu,Loka Kafe,Local Guide,58 ulasan,Sip!,5
,,setahun lalu,Muhammad Raihan Asyqar,-,1 ulasan,Tempatnya sangat nyaman dan sangat alami,5
,,setahun lalu,Rin Mukantagara,,,,5
,,10 bulan lalu,alannia nasa,,,,5
,,setahun lalu,Dealis Aji,,,,5
,,10 bulan lalu,ian jayasura,,,,5
,,setahun lalu,Yoghi Nadeak,,,,5
,,setahun lalu,Yacinta Dhea,,,,5
,,setahun lalu,Hendrik Saja,,,,5
