PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
DIGILIB Cafe,,,,,,,
,https://www.google.com/maps/search/DIGILIB Cafe jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,Azka,Local Guide,138 ulasan,"digilib cafe terletak di dalam area fakultas fisipol. kalau bingung cara buat ke sini, bisa tanya ke orang buat ditunjukkin jalannya. ga terlalu sulit kok. patokannya ada di atas bank mandiri. untuk rasa makanannya dulu saya pernah coba, ya rasanya lumayan dengan harga yang lumayan murah juga. walau namanya cafe. tapi secara harga tidaklah sama dengan cafe kebanyakan. harga cafe di sini menyesuaikan dengan budget mahasiswa. sebetulnya sudah jadi rahasia umum bagi mahasiswa fisipol. kita bisa duduk-duduk di sini tanpa membeli makanan atau pun minuman di sini. dan juga tidak akan diusir",5
,,11 bulan lalu,shie,-,20 ulasan,"Nyoba ngafe di gedungnya fisipol, tempatnya nyaman, variasi menu rasanya kayak masih kurang banyak ya (tapi nasi gorengnya enak btw). Untuk harga agak pricey tapi ga sepricey itu juga.",5
,,4 tahun lalu,Sarah Mantovani,Local Guide,183 ulasan,"Lokasinya yang nyempil sama Digital Library, Bank Mandiri dan Fisipol membuat cafe ini ga banyak diketahui bahkan oleh mahasiswa UGM sendiri, walau begitu kafe ini selalu ramai dan pada waktu-waktu tertentu suka penuh (denger percakapan mahasiswa UGM sendiri sih pas ke sana).

Banyak yang saya suka dari cafe ini, diantaranya:
1. Banyak tersedia colokan. Kafe ini emang recommended banget kalau mau fokus ngerjain tugas
2. Makanan dan minumannya harga mahasiswa sekali, bahkan resto yang ngakunya harga kaki lima aja kalah sama harga makanan dan minuman di Digilib
3. Soal rasa juga pas di lidah saya. Waktu itu saya pesen nasgor Jawa sama Matcha
4. Ber AC. Jadi ga akan ketemu tuh sama perokok dan asapnya yang kemana-mana.
5. Pelayannya juga ramah dan amanah. Servicenya mantap! Sewaktu pesanan belum dateng pelayannya sampe nanya ke saya apa ada pesanan yang belum diantar? Terus waktu nitip laptop karena saya mau ke toilet beneran dijagain, hehe",5
,,3 tahun lalu,Rika Iffati Farihah,Local Guide,68 ulasan,"Tempat yg lumayan strategis bila ingin nongkrong ala kafe di tengah kampus UGM. Terletak di atas bank mandiri cabang fisipol UGM. Ada sofa buat yg suka duduk empuk. Harga dan rasanya lumayan sesuai. Standar kafe mahasiswa lah. Kafe ya, bukan kantin 😅.  Ada makanan berat juga seperti nasi goreng dan rice bowl. Sayang beberapa minuman disajikan dalam gelas plastik, padahal untuk diminum di tempat. Kurang ramah lingkungan",4
,,3 tahun lalu,IRSYADI M.S.,Local Guide,98 ulasan,"Ketika akan memasuki dan menaiki tangga ke DIGILIB Cafe kita akan disuguhkan bingkai-bingkai foto yang menarik mulai dari sejarah hingga quotes, cafe ini sangat nyaman dengan interior yang tidak membosankan diatas DIGILIB Cafe ini terdapat ruang semacam praktek untuk para mahasiswa komunikasi seperti untuk siaran radio dan televisi dengan suguhan interior yang sangat nyaman di pandang pilihan-pilihan warna yang cerah membuat semangat",5
,,5 tahun lalu,Muchamad Fikri Iman,Local Guide,179 ulasan,Salah satu tempat yang cukup nyaman di lingkungan kampus. Cocok buat ngumpul-ngumpul atau mengerjakan sesuatu tang lebih serius. Disini juga sering ada acara seminar atau diskusi yang cukup menarik dan tentunya sangat bermanfaat untuk menambah wawasan. Sambil ngopi santai dapat wawasan baru juga.,4
,,5 tahun lalu,Erwan Agus Purwanto,Local Guide,22 ulasan,"Digilib cafe merupakan bagian dari Fisipol UGM Creative Hub. Tempatnya sangat nyaman, suasananya asyik, hub untuk bertemu berbagai macam orang kreatif, kopinya enak dan yang penting harganya terjangkau kantong mahasiswa. Oh ya, Digilib Cafe ini pernah dikunjungi Presiden Jokowi lho.",5
,,4 tahun lalu,endang handayani,Local Guide,81 ulasan,"Salut UGM dengan BUMN Bank Mandiri sudah memulai kolaborasi, kerjasama dalam memenuhi keperluan sarana prasarana buat civitas akademikanya.

Suasananya enak buat mahasiswa istirahat dan keluarga mahasiswa bila bertamu ke kampus.",5
,,2 tahun lalu,J J,Local Guide,112 ulasan,"Tempat nugas yang sangat cozy, bisa lihat pemandangan sekitar kampus dari Digilib. Kalau bingung mau kemana pas nunggu kelas.. ini nih yang dituju 😉. Letaknya ada di dalam kampus FISIPOL yaaa.. naik tangga di sebelah selasar barat. Wifinya oke banget nih, lancar jaya..
Makanannya juga enak dan beragam, harganya pun sesuai kantong mahasiswa guys.
Pelayanan ramah dan gesit .. oke deh 👍",5
,,4 tahun lalu,Novi Andy Dwi Setyawan,Local Guide,185 ulasan,"Udah lebih satu semester kuliah di FEB, baru tau klo di sebelah ada tempat kayak gini. Tempatnya nyaman, makanannya lumayan enak, harganya cukup variatif, tempat yg enak buat ngobrol sama teman-teman dan pemandangannya asyik dan adem. Tadi waitressnya bilang klo buka sampe jam 19.00 malam.",5
,,setahun lalu,Refanti Millenia,Local Guide,103 ulasan,"Payment cashless, can using debit card. Menu kurang banyak dan beberapa tempat duduk gaada colokan. Untuk tempat duduk di dekat kaca tidak rekomen karna panas. Harga lumayan terjangkau. Enak si tp buat nugas",4
,,4 tahun lalu,Mutia Silviani,Local Guide,141 ulasan,"Sering penuh sama dosen & mahasiswa yg mau diskusi, nugas, atau sekedar nongkrong. Iyalah namanya juga di kampus. Coffee nya juga lumayan sih harganya ya standar coffee shop di luaran sana, lumayan pricey mungkin kalo untuk mahasiswa yg jarang ke tempat kyk gini tapi masih terjangkau kok tenang. Fisipol mantap lah pokoknya👌👌👌 …",5
,,3 tahun lalu,Bambang Irawan,Local Guide,358 ulasan,"Love the venue, nice & comfort, tp akan lebih bagus kl pesan makanan dpt saos tomat & sambal by default (bkn by order)
Also please add more flavour on coffee",4
,,7 bulan lalu,Lina Juhaidah,Local Guide,45 ulasan,"Harga matcha latte 22k, rasa enak. Makanan beli yg 19k porsi nasi tergolong banyak, loh. Kenyangg. Lumayan ramai. Kalau perlu tempat nugas yang bener2 sepi ga rekomen, ya. Kalau buat nugas tipis-tipis bisa banget. Buat anak non fisip aga muter2 nemunya. Jadi ini itu sebelah bank mandiri, naik lantai 2. Pelayanan ramah dan rasa makanan enak.",5
,,3 tahun lalu,Agus Darmawan,Local Guide,316 ulasan,"Cafe tongkrongan anak Fisipol UGM. Cafe banget suasanany wlo di dalam kampus, harga juga murce, es kopi late cuma 18k, nasgorny juga segitu lumayan pula, sambil liat pemandangan bagus pula, MIPA harusnya punya ginian juga nih, worted lah.",5
,,4 tahun lalu,David Rinetyo,Local Guide,246 ulasan,Buat ngerjain tugas atau sekedar ngobrol asik juga...sajian kantong mahasiswa rasa cafe 😀 …,4
,,5 tahun lalu,Rudi Firdaus,Local Guide,1.328 ulasan,"Nyaman, kopi enak sayang gak ada smoking area",4
,,3 tahun lalu,Rizka Nur Ambarwati,Local Guide,51 ulasan,Cafe dalam kampus fisipol. Sangat membantu mahasiswa dan civitas akademika yg lainnya. Cocok buat nongkrong dan berdiskusi.,5
,,setahun lalu,Tamara Bravani,-,7 ulasan,"Letaknya di lingkup fisipol, jadi bakal lebih banyak ketemu anak soshum daripada yang saintek. wkwkwk pertama kesini kaget ngeliat bedanya anak saintek sama soshum.

1. Ada Hotspot UGM dan AC juga dingin.
2. Makanan sama minumannya enak bangetttt, sumpah deh ngga boong. Bukber di sini dan paketnya 30k udah dapet takjil, nasgor, sama minumannya yg ijo"" itu, enak bangett, pengen lagi minum ituu 🤤.
4. Bisa dapet free garlic bread, tanya sama kasirnya atau cek instagram nya ajaa 🥰
5. Pelayannya ramah banget 👍
6. Kasir nya utamain cashless, tapi bisa tunai kok. Cuma pasti bakal ditanyain cashless dulu sama kasirnya.
7. Cocok buat belajar sambil ngafe ato skeedar hangout bareng temen-temen

Kerupuknya jadi lempem karena ditinggal solat dulu baru makan 🙃🙃",5
,,3 tahun lalu,mahadevi pp,Local Guide,70 ulasan,Kalau pas libur sepi menyenangkan untuk belajar di sini. Pas ramai juga tetep menyenangkan untuk diskusi atau sekedar ngobrol dengan teman.,5
,,setahun lalu,Sendy Gilbert S.,Local Guide,32 ulasan,"Kafe ini terletak di dalam gedung kampus FISIPOL UGM. Kita harus naik dari  tangga sebelah utara, dekat gerai Mandiri FISIPOL, untuk meraihnya. Suasana tempat cukup nyaman, dengan pencahayaan yang baik, dan tempat duduk yang bermacam-macam. Pelayanan tergolong baik, barista ramah dan pesanan disediakan dalam waktu yang cukup singkat.

Downside yang cukup berefek adalah makanan dan minumannya yang tidak terlampau spesial. Walaupun murah, jumlah menu terbatas dan porsi makanannya sedang-sedang saja. Saya memesan mini donut yang (menurut saya) cukup memuaskan untuk harga 10rb.

Kebijakan yang berlaku saat ini mengharuskan penbayaran cashless, sehingga siapkan terlebih dahulu dompet online kalian sebelum melangkah ke sini.",3
,,4 tahun lalu,M Ismail,Local Guide,401 ulasan,Cafe mahasiswa yang bersih dan nyaman. Bisa pakai untuk rapat kecil atau diskusi. Pilihan menu pakai tablet.,5
,,4 tahun lalu,Satriana Ayu,Local Guide,26 ulasan,"Harga masasiwa😂tempatnya nyaman, betah deh kalo disana …",5
,,4 tahun lalu,Fenny Ferawati,-,11 ulasan,"Coworking space yang keren dan canggih, terutama sistem ordernya. Dekat dengan bank dan atm Mandiri.",5
,,4 tahun lalu,Edwin Wibowo,Local Guide,113 ulasan,"Tempat nyaman, tapi bila jam makan siang  penuh, kapasitas tempat duduk kurang..😊 …",4
