PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
DOUBLE O Resto and Cafe,,,,,,,
,https://www.google.com/maps/search/DOUBLE O Resto and Cafe,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Amiria Hitamii,Local Guide,111 ulasan,"Recommended chicken cordon bleunya enak banget dan murah banget, nasgornya juga enak, kalau beef steak nya agak alot dan kurang berbumbu.
Pesen susu caramellnya juga pas.
Ada musholla dan toilet  jadi ga worry kalau mau nongki agak lama. Tempatnya asik buat ramean atau sendirian, staff ramah, pilihan makanan dan minumannya cukup banyak dengan harga mahasiswa.

Kalau boleh kasih nilai 8/10 untuk kebersihan geges bisa ditingkatkan.",5
,,4 bulan lalu,Brank Yudi,Local Guide,621 ulasan,"Tempat makan dan ngopi)cafe &eatery. Menunya lengkap dan kopinya lumayan. Suasananya masuk dan petugas dan layanan OK, harganya relatif terjangkau dan worth it. Enaknya pake kendaraan roda 2.
❎ Parkir utk Roda 4 terbatasdan masuk dari jalan utama.",4
,,9 bulan lalu,natha nael,Local Guide,23 ulasan,"cafe yang cukup cozy dan affordable, makanan dan minuman yang disajikannya pun enak dan menyegarkan
kebetulan saya waktu kesini sedang konsultasi ke dokter di RS Ludira Husada Tama, jadi lokasinya yang deket sama RS menjadi nilai plus
Untuk porsi makanannya menurut saya cukup pas untuk mengisi perut, namun minumannya menurut saya kurang karna gelas yang digunakan kecil dan ramping, jadi rasanya kalau minum 1 gelas saja itu kurang",5
,,3 bulan lalu,Desma,Local Guide,35 ulasan,"Makan disni enak-enak, koki baik sekali, semoga Semakin sukses kedepan nya, makin rame, makin dikenal banyak orang. Tempat nongkrong anak muda yang murah menu lengkap ya di doubel O ,sukses selalu. Yang bingung cari tempat nongkrong kesni aja #cafejogjakarta #yogyakarta",5
,,4 bulan lalu,Nuri Lathifah,Local Guide,11 ulasan,Vibes nya njawani disini. Makanannya enak2 saladnyaa mbeuhhhh numero unoo wuenak poll.. sebanding deh pokoknya sama harganya. Kalo ke jogja wajib sih mampir kesini. Harga makanan minuman mulai 20k ke atas yaaaa. Tapi rasa nampollllsss,5
,,5 bulan lalu,AW Muhammad,Local Guide,330 ulasan,"Tempat kopi makan dan santai...
Harga mulai 12rb...
Tempatnya mantap...
Istimewa...",5
,,4 bulan lalu,Stefani Novi,-,10 ulasan,"Cari tempat makan, pas lewat coba mampir.
Makanan lumayan enak; saya pesan Cumi hitam, Sop buntut & Steak Beef.
Utk Sop buntut dagingnya empuk & enak.
Anak saya pesan Steak Beef ternyata bukan bentuk Steak tp sudah dipotong"" slice & sayangnya saladnya ada semut yg berjalan akhirnya gak dimakan oleh anak saya. 😔
Utk minuman Teh tarik terlalu  banyak rasa susu/krimernya...",4
,,6 bulan lalu,Savitri Wikansari,Local Guide,86 ulasan,"Pertama kali kesini krn sering lewat, lalu pinisirin. Saya pesan sop buntut dan nasgor telur. Rasanya enak! Namun mohon dicek lg utk kentang di dlm sop buntut apakah msh fresh? Nasgor telurnya juga enak sih..utk minumannya saya hanya pesan hot tea&lemon tea. Next time ingin pesan yg lainnya deh. Tempatnya nyaman, kl saya lebih cocok utk bawa keluarga, lansia juga bisa krn undhak2annya ga banyak. Mohon ditingkatkan saja utk kebersihan lantainya. :)",5
,,3 bulan lalu,Ch Putra,Local Guide,130 ulasan,"Tempat favorit disaat desperate mencari tempat makan yg murah, enak dan nyaman. Sup IGA bakar nya andalan utama kalo kesini. Tempatnya nyaman untuk makan bareng sekeluarga. Harganya murah untuk rasa yg bisa dikata enak banget. Recommended pokoknya.",5
