PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
De Djogdja Karaoke Lounge Cafe,,,,,,,
,https://www.google.com/maps/search/De Djogdja Karaoke Lounge Cafe jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,10 bulan lalu,William Grissom,Local Guide,52 ulasan,"Tidak ada di 2022.
Map shows inside mall, but tidak lihat dan not on list of stores.",1
,,2 bulan lalu,bagus triprasetyo,-,4 ulasan,Berapa min,5
,,3 tahun lalu,Wen Noesa,Local Guide,463 ulasan,"Cobain sendiri deh, lumayan nyaman disini",4
,,4 tahun lalu,Muhammad Mujab,Local Guide,32 ulasan,"Pelayanan lumayan,room perlu d perbaiki",3
,,3 tahun lalu,Noob Computer,Local Guide,63 ulasan,"Soundnya mantap , layar nya besar",5
,,4 tahun lalu,Gusti Ramatullah,Local Guide,14 ulasan,nyaman harganya terjangkau,5
,,3 tahun lalu,Ayi Wildan Hilmi,Local Guide,206 ulasan,Lewat saja kook,5
,,3 tahun lalu,Robia Rumakat,-,1 ulasan,Pulau Gorom SBT Maluku,1
,,3 tahun lalu,Deden Saepul Riswan,Local Guide,38 ulasan,Nice bgt,4
,,4 tahun lalu,Andy Satria,Local Guide,45 ulasan,Tempatnya asikk,4
,,4 tahun lalu,Dian Risky Vita Verziana,-,4 ulasan,Tempat keren,5
,,4 tahun lalu,Handmade Gitar,-,6 ulasan,Asri,5
,,3 tahun lalu,evie agustin,Local Guide,43 ulasan,Enak,3
,,4 tahun lalu,Oseng Ngapak,Local Guide,38 ulasan,Pengen,3
,,4 tahun lalu,Meipri Asrizal,Local Guide,33 ulasan,Ntap,5
,,4 tahun lalu,eka Pandu wijaya,Local Guide,158 ulasan,seru,5
,,4 tahun lalu,Sarid Shohan,-,2 ulasan,Sip,5
,,4 tahun lalu,Krisna Jati,Local Guide,49 ulasan,Bar yang bagus,4
,,4 tahun lalu,Zun,Local Guide,94 ulasan,mamtap,5
,,4 tahun lalu,OnlyOne,Local Guide,21 ulasan,Baru,4
,,3 tahun lalu,Khalish Nuha,,,,3
,,4 tahun lalu,Fadhallah,,,,5
,,4 tahun lalu,Samudra Silalahi,,,,5
,,3 tahun lalu,Tri Sulistyawati,,,,4
,,3 tahun lalu,Ryan Alviana,,,,4
