PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Don gO Coffee,,,,,,,
,https://www.google.com/maps/search/Don gO Coffee jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,Cafepedia Jogja,Local Guide,10 ulasan,"Salah satu kedai yang menawarkan harga menu cukup ekonomis (mahasiswa banget) akan tetapi dengan rasa yang gak main-main, serius dalam mendevelop mulai dari tampilan, jenis minuman dan makanan hingga servisnya, wajar kalau Dongo jadi favorit baru para mahasiswa UNY dan UGM untuk nugas atau sekedar bercengkerama. Desain tempat duduk serta mejanya 'sengaja' dibuat senyaman mungkin untuk mereka yang ingin produktif, dengan kombinasi menunya yang ciamik dijamin produktif dari Dongo bakalan asik sekaligus gak takut kantong jebol.

Baca review selengkapnya di instagram ""Cafepedia Jogja"" ya",5
,,5 bulan lalu,Ariiscasper 123,-,1 ulasan,"Bintang lima bgt deh ini kafe. Tempatnya enak, nyaman, tenang bgt dari hiruk-pikuk ramainya kota ditambah wifi lancar bgt sampe kepleset hehe, bener bener pas buat para mahasiswa yang mau nugas. Makanan dan minumannya enak dan karyawannya ramah ramah. Paket lengkap deh👍",5
,,2 bulan lalu,thiny winii bitty,-,1 ulasan,"Tempat nyaman, harga affordable, buat nugas cocok karena banyak colokan dan wifi parkirannya jg luas
Pas juga buat ngadain event-event sama pelatihan di sini 👍🏻",5
,,3 bulan lalu,shinta melia,-,4 ulasan,"Tempat nya enak buat nugas, ga rame banget wifi juga oke. Harga Ramah banget di kantong mahasiswa dan ada mushola ny juga jadi ga khawatir kalo mau lama2 disini. Semoga menunya bisa di update lagi, biar tambah betah disini wkwkwk",5
,,11 bulan lalu,Desti - Desti Sarah Sagita,Local Guide,13 ulasan,"Hari ini kali kedua ke dongi coffee setelah kemarin malam. Kayaknya bakal sering ke sini buat ngerjain tesis. Tempatnya nyaman, colokan n wifi aman sejahtera. Udah nyobain pisang goreng, ayam asam manis n indomie soto. Dan enyak dan harga terjangkau. Kalu minum kemaren nyobain stoberi squash tea. Enyak juga...",5
,,5 bulan lalu,aura ngr,Local Guide,15 ulasan,"tempat yang nyaman buat ngerjain tugas, bagian indoornya pas jadi ga terlalu berisik & banyak orang, adem karena 2ac nya selalu nyala, buka sampai jam1 malem
sedikit kekurangannya adalah untuk yang sofa, tinggi meja dan sofa nya hampir sama jadi agak pegel kalau buat ngetik 🥲 …",4
,,5 bulan lalu,Rachman winoto,Local Guide,35 ulasan,"Untuk kalian yang suka nongkrong sama teman"", aku sarankan deh buat mampir ke sini. Pelayanannya baik, minumannya juga enak 🤤 next kalo ke Jogja bakal jadi tempat wajib mampir ke sini..",5
,,sebulan lalu,Ernita Rahma,-,2 ulasan,"menu-menu barunya recomended bangett, enak dan murah bangettt ngenyangin parah. Wajib banget cobain chicken katsu buruan!!!",5
,,4 bulan lalu,Farhan Wali,-,4 ulasan,"tempatnya nyaman banget, ber AC dingin di outdoor juga enak klo buat nongkrong, sangat recommended buat nugas, minumannya juga enak",5
,,2 bulan lalu,Sophia 09,-,1 ulasan,"pisang gorengnya dikit pol kek 2 rb an
tempat e mayan si sepi cocok buat intropet",1
,,4 bulan lalu,Arifia Maulida,-,2 ulasan,"Menunya murah, tempat cozy, barista ramah... es coklatnya enak",5
,,5 bulan lalu,Vegi Sylvia Wardhani,-,1 ulasan,tempatnya cozy banget buat nugas dan ngejar deadline. minuman sama makanannya juga enak. onion rings+biskuit cheezy best!!!,5
,,3 bulan lalu,Ishma Maula,-,18 ulasan,"Tempatnya nyaman, harga minuman dan makannya ramah di kantong anak kos👍 wifinya jg kenceng, rekomen buat nugasss",5
,,5 bulan lalu,Taufik Saputra,-,2 ulasan,"Salah satu tempat nugas paling nyaman, banyak colokan listrik, pelayanan oke sama wifi kenceng buat nugassss",5
,,5 bulan lalu,kikykooo,-,1 ulasan,"Kopinya enak, tempat nyaman dan adem. Harga ramah dikantong. Wifi kenceng buat nugas / main game 🤭 recommended banget deh …",5
,,5 bulan lalu,L Widad,-,4 ulasan,"nyaman buat nugas soalnya ber-ac, papan gamenya juga banyakk! seruwwww uw uw",5
,,5 bulan lalu,Zaenab Nurahmah,-,8 ulasan,"Kafe yang berlokasi sedikit masuk ke dalam gang, suasananya cukup nyaman dan mendukung untuk mengerjakan tugas karena terdapat banyak stop kontak, tersedia bagian indoor dan outdoor. Harga minumannya juga cukup standar kisaran belasan ribu-dua puluhan, tetapi untuk makanannya mungkin dengan harga segitu bisa sedikit dibesarin ukuran potongannya. Overall good 👍🏻",5
,,3 bulan lalu,105_Husnan Maulana,-,2 ulasan,"Tempatnya sangat nyaman, banyak wifi dan colokan. Baristanya sangat ramah dan manis. Minumannya enak sesuai dengan budget, ada boardgames seperti uno juga
Pokoknya top deh kalo mau nugas sampe malam soalnya tenang dan bukanya lama gitu",5
,,2 bulan lalu,Nurchanabillah Bella,-,5 ulasan,Tempat nya enak buat nongkrong dan nugas harga juga adfortable,5
,,3 bulan lalu,Dina Puspitasari,-,1 ulasan,"Lokasi dekat, tempat nyaman, ada monopoli, uno dijamin ga bosenin",5
,,5 bulan lalu,Snow Flake,-,1 ulasan,"Enak minumannya, harga ramah dikantong, cocok untuk nugas, bukanya juga sampe malem 😆",5
,,sebulan lalu,Rafi' Maulana,-,1 ulasan,"Kopi enak colokan banyak, harga bersahabat. Rekomen disini",5
,,4 bulan lalu,Akhmad Farkhanudin,Local Guide,162 ulasan,"nyaman, tp harga makanan dan minuman agak pricey",4
,,2 bulan lalu,Elshafira NR,-,1 ulasan,"wifinya lancar poll, pegawainya ramah-ramah sekali uwuuu, tempatnya cocok banget buat nugas.
buat anak kuliahan recommended banget deh buat didatengin",5
,,2 minggu lalu,ɴᴀᴊʟᴀ'ᴀ ɴᴀᴋʜɪsʜᴀ,Local Guide,15 ulasan,"menunya banyak yang clickbait:') alhasil jadi pesan kopi susu doang.. kalo buat nugas, ok sih tapi sedikit panas karena acnya ga berasa",4
