PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Eboni Bar And Lounge,,,,,,,
,https://www.google.com/maps/search/Eboni Bar And Lounge jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Wiwik Rahayu,Local Guide,266 ulasan,"Akhirnya masuk kesini juga gegara nginep disini dan dapat free welcome drink yang bisa diambil di eboni bar, baru inget pas udah malem, akhirnya sama temen kesini buat menikmati free welcome drink berupa minuman jamu kunyit asem & beras kencur (boleh pilih), asli seger banget minuman nya beda sama yang lain karena mereka racik sendiri secara yang punya juga pabrik jamu kan, hahahaa

Eboni bar and longe terletak satu lantai dengan lobby hotel tentrem, sepertinya ini tongkrongan elit tamu2 hotel tentrem maupun umum (non tamu hotel) disini menyediakan minuman keras (bir) atau jenis lain entah kurang paham, cuma liat ada bule lagi minum bir aja sih, hahahaa

Pas waktu itu malam minggu, suasana rame, ada live music dengan suara yang bagus dan penyanyi berpakaian sopan (setelan jas/blazer) tumben banget sih liat penyanyi di cafe/bar berpenampilan rapi begini, emang tentrem top dah 😅

Lounge ini luas banget, banyak pilihan tempt duduk, bisa sofa maupun meja kursi tinggi, ada sofa melingkar, sofa panjang dll banyak pokoknya, pencahayaan dibuat remang2 cocok buat ngobrol santai maupun ngobrol penting dengan rekan bisnis.

Oya bisa order makan juga disini, saya tidak pesan makanan karena sudah kenyang, jadi hanya menikmati live musik & welcome drink saja, tampaknya disini makin malam makin ramai pengunjung.

Pengalaman yang mengesankan & mengasyikkan di eboni bar and lounge nya hotel tentrem, terimakasih atas pelayanan & keramahannya.",5
,,3 bulan lalu,Michael Lee,Local Guide,132 ulasan,"Resto yang patut dicoba kenikmatan makanan dan minuman yang disajikan oleh koki berpengalaman. Porsi makanannya banyak bisa untuk berdua, harga terjangkau, . Tempatnya nyaman cocok untuk bersantai bersama teman,relasi dan keluarga tercinta. Pelayanan cepat dan staffnya ramah. 2 jempol untuk resto ini..top markotop pokoknya",5
,,8 bulan lalu,Eddie Saputro,-,2 ulasan,Promo Beveragenya..mantab,5
,,4 bulan lalu,Fajar Lintar,Local Guide,20 ulasan,Pilihan menunya beragam dan enak² semuaanyaa. Ditambah live music yg bagus² ⭐⭐⭐⭐⭐,5
,,setahun lalu,Karyajasa Official (karyajasatransport),Local Guide,66 ulasan,"Bir bintang frozen sangat okeee .
Tempat yg nyaman dg pelayanan yg sangat baik .",5
,,11 bulan lalu,myrna savitri,Local Guide,51 ulasan,"Plus point: Kopi susu Tentrem Ayem + es krim Tolak Angin wajib diorder.
Minus point: live music Jumat malem 10 Juni 22 lalu kualitasnya kurang bagus",4
,,sebulan lalu,Eko Sri Purwani,Local Guide,20 ulasan,"Tempat nyaman, makanan lumayan",5
,,setahun lalu,anton rorympande,Local Guide,92 ulasan,"Lewat aja hahaha ,pernah dinner di kayu manis bulan mei 30,2019 ultah ibu n di bantu surprise rekan rekan di kayu manisss ...mantabbbbb",5
,,setahun lalu,hassantirro,Local Guide,253 ulasan,"temtrem dah kalau disini, seperti hotelnya",5
,,setahun lalu,Souga Pamungkas,Local Guide,9 ulasan,Sangat bagus sekali dan nyaman banget tempatnya...pelayanan ramah,5
,,setahun lalu,Bambang Winarto,Local Guide,87 ulasan,Tempat yg cocok untuk bersantai sambil menikmati minuman juga sebagai tempat untuk temu janji,5
,,4 tahun lalu,Dina Utami,Local Guide,44 ulasan,"Eboni Bar & Lounge.
Bar ini ada di Hotel Tentrem Yogyakarta. Hotel bintang lima yang populer di Jogja ini menyediakan fasilitas yang tergolong mewah, kelas menengah ke atas.
Kalo gag nginep, mau main juga boleh kok.
Outlet nya ada Kayu Manis Restaurant, Summer Palace (Chinese Resto), Warung Kopi, Eboni Bar & Lounge.
Eboni ini terletak di lantai lobby, sebelahan sama counter reception.
Sering ada event, live music, konser, dll.
:)",5
,,setahun lalu,Anneke Christiana,-,30 ulasan,Tempat & makanannya enak ...wort it,5
,,2 tahun lalu,Krishna Handoyo,Local Guide,239 ulasan,"Suasananya tenang utk ngobrol, tempatnya juga cozy dengan sofa2, frozen beer nya top!",5
,,setahun lalu,Gisella Uci,Local Guide,13 ulasan,Kalau mau me time ya di ebony ❤,5
,,setahun lalu,Muhammad Saifullah,Local Guide,41 ulasan,"Sesuai kelasnya, meubelnya yang besar2 menciptakan privasi di masing2 kelompok",4
,,2 tahun lalu,Shuida Saja,Local Guide,409 ulasan,"Pisang goreng dan wedang uwuh yang enak, melengkapi kesempurnaan aura jawa di hotel ini..",4
,,2 tahun lalu,Era Gunawan Tarigan,-,16 ulasan,Tentram.... Hanya saja aroma asap rokok masih tercium,3
,,setahun lalu,Kumarto Utomo,Local Guide,73 ulasan,Pelayanan baik ramah. Suasana nyaman,5
,,2 tahun lalu,Dinur Iksan,Local Guide,200 ulasan,"Bersih dan nyaman suasananya
Pelayanan number one",5
,,2 tahun lalu,Sophian Hadi Susanto,Local Guide,494 ulasan,Tempatnya enak,5
,,2 tahun lalu,Agustinus Tiono,-,17 ulasan,Nyantai buat nongkrong asyik,5
,,5 tahun lalu,Prastiti Yuana Dewi,Local Guide,38 ulasan,Malam minggu disini well bgt 🤗 …,5
,,3 tahun lalu,Bagoest Distributor ATK,Local Guide,286 ulasan,mantab banget,5
,,2 tahun lalu,Oce Gumilang,-,23 ulasan,sangat nyaman,5
