PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Es Coklat Coa-coa.id,,,,,,,
,https://www.google.com/maps/search/Es Coklat Coa-coa.id jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,David Williem,Local Guide,100 ulasan,"Es coklat paling murah se condong catur. Tidak hanya es coklat yang dijual, tapi ada cemilan yang pastinya disukai anak anak sampai dengan dewasa. Ada sempol Ayam dan telur goreng sd. Harganya murah murah cuman seribuan... lokasinya di samping sd perumnas.  Ini adalah alternatif cemilan sd yang buka walaupun sekolahan sudah tutup. Jangan lupa datang yah...",5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
,,5 bulan lalu,Achep Tyan,-,4 ulasan,Enak sekali,5
