PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Fajri Laundry,,,,,,,
,https://www.google.com/maps/place/Fajar+Laundry/data=!4m7!3m6!1s0x2e7a57ed12aed303:0xda4406b2703e1d9e!8m2!3d-7.8080028!4d110.352391!16s%2Fg%2F11c1rf445j!19sChIJA9OuEu1Xei4Rnh0-cLIGRNo?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 tahun lalu,Getty Anindya,,,,1
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
,,3 tahun lalu,Andreani Kiran,,,,5
