PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Gudeg Bu Ninuk,,,,,,,
,https://www.google.com/maps/search/Gudeg Bu Ninuk jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 minggu lalu,Mahfud Syuhada,Local Guide,465 ulasan,"Gudegnya enak, harganya murah, porsi kenyang, tempatnya emang kecil tapi lumayan enak.",5
,,6 tahun lalu,makhyar fiskana,Local Guide,72 ulasan,"harga lebih murah dari toko sebelah, rasa ga kalah",5
,,5 tahun lalu,Review Saja,Local Guide,28 ulasan,"Yg jelas Harga lebih murah, rasa jg ga kalah",5
,,4 tahun lalu,Tantowi Jauhary,Local Guide,18 ulasan,Enaaak banget,5
,,4 tahun lalu,Fajar Sigit,-,11 ulasan,Enaak,5
,,5 tahun lalu,Adhi Syah,Local Guide,172 ulasan,Enak,5
,,5 tahun lalu,Sherlynia Bella,,,,4
,,4 tahun lalu,I J,,,,3
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
,,4 tahun lalu,Rouli Munthe,,,,5
